##NAMES=Pararealgar
##RRUFFID=R150123
##IDEAL CHEMISTRY=AsS
##LOCALITY=U.S. Borax mine, Kramer Borate deposit, Boron, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott S106210
##DESCRIPTION=Yellowish-orange granular, within a rind of realgar
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R150123
869.4778, 3719.060
871.4063, 3714.262
873.3347, 3711.238
875.2632, 3707.854
877.1917, 3701.757
879.1201, 3694.541
881.0486, 3688.575
882.9771, 3682.523
884.9055, 3674.117
886.8340, 3664.415
888.7625, 3653.962
890.6909, 3644.278
892.6194, 3641.111
894.5479, 3640.852
896.4763, 3630.382
898.4048, 3613.135
900.3333, 3607.505
902.2617, 3612.057
904.1902, 3607.601
906.1187, 3593.615
908.0471, 3581.516
909.9756, 3571.436
911.9041, 3566.468
913.8325, 3568.712
915.7610, 3565.950
917.6895, 3554.353
919.6179, 3546.546
921.5464, 3545.881
923.4749, 3542.895
925.4033, 3536.853
927.3318, 3530.332
929.2603, 3522.307
931.1887, 3516.953
933.1172, 3517.581
935.0457, 3514.544
936.9741, 3503.556
938.9026, 3494.090
940.8311, 3489.538
942.7595, 3484.153
944.6880, 3475.311
946.6165, 3467.502
948.5449, 3462.850
950.4734, 3458.907
952.4019, 3455.572
954.3303, 3450.966
956.2588, 3443.995
958.1873, 3435.750
960.1157, 3423.989
962.0442, 3415.314
963.9727, 3417.077
965.9011, 3417.748
967.8296, 3407.821
969.7581, 3398.985
971.6865, 3402.505
973.6150, 3404.290
975.5435, 3393.049
977.4719, 3378.140
979.4004, 3363.048
981.3289, 3351.889
983.2573, 3350.580
985.1858, 3352.215
987.1143, 3351.587
989.0427, 3349.675
990.9712, 3349.118
992.8997, 3345.797
994.8281, 3331.887
996.7566, 3316.200
998.6851, 3307.418
1000.614, 3303.472
1002.542, 3306.068
1004.470, 3308.115
1006.399, 3299.510
1008.327, 3286.609
1010.256, 3275.329
1012.184, 3266.665
1014.113, 3263.832
1016.041, 3262.737
1017.970, 3258.534
1019.898, 3252.383
1021.827, 3243.383
1023.755, 3235.770
1025.684, 3238.539
1027.612, 3243.253
1029.541, 3237.696
1031.469, 3227.423
1033.397, 3219.260
1035.326, 3211.288
1037.254, 3198.424
1039.183, 3186.447
1041.111, 3185.636
1043.040, 3188.029
1044.968, 3182.938
1046.897, 3175.933
1048.825, 3176.081
1050.754, 3176.580
1052.682, 3165.991
1054.611, 3153.684
1056.539, 3152.667
1058.468, 3154.642
1060.396, 3149.979
1062.324, 3142.635
1064.253, 3136.460
1066.181, 3130.700
1068.110, 3123.703
1070.038, 3117.633
1071.967, 3115.232
1073.895, 3114.395
1075.824, 3115.567
1077.752, 3114.427
1079.681, 3105.299
