##NAMES=Scotlandite
##RRUFFID=R100043
##IDEAL CHEMISTRY=Pb^2+^S^4+^O_3_
##LOCALITY=Grand Reef mine, Klondyke, Aravaipa District, Graham County, Arizona, USA
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Colorless, elongated tabular crystals associated with aravaipaite R100032 and laurelite R100011
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100043
169.7064, 444.0032
170.1885, 445.1781
170.6707, 446.7991
171.1528, 449.4142
171.6349, 452.7656
172.1170, 455.8244
172.5991, 456.8980
173.0812, 455.7597
173.5634, 457.5033
174.0455, 465.1659
174.5276, 473.8117
175.0097, 481.1943
175.4918, 487.4479
175.9739, 494.1575
176.4561, 503.0000
176.9382, 514.4435
177.4203, 526.8008
177.9024, 540.8205
178.3845, 555.0330
178.8666, 567.9125
179.3488, 579.6007
179.8309, 592.1141
180.3130, 608.3361
180.7951, 631.2357
181.2772, 651.0409
181.7593, 664.8651
182.2415, 677.8246
182.7236, 694.4012
183.2057, 715.3923
183.6878, 737.3019
184.1699, 754.8167
184.6520, 765.6830
185.1342, 775.8923
185.6163, 786.8835
186.0984, 796.6571
186.5805, 803.4146
187.0626, 806.6801
187.5447, 806.2740
188.0269, 801.0656
188.5090, 790.7280
188.9911, 778.4698
189.4732, 764.9862
189.9553, 750.0121
190.4374, 732.8480
190.9196, 712.5226
191.4017, 691.2040
191.8838, 671.2605
192.3659, 652.4882
192.8480, 635.8668
193.3301, 622.9657
193.8123, 612.8770
194.2944, 601.9698
194.7765, 588.4664
195.2586, 575.0289
195.7407, 564.4034
196.2228, 556.6507
196.7050, 549.6871
197.1871, 542.4640
197.6692, 534.9560
198.1513, 526.5031
198.6334, 516.2808
199.1155, 505.5991
199.5977, 495.2560
200.0798, 485.3025
200.5619, 475.6213
201.0440, 465.7383
201.5261, 455.3382
202.0082, 446.5209
202.4904, 442.4203
202.9725, 437.8946
203.4546, 429.7024
203.9367, 417.7460
204.4188, 404.7671
204.9009, 394.2659
205.3831, 387.1471
205.8652, 379.8304
206.3473, 372.4887
206.8294, 364.7328
207.3115, 355.7661
207.7936, 345.7709
208.2758, 336.0856
208.7579, 328.8259
209.2400, 325.5487
209.7221, 321.3943
210.2042, 315.7914
210.6863, 309.8937
211.1685, 304.3461
211.6506, 299.3242
212.1327, 294.7410
212.6148, 290.5088
213.0969, 287.2511
213.5790, 282.9924
214.0612, 276.8452
214.5433, 270.3400
215.0254, 264.3623
215.5075, 259.2308
215.9896, 255.0511
216.4717, 252.1147
216.9539, 251.0855
217.4360, 249.8153
217.9181, 248.6327
218.4002, 247.0135
218.8823, 244.2357
219.3644, 240.1243
219.8466, 235.4456
220.3287, 231.0078
220.8108, 226.6099
221.2929, 223.4689
221.7750, 222.7596
222.2571, 223.0151
222.7393, 222.4507
223.2214, 220.6749
223.7035, 218.2295
224.1856, 215.5886
224.6677, 212.7767
225.1498, 210.0455
225.6320, 207.2634
226.1141, 204.6500
226.5962, 202.7123
227.0783, 201.7269
227.5604, 200.8398
228.0425, 198.9874
228.5247, 196.4201
229.0068, 194.1016
229.4889, 192.6395
229.9710, 191.6805
230.4531, 190.3778
230.9352, 188.4998
231.4174, 186.6072
231.8995, 185.0704
232.3816, 183.8430
232.8637, 182.8534
233.3458, 182.5058
233.8279, 182.4142
234.3101, 181.0568
234.7922, 177.3755
235.2743, 174.2136
235.7564, 173.6667
236.2385, 174.7397
236.7206, 175.4166
237.2028, 174.3435
237.6849, 171.9542
238.1670, 170.0949
238.6491, 169.0120
239.1312, 168.1421
239.6133, 167.0418
240.0955, 165.9722
240.5776, 165.4765
241.0597, 166.2141
241.5418, 167.6963
242.0239, 167.3957
242.5060, 163.5755
242.9882, 160.2962
243.4703, 159.0411
243.9524, 158.9645
244.4345, 158.7868
244.9166, 157.7380
245.3987, 156.0660
245.8809, 154.9846
246.3630, 155.0674
246.8451, 155.0358
247.3272, 154.6149
247.8093, 153.9368
248.2914, 153.2727
248.7736, 152.8042
249.2557, 152.3162
249.7378, 150.8711
250.2199, 146.3988
250.7020, 143.6042
251.1841, 144.3704
251.6663, 146.6861
252.1484, 148.3075
252.6305, 148.1631
