##NAMES=Hemimorphite
##RRUFFID=R070536
##IDEAL CHEMISTRY=Zn^2+^_4_Si_2_O_7_(OH)_2_&#183;H_2_O
##LOCALITY=Potosi mine, Santa Eulalia District, Chihuahua, Mexico
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Colorless striated thin tabular crystals in fan-shaped aggregates
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R070536
##MEASURED CHEMISTRY=Zn_4.00_Si_2.00_O_7_(OH)_2_·H_2_O; total H_2_O estimated by difference, (OH) by charge balance
131.5242, 4300.301
132.0063, 4511.060
132.4884, 4725.203
132.9705, 4965.896
133.4527, 5135.147
133.9348, 5218.054
134.4169, 5256.830
134.8990, 5272.835
135.3811, 5272.077
135.8632, 5252.878
136.3454, 5210.902
136.8275, 5124.741
137.3096, 5060.632
137.7917, 5029.401
138.2738, 5012.197
138.7559, 4988.051
139.2381, 4953.089
139.7202, 4927.958
140.2023, 4946.468
140.6844, 5037.010
141.1665, 5125.734
141.6486, 5195.101
142.1308, 5269.028
142.6129, 5372.676
143.0950, 5514.565
143.5771, 5683.526
144.0592, 5860.560
144.5413, 6038.330
145.0235, 6239.377
145.5056, 6478.647
145.9877, 6739.400
146.4698, 6997.085
146.9519, 7242.154
147.4340, 7486.287
147.9162, 7758.125
148.3983, 8072.923
148.8804, 8372.318
149.3625, 8621.649
149.8446, 8847.065
150.3267, 9105.288
150.8089, 9424.636
151.2910, 9769.601
151.7731, 10061.63
152.2552, 10286.08
152.7373, 10514.05
153.2194, 10785.84
153.7016, 11084.03
154.1837, 11363.70
154.6658, 11607.29
155.1479, 11827.29
155.6300, 12047.96
156.1121, 12269.10
156.5943, 12493.37
157.0764, 12711.46
157.5585, 12930.61
158.0406, 13181.27
158.5227, 13484.95
159.0048, 13819.76
159.4870, 14131.52
159.9691, 14339.58
160.4512, 14540.71
160.9333, 14798.24
161.4154, 15105.68
161.8975, 15426.80
162.3797, 15750.03
162.8618, 16080.30
163.3439, 16415.61
163.8260, 16755.65
164.3081, 17112.50
164.7902, 17521.85
165.2724, 17976.63
165.7545, 18386.11
166.2366, 18710.87
166.7187, 18982.66
167.2008, 19253.28
167.6829, 19546.22
168.1651, 19775.56
168.6472, 19880.66
169.1293, 19865.26
169.6114, 19733.02
170.0935, 19466.10
170.5756, 19086.83
171.0578, 18613.95
171.5399, 18045.36
172.0220, 17406.84
172.5041, 16713.57
172.9862, 15960.48
173.4683, 15201.28
173.9505, 14411.82
174.4326, 13649.06
174.9147, 12954.69
175.3968, 12343.27
175.8789, 11777.77
176.3610, 11215.56
176.8432, 10652.42
177.3253, 10136.81
177.8074, 9687.593
178.2895, 9286.365
178.7716, 8926.199
179.2537, 8605.024
179.7359, 8314.020
180.2180, 8043.902
180.7001, 7793.173
181.1822, 7564.848
181.6643, 7362.882
182.1465, 7183.514
182.6286, 7030.434
183.1107, 6903.940
183.5928, 6792.210
184.0749, 6680.453
184.5570, 6566.512
185.0392, 6464.886
185.5213, 6379.930
186.0034, 6308.750
186.4855, 6253.897
