##NAMES=Krautite
##RRUFFID=R060967
##IDEAL CHEMISTRY=Mn^2+^(As^5+^O_3_OH)&#183;H_2_O
##LOCALITY=Jachymov, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pink spheroidal aggregates and crusts found with other secondary arsenic minerals, quartz and mica
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060967
284.9599, 20779.69
285.4420, 20828.21
285.9242, 20855.97
286.4063, 20878.82
286.8884, 20902.03
287.3705, 20921.70
287.8526, 20914.08
288.3347, 20875.39
288.8169, 20855.76
289.2990, 20918.96
289.7811, 21050.77
290.2632, 21150.01
290.7453, 21190.09
291.2274, 21191.42
291.7096, 21193.64
292.1917, 21196.70
292.6738, 21204.02
293.1559, 21216.78
293.6380, 21235.88
294.1201, 21266.72
294.6023, 21315.57
295.0844, 21371.14
295.5665, 21412.73
296.0486, 21441.64
296.5307, 21467.86
297.0128, 21495.05
297.4950, 21526.05
297.9771, 21569.62
298.4592, 21634.13
298.9413, 21702.63
299.4234, 21744.51
299.9055, 21764.38
300.3876, 21793.96
300.8698, 21863.96
301.3519, 21955.88
301.8340, 22042.07
302.3161, 22119.33
302.7982, 22180.47
303.2803, 22197.65
303.7625, 22182.90
304.2446, 22187.42
304.7267, 22260.97
305.2088, 22365.79
305.6909, 22455.02
306.1730, 22516.56
306.6552, 22568.33
307.1373, 22633.96
307.6194, 22704.25
308.1015, 22752.91
308.5836, 22736.75
309.0657, 22706.20
309.5479, 22716.50
310.0300, 22791.54
310.5121, 22864.05
310.9942, 22879.90
311.4763, 22859.10
311.9584, 22846.85
312.4406, 22874.50
312.9227, 22912.83
313.4048, 22938.91
313.8869, 22947.29
314.3690, 22954.38
314.8511, 22967.80
315.3333, 22985.61
315.8154, 23004.49
316.2975, 23028.37
316.7796, 23049.54
317.2617, 23061.51
317.7438, 23061.55
318.2260, 23065.23
318.7081, 23065.20
319.1902, 23075.65
319.6723, 23115.35
320.1544, 23243.47
320.6365, 23354.63
321.1187, 23397.46
321.6008, 23355.45
322.0829, 23326.97
322.5650, 23338.47
323.0471, 23371.04
323.5292, 23404.75
324.0114, 23446.54
324.4935, 23478.46
324.9756, 23491.57
325.4577, 23483.14
325.9398, 23480.53
326.4219, 23488.18
326.9041, 23501.09
327.3862, 23515.01
327.8683, 23529.46
328.3504, 23545.44
328.8325, 23569.91
329.3146, 23602.48
329.7968, 23611.25
330.2789, 23571.36
330.7610, 23527.55
331.2431, 23514.01
331.7252, 23567.51
332.2073, 23591.88
332.6895, 23563.73
333.1716, 23492.54
333.6537, 23451.33
334.1358, 23449.42
334.6179, 23464.39
335.1000, 23483.97
335.5822, 23510.77
336.0643, 23536.53
336.5464, 23564.43
337.0285, 23589.24
337.5106, 23588.95
337.9927, 23552.60
338.4749, 23516.65
338.9570, 23506.12
339.4391, 23527.23
339.9212, 23530.03
340.4033, 23506.39
340.8854, 23469.45
341.3676, 23453.10
341.8497, 23462.95
342.3318, 23459.87
342.8139, 23408.21
343.2960, 23312.11
343.7781, 23270.76
344.2603, 23298.37
344.7424, 23355.09
345.2245, 23377.42
345.7066, 23367.44
346.1887, 23366.12
346.6708, 23398.32
347.1530, 23454.75
347.6351, 23497.52
348.1172, 23524.28
348.5993, 23547.18
349.0814, 23584.33
349.5635, 23629.19
350.0457, 23660.49
350.5278, 23654.43
351.0099, 23635.11
351.4920, 23647.96
351.9741, 23692.54
352.4562, 23741.57
352.9384, 23769.77
353.4205, 23786.42
353.9026, 23810.24
354.3847, 23856.64
354.8668, 23904.54
355.3489, 23927.80
355.8311, 23931.22
356.3132, 23940.62
356.7953, 23981.62
357.2774, 24034.46
357.7595, 24077.79
358.2416, 24104.21
358.7238, 24123.55
359.2059, 24130.94
359.6880, 24133.75
360.1701, 24154.36
360.6522, 24211.14
361.1343, 24283.68
361.6164, 24360.84
362.0985, 24449.21
362.5807, 24522.04
363.0628, 24564.32
363.5449, 24584.92
364.0270, 24600.54
364.5091, 24600.82
364.9912, 24609.65
365.4734, 24641.58
365.9555, 24707.87
366.4376, 24761.84
366.9197, 24785.06
367.4018, 24796.94
367.8839, 24820.61
368.3661, 24882.81
368.8482, 24931.54
369.3303, 24953.83
369.8124, 24947.09
370.2945, 24940.22
370.7766, 24943.13
371.2588, 24937.98
371.7409, 24907.02
372.2230, 24827.60
372.7051, 24761.32
373.1872, 24715.95
373.6693, 24690.32
374.1515, 24675.72
374.6336, 24677.74
375.1157, 24679.78
375.5978, 24672.65
376.0799, 24657.39
376.5620, 24626.51
377.0442, 24575.03
377.5263, 24511.38
378.0084, 24455.53
378.4905, 24410.03
378.9726, 24360.10
379.4547, 24296.72
379.9369, 24221.41
380.4190, 24136.70
380.9011, 24036.42
381.3832, 23947.79
381.8653, 23930.52
382.3474, 23976.77
382.8296, 24009.65
383.3117, 23982.73
383.7938, 23917.54
384.2759, 23869.56
384.7580, 23838.20
385.2401, 23820.47
385.7223, 23814.30
386.2044, 23818.10
386.6865, 23829.00
387.1686, 23851.10
387.6507, 23874.42
388.1328, 23887.88
388.6150, 23891.66
389.0971, 23889.48
389.5792, 23881.63
390.0613, 23870.46
390.5434, 23859.71
391.0255, 23856.31
391.5077, 23845.50
391.9898, 23815.40
392.4719, 23771.24
392.9540, 23727.11
393.4361, 23684.52
393.9182, 23648.79
394.4004, 23621.46
394.8825, 23598.59
395.3646, 23595.99
395.8467, 23642.56
396.3288, 23707.01
396.8109, 23741.80
397.2931, 23703.22
397.7752, 23664.87
398.2573, 23641.58
398.7394, 23630.68
399.2215, 23653.08
399.7036, 23759.23
400.1858, 23869.04
400.6679, 23911.48
401.1500, 23819.31
401.6321, 23762.14
402.1142, 23775.06
402.5963, 23847.69
403.0785, 23893.49
403.5606, 23905.08
404.0427, 23902.25
404.5248, 23890.85
405.0069, 23861.10
405.4890, 23865.74
405.9712, 23918.86
406.4533, 23997.63
406.9354, 24048.67
407.4175, 24067.67
407.8996, 24086.06
408.3817, 24124.19
408.8639, 24179.09
409.3460, 24211.62
409.8281, 24215.92
410.3102, 24218.39
410.7923, 24268.61
411.2744, 24354.08
411.7566, 24403.64
412.2387, 24362.84
412.7208, 24283.01
413.2029, 24261.25
413.6850, 24295.36
414.1671, 24345.94
414.6493, 24388.46
415.1314, 24424.91
415.6135, 24461.91
416.0956, 24510.61
416.5777, 24543.43
417.0598, 24516.01
417.5420, 24448.90
418.0241, 24405.31
418.5062, 24441.36
418.9883, 24498.26
419.4704, 24534.12
419.9525, 24540.47
420.4347, 24537.56
420.9168, 24528.89
421.3989, 24517.74
421.8810, 24508.22
422.3631, 24516.12
422.8452, 24512.68
423.3273, 24482.02
423.8094, 24420.86
424.2916, 24375.65
424.7737, 24366.35
425.2558, 24365.23
425.7379, 24353.28
426.2200, 24334.10
426.7021, 24296.58
427.1843, 24221.71
427.6664, 24125.58
428.1485, 24078.79
428.6306, 24101.21
429.1127, 24135.59
429.5948, 24155.23
430.0770, 24159.52
430.5591, 24151.51
431.0412, 24130.29
431.5233, 24097.93
432.0054, 24044.54
432.4875, 23966.43
432.9697, 23926.41
433.4518, 23971.96
433.9339, 24074.84
434.4160, 24112.44
434.8981, 24081.48
435.3802, 24031.29
435.8624, 24010.05
436.3445, 24006.99
436.8266, 23985.97
437.3087, 23924.54
437.7908, 23862.24
438.2729, 23859.43
438.7551, 23902.41
439.2372, 23935.73
439.7193, 23912.07
440.2014, 23868.98
440.6835, 23846.63
441.1656, 23856.05
441.6478, 23861.47
442.1299, 23833.05
442.6120, 23789.76
443.0941, 23759.16
443.5762, 23763.66
444.0583, 23771.17
444.5405, 23769.70
445.0226, 23759.00
445.5047, 23747.91
445.9868, 23745.33
446.4689, 23739.13
446.9510, 23721.03
447.4332, 23657.91
447.9153, 23625.82
448.3974, 23652.44
448.8795, 23711.01
449.3616, 23719.17
449.8438, 23636.50
450.3259, 23568.89
450.8080, 23567.15
451.2901, 23648.99
451.7722, 23679.62
452.2543, 23641.51
452.7365, 23581.93
453.2186, 23561.26
453.7007, 23580.79
454.1828, 23615.34
454.6649, 23673.53
455.1470, 23734.93
455.6292, 23719.00
456.1113, 23624.38
456.5934, 23528.32
457.0755, 23492.67
457.5576, 23500.90
458.0397, 23509.93
458.5219, 23514.43
459.0040, 23515.23
459.4861, 23506.70
459.9682, 23494.61
460.4503, 23493.68
460.9324, 23526.11
461.4146, 23562.64
461.8967, 23583.26
462.3788, 23587.05
462.8609, 23570.61
463.3430, 23500.52
463.8251, 23424.01
464.3073, 23385.15
464.7894, 23420.07
465.2715, 23466.72
465.7536, 23526.84
466.2357, 23590.68
466.7178, 23624.28
467.2000, 23596.85
467.6821, 23560.66
468.1642, 23532.45
468.6463, 23508.75
469.1284, 23502.67
469.6105, 23525.13
470.0927, 23555.28
470.5748, 23565.28
471.0569, 23545.96
471.5390, 23532.49
472.0211, 23536.33
472.5032, 23552.40
472.9854, 23547.07
473.4675, 23515.60
473.9496, 23490.21
474.4317, 23514.74
474.9138, 23576.60
475.3959, 23575.14
475.8781, 23485.71
476.3602, 23375.42
476.8423, 23336.35
477.3244, 23356.34
477.8065, 23388.13
478.2886, 23418.19
478.7708, 23444.36
479.2529, 23460.71
479.7350, 23467.71
480.2171, 23477.39
480.6992, 23500.27
481.1813, 23527.79
481.6635, 23550.96
482.1456, 23564.83
482.6277, 23575.54
483.1098, 23582.02
483.5919, 23585.69
484.0740, 23591.26
484.5562, 23604.21
485.0382, 23613.80
485.5204, 23612.63
486.0025, 23593.95
486.4846, 23591.30
486.9667, 23619.23
487.4488, 23653.48
487.9309, 23671.89
488.4131, 23667.69
488.8952, 23666.19
489.3773, 23674.25
489.8594, 23687.74
490.3415, 23691.63
490.8236, 23687.30
491.3058, 23670.48
491.7879, 23628.70
492.2700, 23565.51
492.7521, 23529.20
493.2342, 23521.39
493.7163, 23533.98
494.1985, 23572.38
494.6806, 23626.04
495.1627, 23656.45
495.6448, 23635.16
496.1269, 23598.25
496.6090, 23591.03
497.0912, 23609.21
497.5733, 23631.31
498.0554, 23652.05
498.5375, 23667.28
499.0196, 23671.92
499.5017, 23661.97
499.9839, 23653.56
500.4660, 23657.32
