##NAMES=Trechmannite
##RRUFFID=R130062
##IDEAL CHEMISTRY=Ag^1+^As^3+^S^2-^_2_
##LOCALITY=Lengenbach quarry, Imfeld, Binn Valley, Wallis, Switzerland
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Single dark red crystal, associated with jordanite and binnite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R130062
249.4244, 100.0922
249.9065, 100.7396
250.3886, 101.3013
250.8707, 101.6708
251.3528, 101.8395
251.8350, 101.9766
252.3171, 102.0842
252.7992, 102.1567
253.2813, 102.1520
253.7634, 101.9347
254.2455, 101.9370
254.7277, 102.3183
255.2098, 103.0880
255.6919, 103.6679
256.1740, 103.9752
256.6561, 104.1923
257.1382, 104.4658
257.6204, 104.7616
258.1025, 105.2071
258.5846, 105.8847
259.0667, 106.7789
259.5488, 107.4885
260.0309, 107.9426
260.5131, 108.2976
260.9952, 108.6322
261.4773, 108.8463
261.9594, 109.3496
262.4415, 110.3127
262.9236, 111.6796
263.4058, 112.7521
263.8879, 113.4409
264.3700, 114.0093
264.8521, 114.7446
265.3342, 115.7952
265.8163, 116.4980
266.2985, 116.7518
266.7806, 116.5783
267.2627, 116.0939
267.7448, 115.3218
268.2269, 114.1907
268.7090, 112.5066
269.1912, 110.0308
269.6733, 107.9697
270.1554, 106.5561
270.6375, 105.6342
271.1196, 104.5979
271.6017, 103.3442
272.0839, 102.2599
272.5660, 101.7053
273.0481, 101.7730
273.5302, 101.7207
274.0123, 101.4220
274.4944, 100.9948
274.9766, 100.7903
275.4587, 100.8449
275.9408, 100.9838
276.4229, 101.0946
276.9050, 101.1696
277.3871, 101.3479
277.8693, 101.6919
278.3514, 102.0864
278.8335, 102.1981
279.3156, 101.9599
279.7977, 101.8447
280.2798, 102.2762
280.7620, 103.2561
281.2441, 103.7105
281.7262, 103.4596
282.2083, 102.8957
282.6904, 102.6723
283.1725, 102.7975
283.6547, 103.1295
284.1368, 103.7426
284.6189, 104.5870
285.1010, 105.0546
285.5831, 105.0372
286.0652, 104.9099
286.5474, 105.2556
287.0295, 106.0654
287.5116, 106.9135
287.9937, 107.6734
288.4758, 108.3379
288.9579, 108.8256
289.4401, 109.1415
289.9222, 109.2976
290.4043, 109.1929
290.8864, 108.8731
291.3685, 108.7152
291.8506, 109.0291
292.3328, 109.5929
292.8149, 109.6435
293.2970, 109.1417
293.7791, 108.6126
294.2612, 108.6912
294.7433, 109.2333
295.2255, 109.6731
295.7076, 109.8360
296.1897, 109.7721
296.6718, 109.4413
297.1539, 108.8550
297.6360, 108.4138
298.1182, 108.4970
298.6003, 108.9912
299.0824, 109.6222
299.5645, 110.3422
300.0466, 111.1390
300.5287, 112.0799
301.0109, 113.1297
301.4930, 114.0696
