##NAMES=Amphibole
##RRUFFID=R110203
##LOCALITY=Bear Lake diggings, Tory Hill, Monmounth Township, Haliburton Co., Ontario, Canada
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Black hexagonal prism, note that amphiboles from here are characterized by Hawthorne et al (2006)
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110203
237.6849, 135.9571
238.1670, 135.4940
238.6491, 134.9909
239.1312, 134.4943
239.6133, 134.0699
240.0955, 133.6581
240.5776, 133.1379
241.0597, 132.3957
241.5418, 131.5011
242.0239, 130.8051
242.5060, 130.3664
242.9882, 130.0715
243.4703, 129.9640
243.9524, 129.9447
244.4345, 129.8600
244.9166, 129.6030
245.3987, 129.2347
245.8809, 129.0800
246.3630, 129.6175
246.8451, 129.7216
247.3272, 128.8106
247.8093, 127.4569
248.2914, 126.4108
248.7736, 126.0900
249.2557, 126.3196
249.7378, 126.3873
250.2199, 126.0696
250.7020, 125.8640
251.1841, 126.0555
251.6663, 126.3210
252.1484, 126.2460
252.6305, 125.6254
253.1126, 124.6299
253.5947, 123.7774
254.0768, 123.1510
254.5590, 122.5999
255.0411, 122.0986
255.5232, 121.6715
256.0053, 121.3363
256.4874, 121.1025
256.9695, 120.9759
257.4517, 120.9717
257.9338, 121.3514
258.4159, 121.5365
258.8980, 121.4710
259.3801, 121.2320
259.8622, 120.8469
260.3444, 120.3310
260.8265, 119.7898
261.3086, 119.4300
261.7907, 119.4740
262.2728, 119.3428
262.7549, 118.8446
263.2371, 118.2560
263.7192, 117.8288
264.2013, 117.6322
264.6834, 117.6320
265.1655, 117.8345
265.6476, 118.5223
266.1298, 118.6483
266.6119, 117.5418
267.0940, 116.2245
267.5761, 115.7600
268.0582, 116.3325
268.5403, 117.1949
269.0225, 117.4715
269.5046, 116.9866
269.9867, 116.6431
270.4688, 116.4106
270.9509, 116.3590
271.4330, 116.6653
271.9152, 117.3225
272.3973, 117.9595
272.8794, 118.2223
273.3615, 118.0689
273.8436, 117.8576
274.3257, 117.4334
274.8079, 117.0645
275.2900, 117.0301
275.7721, 117.3217
276.2542, 117.6323
276.7363, 117.7593
277.2184, 117.6893
277.7006, 117.5243
278.1827, 117.1132
278.6648, 116.7278
279.1469, 116.4682
279.6290, 116.3599
280.1111, 116.6175
280.5933, 117.5907
281.0754, 118.9596
281.5575, 119.6544
282.0396, 119.2823
282.5217, 118.7258
283.0038, 118.5406
283.4860, 118.6542
283.9681, 118.6601
284.4502, 118.2964
284.9323, 117.7844
285.4144, 117.5648
285.8965, 117.6653
286.3787, 117.9610
286.8608, 118.5258
287.3429, 119.2634
287.8250, 119.8186
288.3071, 120.0310
288.7892, 120.0649
289.2714, 120.2204
289.7535, 120.5425
290.2356, 120.6571
290.7177, 120.1773
291.1998, 119.3496
291.6819, 118.8566
292.1641, 118.9358
292.6462, 119.2127
293.1283, 119.2943
293.6104, 119.2031
294.0925, 119.0634
294.5746, 118.8195
295.0568, 118.5774
295.5389, 118.6292
296.0210, 119.1280
296.5031, 119.5622
296.9852, 119.3888
297.4673, 118.7870
297.9495, 118.1944
298.4316, 117.7068
298.9137, 117.3282
299.3958, 117.0837
299.8779, 116.9885
300.3600, 116.9571
300.8422, 117.0131
301.3243, 117.0838
301.8064, 117.0383
302.2885, 116.8550
302.7706, 116.5363
303.2527, 115.9880
303.7349, 115.1798
304.2170, 114.5499
304.6991, 114.4267
305.1812, 114.5531
305.6633, 114.6023
306.1454, 114.5556
306.6276, 114.3786
307.1097, 113.9212
307.5918, 113.2110
308.0739, 112.7388
308.5560, 112.8140
309.0381, 113.0798
309.5203, 113.1234
310.0024, 112.9194
310.4845, 112.6529
310.9666, 112.4281
311.4487, 112.2406
311.9308, 112.0842
312.4130, 112.0036
312.8951, 111.8832
313.3772, 111.6050
313.8593, 111.1888
314.3414, 110.7629
314.8235, 110.3500
315.3057, 109.9751
315.7878, 109.7218
316.2699, 109.6472
316.7520, 109.5761
317.2341, 109.4263
317.7162, 109.1891
318.1984, 108.8109
318.6805, 108.1055
319.1626, 107.3264
319.6447, 106.9033
320.1268, 106.8898
320.6089, 106.9681
321.0911, 107.1362
321.5732, 107.2328
322.0553, 106.9457
322.5374, 105.9653
323.0195, 104.9897
323.5016, 104.9481
323.9838, 105.8502
324.4659, 106.3757
324.9480, 105.6814
325.4301, 104.5908
325.9122, 104.1096
326.3943, 104.3455
