##NAMES=Hisingerite
##RRUFFID=R070126
##IDEAL CHEMISTRY=Fe^3+^_2_Si_2_O_5_(OH)_4_&#183;2H_2_O
##LOCALITY=Nickel Plate mine, Hedley, British Columbia, Canada
##OWNER=RRUFF
##SOURCE=Lloyd Twaites
##DESCRIPTION=Chocolate brown hexagonal prismatic crystal, appearing to have replaced quartz. Amorphous
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070126
324.7080, 10361.68
325.1901, 10337.23
325.6722, 10309.76
326.1543, 10294.93
326.6364, 10295.49
327.1186, 10307.14
327.6007, 10329.59
328.0828, 10386.12
328.5649, 10417.26
329.0470, 10409.52
329.5291, 10377.15
330.0113, 10354.25
330.4934, 10342.11
330.9755, 10337.72
331.4576, 10342.17
331.9397, 10363.17
332.4218, 10371.79
332.9040, 10361.40
333.3861, 10341.96
333.8682, 10332.18
334.3503, 10338.19
334.8324, 10341.68
335.3145, 10333.98
335.7967, 10311.29
336.2788, 10302.26
336.7609, 10312.27
337.2430, 10329.33
337.7251, 10332.91
338.2072, 10316.80
338.6894, 10312.56
339.1715, 10335.40
339.6536, 10384.04
340.1357, 10413.69
340.6178, 10420.53
341.0999, 10419.00
341.5821, 10426.67
342.0642, 10444.02
342.5463, 10456.46
343.0284, 10459.52
343.5105, 10454.54
343.9926, 10446.06
344.4748, 10433.90
344.9569, 10420.15
345.4390, 10404.40
345.9211, 10387.77
346.4032, 10378.13
346.8853, 10379.80
347.3675, 10386.98
347.8496, 10383.94
348.3317, 10371.65
348.8138, 10367.60
349.2959, 10396.42
349.7780, 10443.14
350.2602, 10473.07
350.7423, 10476.53
351.2244, 10466.21
351.7065, 10449.55
352.1887, 10429.70
352.6708, 10421.00
353.1529, 10449.14
353.6350, 10487.36
354.1171, 10497.61
354.5992, 10467.36
355.0814, 10432.72
355.5635, 10421.49
356.0456, 10428.40
356.5277, 10441.73
357.0098, 10469.82
357.4919, 10492.98
357.9741, 10490.55
358.4562, 10455.91
358.9383, 10427.58
359.4204, 10432.55
359.9025, 10454.95
360.3846, 10473.03
360.8668, 10472.24
361.3489, 10471.26
361.8310, 10481.11
362.3131, 10503.00
362.7952, 10519.19
363.2773, 10523.98
363.7595, 10520.69
364.2416, 10512.18
364.7237, 10480.32
365.2058, 10462.79
365.6879, 10478.32
366.1700, 10523.65
366.6522, 10551.83
367.1343, 10543.53
367.6164, 10526.78
368.0985, 10517.99
368.5806, 10520.30
369.0627, 10527.01
369.5449, 10545.07
370.0270, 10568.16
370.5091, 10573.00
370.9912, 10543.76
371.4733, 10515.81
371.9554, 10506.78
372.4376, 10527.70
372.9197, 10539.89
373.4018, 10541.72
373.8839, 10535.78
374.3660, 10526.02
374.8481, 10511.10
375.3303, 10496.16
375.8124, 10478.92
376.2945, 10458.27
376.7766, 10462.57
377.2587, 10498.18
377.7408, 10545.04
378.2230, 10583.01
378.7051, 10612.17
379.1872, 10622.63
379.6693, 10602.39
380.1514, 10561.44
380.6335, 10539.48
381.1157, 10536.75
381.5978, 10549.10
382.0799, 10590.29
382.5620, 10648.30
383.0441, 10667.24
383.5262, 10612.27
384.0084, 10537.08
384.4905, 10540.65
384.9726, 10613.79
385.4547, 10679.37
385.9368, 10675.33
386.4189, 10633.40
386.9011, 10603.11
387.3832, 10594.06
387.8653, 10594.22
388.3474, 10599.47
388.8295, 10606.04
389.3116, 10604.33
389.7938, 10570.61
390.2759, 10538.88
390.7580, 10539.93
391.2401, 10582.33
391.7222, 10625.00
392.2043, 10647.96
392.6865, 10658.51
393.1686, 10666.35
393.6507, 10664.92
394.1328, 10670.07
394.6149, 10698.65
395.0970, 10751.26
395.5792, 10776.91
396.0613, 10733.56
396.5434, 10676.34
397.0255, 10645.41
397.5076, 10666.38
397.9897, 10691.42
398.4719, 10726.72
398.9540, 10766.15
399.4361, 10776.64
399.9182, 10729.96
400.4003, 10682.41
400.8824, 10660.58
401.3646, 10679.21
401.8467, 10693.79
402.3288, 10704.16
402.8109, 10710.58
403.2930, 10712.71
403.7751, 10708.74
404.2573, 10705.15
404.7394, 10704.73
405.2215, 10707.72
405.7036, 10709.07
