##NAMES=Diamond
##RRUFFID=X070001
##IDEAL CHEMISTRY=C
##LOCALITY=Synthetic, DeBeers Element6
##OWNER=
##SOURCE=Eric Van Valkenburg
##DESCRIPTION=DeBeers Element6 type IIA, colorless cut stone
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X070001
282.2816, 196.7675
282.7637, 196.9087
283.2458, 197.5331
283.7279, 198.4699
284.2101, 198.9937
284.6922, 199.0203
285.1743, 199.1986
285.6564, 200.3920
286.1385, 202.4941
286.6206, 204.0589
287.1028, 204.7119
287.5849, 204.6349
288.0670, 204.0921
288.5491, 203.0188
289.0312, 202.2146
289.5133, 202.3501
289.9955, 203.3621
290.4776, 205.0396
290.9597, 207.9437
291.4418, 211.0293
291.9239, 211.5685
292.4060, 209.5624
292.8882, 206.9290
293.3703, 204.8485
293.8524, 203.4051
294.3345, 202.8129
294.8166, 203.3331
295.2987, 204.5197
295.7809, 205.5678
296.2630, 206.5080
296.7451, 207.7625
297.2272, 210.3768
297.7093, 213.5861
298.1914, 215.5123
298.6736, 215.6357
299.1557, 214.4369
299.6378, 211.7304
300.1199, 207.7868
300.6020, 204.7785
301.0841, 204.6068
301.5663, 206.3427
302.0484, 208.7175
302.5305, 212.5317
303.0126, 215.1886
303.4947, 212.2363
303.9768, 204.8318
304.4590, 198.5896
304.9411, 197.1283
305.4232, 198.9459
305.9053, 202.4265
306.3874, 208.4307
306.8695, 213.8363
307.3517, 215.0016
307.8338, 213.0835
308.3159, 212.1060
308.7980, 216.1649
309.2801, 221.4623
309.7622, 223.9135
310.2444, 221.8085
310.7265, 218.9411
311.2086, 217.7417
311.6907, 217.6987
312.1728, 217.5303
312.6549, 216.9190
313.1371, 215.7481
313.6192, 213.7125
314.1013, 210.1465
314.5834, 207.1980
315.0655, 205.4690
315.5476, 205.0866
316.0298, 206.3063
316.5119, 211.4656
316.9940, 216.6624
317.4761, 219.6347
317.9582, 219.5587
318.4403, 218.6777
318.9225, 216.8896
319.4046, 214.8586
319.8867, 213.6887
320.3688, 213.8774
320.8509, 214.8160
321.3330, 216.7128
321.8152, 220.3092
322.2973, 222.2390
322.7794, 220.3316
323.2615, 216.8204
323.7436, 214.7494
324.2257, 216.9722
324.7079, 218.4163
325.1900, 216.8738
325.6721, 210.9394
326.1542, 207.8028
326.6363, 209.8160
327.1184, 214.0528
327.6006, 217.2611
328.0827, 218.1284
328.5648, 219.3844
329.0469, 222.2673
329.5290, 227.3291
330.0111, 229.2166
330.4933, 226.3105
330.9754, 221.4365
331.4575, 216.8943
331.9396, 210.7871
332.4217, 208.2915
332.9038, 211.7737
333.3860, 221.0808
333.8681, 226.4173
334.3502, 226.0411
334.8323, 223.9833
335.3144, 223.7399
335.7965, 226.3224
336.2787, 227.7761
336.7608, 227.2061
337.2429, 224.9970
337.7250, 223.2167
338.2071, 221.8774
338.6892, 221.0181
339.1714, 220.7011
339.6535, 220.9471
340.1356, 221.6240
340.6177, 222.7795
341.0998, 224.3093
341.5819, 226.0342
342.0641, 228.0341
342.5462, 229.7010
343.0283, 230.5858
343.5104, 230.7166
343.9925, 230.6379
344.4746, 230.3334
344.9568, 229.9671
345.4389, 229.8885
345.9210, 230.0869
346.4031, 230.2344
346.8852, 230.2330
347.3673, 230.0434
347.8495, 229.4612
348.3316, 228.4048
348.8137, 227.2090
349.2958, 226.5762
349.7779, 226.2749
350.2600, 225.2933
350.7422, 221.0826
351.2243, 216.4758
351.7064, 217.1541
352.1885, 223.8117
352.6706, 231.0263
353.1527, 234.6923
353.6349, 235.2843
354.1170, 233.9364
354.5991, 228.3506
355.0812, 222.7450
355.5633, 221.8191
356.0454, 225.5626
356.5276, 229.3628
357.0097, 229.9079
357.4918, 228.7973
357.9739, 227.9994
358.4560, 228.3890
358.9381, 229.0909
359.4203, 229.6896
359.9024, 230.2009
360.3845, 230.7457
360.8666, 231.4604
361.3487, 232.1873
361.8308, 232.8046
362.3130, 233.4594
362.7951, 233.7951
363.2772, 233.7386
363.7593, 233.2901
364.2414, 232.4502
364.7235, 229.8871
365.2057, 227.8938
365.6878, 227.8274
366.1699, 231.7534
366.6520, 234.3930
367.1341, 233.7968
367.6162, 231.6523
368.0984, 231.8402
368.5805, 237.3513
369.0626, 242.2444
369.5447, 244.2359
370.0268, 241.5340
370.5089, 241.7426
370.9911, 248.1119
371.4732, 255.4546
371.9553, 255.9970
372.4374, 245.8275
372.9195, 236.1359
373.4016, 229.0202
373.8838, 224.4190
374.3659, 225.9140
374.8480, 236.6409
375.3301, 248.3514
375.8122, 251.9327
376.2943, 245.7107
376.7765, 239.7278
377.2586, 235.9646
