##NAMES=Niter
##RRUFFID=R090001
##IDEAL CHEMISTRY=KN^5+^O_3_
##LOCALITY=Searcy County, Arkansas, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Unconsolidated, granular fragments exhibiting a sandy color
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R090001
245.1679, 1428.371
245.6501, 1429.096
246.1322, 1427.765
246.6143, 1426.802
247.0964, 1426.234
247.5785, 1425.967
248.0606, 1426.054
248.5428, 1426.448
249.0249, 1426.947
249.5070, 1427.497
249.9891, 1428.185
250.4712, 1427.648
250.9533, 1424.664
251.4355, 1421.490
251.9176, 1419.574
252.3997, 1418.989
252.8818, 1419.127
253.3639, 1419.785
253.8460, 1420.902
254.3282, 1420.733
254.8103, 1417.697
255.2924, 1414.654
255.7745, 1414.143
256.2566, 1415.952
256.7387, 1417.274
257.2209, 1415.854
257.7030, 1412.095
258.1851, 1409.440
258.6672, 1408.712
259.1493, 1408.418
259.6314, 1407.436
260.1136, 1405.847
260.5957, 1404.453
261.0778, 1403.366
261.5599, 1403.049
262.0420, 1404.453
262.5241, 1409.549
263.0063, 1414.042
263.4884, 1414.384
263.9705, 1410.992
264.4526, 1407.501
264.9347, 1405.537
265.4168, 1404.573
265.8990, 1403.611
266.3811, 1402.966
266.8632, 1401.604
267.3453, 1397.742
267.8275, 1391.888
268.3096, 1388.219
268.7917, 1389.576
269.2738, 1392.745
269.7559, 1392.973
270.2380, 1389.585
270.7202, 1386.612
271.2023, 1388.170
271.6844, 1393.324
272.1665, 1395.389
272.6486, 1391.128
273.1307, 1384.718
273.6129, 1380.187
274.0950, 1377.521
274.5771, 1375.901
275.0592, 1374.797
275.5413, 1374.260
276.0234, 1374.790
276.5056, 1377.361
276.9877, 1379.806
277.4698, 1380.226
277.9519, 1378.970
278.4340, 1377.820
278.9161, 1378.187
279.3983, 1379.639
279.8804, 1380.316
280.3625, 1380.272
280.8446, 1379.058
