##NAMES=Schmitterite
##RRUFFID=R060524
##IDEAL CHEMISTRY=(U^6+^O_2_)Te^4+^O_3_
##LOCALITY=Moctezuma mine, Moctezuma, Sonora, Mexico
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Pale yellow rosette associated with green emmonsite, R060802
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R060524
254.4670, 367.4219
254.9491, 374.5508
255.4312, 386.5586
255.9133, 404.1797
256.3955, 420.0820
256.8776, 438.4727
257.3597, 451.3086
257.8418, 447.1914
258.3239, 416.7344
258.8061, 389.3281
259.2882, 371.0391
259.7703, 362.1172
260.2524, 357.8789
260.7345, 361.1250
261.2166, 366.3320
261.6988, 366.5430
262.1809, 357.2969
262.6630, 352.9609
263.1451, 359.4219
263.6272, 375.3125
264.1093, 381.1992
264.5915, 374.4297
265.0736, 365.8164
265.5557, 365.0469
266.0378, 376.8984
266.5199, 378.1250
267.0020, 362.5352
267.4842, 334.3438
267.9663, 314.2031
268.4484, 303.3359
268.9305, 297.7656
269.4126, 294.0156
269.8947, 290.9414
270.3769, 294.6797
270.8590, 308.5312
271.3411, 328.3633
271.8232, 341.0391
272.3053, 346.5508
272.7874, 345.1289
273.2696, 332.6094
273.7517, 304.9023
274.2338, 291.8438
274.7159, 298.7969
275.1980, 316.8594
275.6801, 324.6250
276.1623, 320.4805
276.6444, 314.9062
277.1265, 314.6758
277.6086, 321.6055
278.0907, 326.9414
278.5728, 332.5312
279.0550, 333.0469
279.5371, 313.4102
280.0192, 269.9766
280.5013, 233.3594
280.9834, 219.0586
281.4655, 225.9922
281.9477, 233.8672
282.4298, 243.9258
282.9119, 254.7773
283.3940, 257.7461
283.8761, 251.8008
284.3582, 248.6992
284.8404, 256.7305
285.3225, 274.2852
285.8046, 289.0508
286.2867, 298.2461
286.7688, 299.9648
287.2509, 290.9336
287.7331, 273.1406
288.2152, 256.2852
288.6973, 241.9023
289.1794, 230.7148
289.6615, 229.0117
290.1436, 238.6602
290.6258, 242.4609
291.1079, 220.1523
291.5900, 176.7461
292.0721, 136.3203
292.5542, 103.5039
293.0363, 79.75391
293.5185, 70.16406
294.0006, 74.86719
294.4827, 85.62109
294.9648, 102.2617
295.4469, 120.7930
295.9290, 126.2266
296.4112, 110.7266
296.8933, 89.20312
297.3754, 84.70703
297.8575, 95.10547
298.3396, 109.2578
298.8217, 120.1523
299.3039, 129.1367
299.7860, 137.9688
300.2681, 146.0898
300.7502, 156.1484
301.2323, 175.9570
301.7144, 201.6484
302.1966, 218.5742
302.6787, 214.8398
303.1608, 199.7383
303.6429, 183.9570
