##NAMES=Gartrellite
##RRUFFID=R060881
##IDEAL CHEMISTRY=Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)&#183;H_2_O
##LOCALITY=Ashburton Downs, Western Australia
##OWNER=RRUFF
##SOURCE=Bob Jenkins
##DESCRIPTION=Yellow grainy incrustations
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060881
##MEASURED CHEMISTRY=Pb_1.00_Cu_1.00_(Fe^3+^_0.77_Cu_0.18_Al_0.04_Zn_0.01_)_Σ=1_((As_0.97_S_0.03_)_Σ=1_O_4_)_2_(OH)_0.87_·H_2_O; trace amounts of P; OH estimated by charge balance, H_2_O by difference
127.3084, 16049.20
127.7905, 16297.92
128.2727, 16521.47
128.7548, 16725.80
129.2369, 16929.32
129.7190, 17131.17
130.2011, 17338.04
130.6832, 17568.41
131.1654, 17823.50
131.6475, 18104.66
132.1296, 18419.72
132.6117, 18769.33
133.0938, 19132.21
133.5759, 19488.63
134.0581, 19842.24
134.5402, 20230.09
135.0223, 20668.88
135.5044, 21138.48
135.9865, 21573.00
136.4686, 21964.92
136.9508, 22347.07
137.4329, 22750.05
137.9150, 23175.84
138.3971, 23584.03
138.8792, 23972.16
139.3613, 24337.75
139.8434, 24674.48
140.3256, 24995.54
140.8077, 25272.61
141.2898, 25474.98
141.7719, 25582.04
142.2540, 25665.85
142.7361, 25750.36
143.2183, 25845.54
143.7004, 25872.71
144.1825, 25812.74
144.6646, 25696.45
145.1467, 25568.96
145.6288, 25412.67
146.1110, 25264.99
146.5931, 25138.27
147.0752, 25038.29
147.5573, 24939.14
148.0394, 24822.25
148.5215, 24706.22
149.0037, 24637.86
149.4858, 24635.67
149.9679, 24665.72
150.4500, 24715.51
150.9321, 24806.70
151.4142, 24892.94
151.8964, 24968.66
152.3785, 25038.59
152.8606, 25122.04
153.3427, 25235.89
153.8248, 25357.45
154.3069, 25473.82
154.7890, 25588.11
155.2712, 25697.13
155.7533, 25811.29
156.2354, 25928.69
156.7175, 26013.63
157.1996, 26058.50
157.6817, 26068.89
158.1639, 26049.69
158.6460, 26003.77
159.1281, 25924.32
159.6102, 25810.77
160.0923, 25662.67
160.5744, 25467.92
161.0566, 25221.29
161.5387, 24923.15
162.0208, 24574.53
162.5029, 24145.48
162.9850, 23686.19
163.4671, 23218.22
163.9493, 22747.71
164.4314, 22272.49
164.9135, 21788.39
165.3956, 21300.36
165.8777, 20817.37
166.3598, 20325.73
166.8420, 19852.38
167.3241, 19417.32
167.8062, 19023.70
168.2883, 18669.50
168.7704, 18359.85
169.2525, 18087.84
169.7346, 17831.42
170.2168, 17571.95
170.6989, 17326.97
171.1810, 17116.97
171.6631, 16950.28
172.1452, 16814.67
172.6273, 16702.40
173.1095, 16612.72
173.5916, 16536.33
174.0737, 16468.50
174.5558, 16409.51
175.0379, 16361.07
175.5201, 16326.40
176.0022, 16299.00
176.4843, 16261.17
176.9664, 16214.94
177.4485, 16193.63
177.9306, 16240.66
178.4128, 16334.07
178.8949, 16425.20
179.3770, 16502.77
179.8591, 16564.90
180.3412, 16598.24
180.8233, 16600.77
181.3055, 16610.21
181.7876, 16666.38
182.2697, 16761.92
182.7518, 16872.25
183.2339, 17000.97
183.7160, 17136.06
184.1982, 17234.46
184.6803, 17288.51
185.1624, 17341.40
185.6445, 17456.29
186.1266, 17624.14
186.6087, 17789.81
187.0908, 17909.43
187.5730, 18000.18
188.0551, 18129.37
188.5372, 18307.00
189.0193, 18509.58
189.5014, 18711.18
189.9835, 18913.34
190.4657, 19108.23
190.9478, 19277.89
191.4299, 19430.55
191.9120, 19623.82
192.3941, 19873.78
192.8762, 20147.24
193.3584, 20375.61
193.8405, 20555.64
194.3226, 20732.26
194.8047, 20930.96
195.2868, 21151.45
195.7689, 21380.64
196.2511, 21624.53
196.7332, 21874.27
197.2153, 22102.81
197.6974, 22309.77
198.1795, 22507.34
198.6616, 22703.68
199.1438, 22901.11
199.6259, 23092.02
200.1080, 23275.66
200.5901, 23452.95
201.0722, 23623.72
201.5543, 23789.66
202.0364, 23945.83
202.5186, 24091.51
203.0007, 24228.35
203.4828, 24338.40
203.9649, 24418.10
204.4470, 24467.17
204.9291, 24481.58
205.4113, 24453.11
205.8934, 24407.67
206.3755, 24374.66
206.8576, 24362.29
207.3397, 24322.99
207.8218, 24247.26
208.3040, 24135.66
208.7861, 23993.05
209.2682, 23817.82
209.7503, 23619.42
210.2324, 23407.83
210.7145, 23187.36
211.1967, 22949.68
211.6788, 22688.01
212.1609, 22402.05
212.6430, 22131.06
213.1251, 21883.96
213.6072, 21644.91
214.0894, 21389.37
214.5715, 21106.97
215.0536, 20833.38
215.5357, 20578.23
216.0178, 20339.06
216.4999, 20124.44
216.9820, 19940.94
217.4642, 19776.19
217.9463, 19611.06
218.4284, 19443.96
218.9105, 19281.65
219.3926, 19124.81
219.8747, 18974.00
220.3569, 18831.64
220.8390, 18693.61
221.3211, 18567.93
221.8032, 18464.21
