##NAMES=Furutobeite
##RRUFFID=R060937
##IDEAL CHEMISTRY=(Cu^1+^,Ag^1+^)_6_Pb^2+^S^2-^_4_
##LOCALITY=Tsumeb mine, Tsumeb, Otavi District, Oshikoto, Namibia
##OWNER=RRUFF
##SOURCE=William W. Pinch
##DESCRIPTION=Steel gray metallic elongated prisms, associated with quartz, tennantite, and djurleite.
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060937
##MEASURED CHEMISTRY=(Cu_4.97_Ag_1.07_)Pb_1.03_S_4_ ; (Dark areas are djurleite, Cu_1.89_Ag_0.02_S)
93.78320, 179.9627
94.26532, 181.1906
94.74744, 181.8368
95.22955, 181.4400
95.71167, 180.8169
96.19379, 180.3195
96.67590, 180.6130
97.15802, 180.2583
97.64014, 178.7426
98.12225, 176.5132
98.60437, 174.3135
99.08649, 172.3973
99.56860, 170.7518
100.0507, 169.2722
100.5328, 167.6636
101.0150, 166.1397
101.4971, 164.9392
101.9792, 164.0733
102.4613, 163.2542
102.9434, 162.1512
103.4255, 161.1130
103.9077, 160.4362
104.3898, 160.2303
104.8719, 160.3307
105.3540, 160.5045
105.8361, 161.1626
106.3182, 161.0923
106.8004, 159.7462
107.2825, 157.7225
107.7646, 155.6493
108.2467, 153.8732
108.7288, 152.3906
109.2109, 151.2716
109.6931, 150.7528
110.1752, 150.3321
110.6573, 149.9722
111.1394, 149.6128
111.6215, 149.1202
112.1036, 148.3222
112.5858, 147.1260
113.0679, 146.5196
113.5500, 146.9971
114.0321, 147.6613
114.5142, 147.8901
114.9964, 147.5840
115.4785, 146.9933
115.9606, 146.2389
116.4427, 145.3273
116.9248, 144.7797
117.4069, 145.0533
117.8891, 145.7528
118.3712, 146.0341
118.8533, 145.5997
119.3354, 144.8970
119.8175, 144.3116
120.2996, 143.8379
120.7818, 143.4945
121.2639, 143.3060
121.7460, 143.2742
122.2281, 143.3361
122.7102, 143.7459
123.1923, 144.0647
123.6745, 144.0174
124.1566, 143.5659
124.6387, 142.9120
125.1208, 142.3094
125.6029, 141.6954
126.0850, 141.2921
126.5672, 141.1925
127.0493, 141.2198
127.5314, 141.2840
128.0135, 141.3424
128.4956, 141.3397
128.9777, 141.1151
129.4599, 140.3655
129.9420, 139.7201
130.4241, 139.1449
130.9062, 138.7127
131.3883, 138.6144
131.8705, 139.0265
132.3526, 139.7641
132.8347, 139.7721
133.3168, 138.4424
133.7989, 137.1692
134.2810, 136.4910
134.7632, 136.3680
135.2453, 136.5752
135.7274, 137.1618
136.2095, 137.9443
136.6916, 138.3085
137.1737, 137.9620
137.6559, 137.3435
138.1380, 136.8741
138.6201, 136.5686
139.1022, 136.3418
139.5843, 136.1486
140.0664, 135.9919
140.5486, 135.8949
141.0307, 135.9167
141.5128, 135.9980
141.9949, 135.9582
142.4770, 135.7396
142.9591, 135.4735
143.4413, 135.1896
143.9234, 134.9079
144.4055, 134.6577
144.8876, 134.4560
145.3697, 134.3027
145.8518, 134.2180
146.3340, 134.3399
146.8161, 134.4111
147.2982, 134.3112
147.7803, 134.0774
