##NAMES=Grossular
##RRUFFID=R060442
##IDEAL CHEMISTRY=Ca_3_Al_2_(SiO_4_)_3_
##LOCALITY=Pakistan(?)
##OWNER=RRUFF
##SOURCE=Gemological Institute of America
##DESCRIPTION=Orange crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060442
##MEASURED CHEMISTRY=(Ca_2.85_Fe^2+^_0.15_)_Σ=3_(Al_1.85_Fe^3+^_0.15_)_Σ=2_(Si_1.00_O_4_)_3_; trace amounts of Ti, Mg
92.37695, 75.10011
92.85907, 74.08360
93.34119, 74.30793
93.82330, 75.16745
94.30542, 75.83791
94.78754, 76.31030
95.26965, 76.67164
95.75177, 76.50973
96.23389, 75.35798
96.71600, 73.95675
97.19812, 73.04370
97.68024, 72.77414
98.16235, 72.79628
98.64447, 72.68607
99.12659, 72.45970
99.60870, 71.90850
100.0908, 71.05412
100.5729, 70.15923
101.0551, 69.41850
101.5372, 68.90257
102.0193, 68.60163
102.5014, 68.54015
102.9835, 69.20638
103.4656, 69.61575
103.9478, 69.43313
104.4299, 68.86271
104.9120, 68.33251
105.3941, 68.21507
105.8762, 68.58116
106.3583, 68.45809
106.8405, 67.32920
107.3226, 66.20909
107.8047, 65.72705
108.2868, 65.92298
108.7689, 66.34443
109.2510, 66.52187
109.7332, 66.43880
110.2153, 66.29651
110.6974, 66.06876
111.1795, 65.80701
111.6616, 65.56880
112.1437, 65.34075
112.6259, 65.20330
113.1080, 65.31334
113.5901, 65.64860
114.0722, 65.88914
114.5543, 65.73853
115.0364, 65.22121
115.5185, 64.86771
116.0007, 64.91587
116.4828, 65.07687
116.9649, 65.17474
117.4470, 65.18437
117.9291, 65.18603
118.4112, 65.30967
118.8934, 65.64938
119.3755, 65.87489
119.8576, 65.84105
120.3397, 65.75407
120.8218, 65.82423
121.3039, 66.13177
121.7861, 66.53407
122.2682, 66.61817
122.7503, 65.85587
123.2324, 65.32456
123.7145, 65.22411
124.1966, 65.38026
124.6788, 65.53991
125.1609, 65.55524
125.6430, 65.44810
126.1251, 65.41241
126.6072, 65.51576
127.0893, 65.60521
127.5715, 65.67380
128.0536, 65.69744
128.5357, 65.54817
129.0178, 64.99752
129.4999, 64.17393
129.9821, 63.79932
130.4642, 64.38632
130.9463, 65.17599
131.4284, 65.24504
131.9105, 64.39533
132.3926, 63.60943
132.8748, 63.92859
133.3569, 64.85435
133.8390, 65.49247
134.3211, 65.24766
134.8032, 64.38824
135.2853, 63.83928
135.7674, 63.72631
136.2496, 63.80053
136.7317, 64.03473
137.2138, 64.34880
137.6959, 64.55720
138.1780, 64.48538
138.6601, 64.10529
139.1423, 63.74310
139.6244, 63.24904
140.1065, 62.90059
140.5886, 62.89373
141.0707, 63.18298
141.5528, 63.54406
142.0350, 63.72180
142.5171, 63.68697
142.9992, 63.50572
143.4813, 62.91046
143.9634, 62.37436
144.4455, 62.30991
144.9277, 62.78575
145.4098, 63.43276
145.8919, 63.63398
146.3740, 62.98600
146.8561, 62.62292
147.3382, 62.90284
147.8204, 63.39010
148.3025, 63.42547
148.7846, 62.69204
149.2667, 61.73592
149.7488, 61.88185
150.2309, 63.49757
150.7131, 64.71545
151.1952, 64.44868
151.6773, 63.15179
152.1594, 62.30562
152.6415, 62.64475
153.1236, 63.55393
153.6058, 64.01676
154.0879, 63.95034
154.5700, 63.68803
155.0521, 63.40762
155.5342, 63.10134
156.0163, 62.95623
156.4985, 63.19306
156.9806, 63.55702
157.4627, 63.85612
157.9448, 64.04301
158.4269, 64.16647
158.9090, 64.28845
159.3912, 64.39260
159.8733, 64.53852
160.3554, 64.74168
160.8375, 64.98470
161.3196, 65.26244
161.8017, 65.57376
162.2839, 65.90627
162.7660, 66.22649
163.2481, 66.59907
163.7302, 66.86048
164.2123, 66.96715
164.6944, 66.96430
165.1766, 66.87889
165.6587, 66.71664
166.1408, 66.51093
166.6229, 66.48536
167.1050, 66.79471
167.5871, 67.11494
168.0693, 67.33808
168.5514, 67.52485
169.0335, 67.79507
169.5156, 68.22253
169.9977, 68.81130
170.4798, 69.51875
170.9620, 70.50764
171.4441, 71.43641
171.9262, 71.99674
172.4083, 72.29080
172.8904, 72.79424
173.3725, 73.87222
173.8547, 75.51979
174.3368, 77.21716
174.8189, 78.83871
175.3010, 80.60432
175.7831, 82.87927
176.2652, 85.70306
176.7474, 88.31613
177.2295, 90.28616
177.7116, 91.59337
178.1937, 92.06083
178.6758, 91.39132
179.1579, 89.95185
179.6401, 88.19936
180.1222, 86.08004
180.6043, 83.81572
181.0864, 81.39319
181.5685, 78.94050
182.0506, 76.70379
182.5328, 74.77620
183.0149, 73.14855
183.4970, 71.79830
183.9791, 70.82870
184.4612, 70.01808
184.9433, 69.28904
185.4255, 68.62216
185.9076, 67.96780
186.3897, 67.24800
186.8718, 66.49287
187.3539, 66.05454
187.8360, 66.26736
188.3182, 66.46920
188.8003, 66.51394
189.2824, 66.40012
189.7645, 66.13362
190.2466, 65.66843
190.7287, 64.97972
191.2109, 64.66998
191.6930, 65.28806
192.1751, 65.75404
192.6572, 65.57446
193.1393, 64.91096
193.6214, 64.25359
194.1036, 64.04440
194.5857, 64.34932
195.0678, 64.57555
195.5499, 64.78275
196.0320, 64.88262
196.5141, 64.79872
196.9963, 64.55362
197.4784, 64.23197
197.9605, 63.88559
198.4426, 63.49725
198.9247, 63.33514
199.4068, 63.57325
199.8890, 63.88125
200.3711, 64.04465
200.8532, 64.04752
201.3353, 64.01290
201.8174, 64.10352
202.2995, 64.31763
202.7817, 64.20795
203.2638, 63.41354
203.7459, 62.48564
204.2280, 61.92447
204.7101, 61.78643
205.1922, 61.88301
205.6744, 62.13629
206.1565, 62.51278
206.6386, 62.84847
207.1207, 63.06852
207.6028, 63.24717
208.0849, 63.49163
208.5671, 63.82382
209.0492, 64.17203
209.5313, 64.53202
210.0134, 64.87233
210.4955, 65.09904
210.9776, 65.10875
211.4598, 64.99021
211.9419, 64.92866
212.4240, 64.91513
212.9061, 64.99055
213.3882, 65.15198
213.8703, 65.40620
214.3525, 65.78400
214.8346, 66.33858
215.3167, 67.02847
215.7988, 67.73035
216.2809, 68.61641
216.7630, 69.21838
217.2451, 69.10497
217.7273, 68.63631
218.2094, 68.45623
218.6915, 69.04763
219.1736, 70.25277
219.6557, 71.11038
220.1378, 71.36783
220.6200, 71.54935
221.1021, 71.63757
221.5842, 71.78282
222.0663, 72.24693
222.5484, 73.26669
223.0305, 74.75723
223.5127, 75.89570
223.9948, 76.24275
224.4769, 76.66666
224.9590, 77.22616
225.4411, 78.00236
225.9232, 79.13676
226.4054, 80.77398
226.8875, 82.84158
227.3696, 84.60002
227.8517, 85.87756
228.3338, 86.99913
228.8159, 87.78828
229.2981, 88.48154
229.7802, 89.48589
230.2623, 91.09805
230.7444, 93.25053
231.2265, 95.13264
231.7086, 96.24458
232.1908, 97.64799
232.6729, 99.85484
233.1550, 102.5475
233.6371, 105.0631
234.1192, 106.9604
234.6013, 108.3704
235.0835, 110.2903
235.5656, 113.1228
236.0477, 115.9293
236.5298, 118.7069
237.0119, 121.2546
237.4940, 123.1655
237.9762, 124.1617
238.4583, 124.3819
238.9404, 124.4827
239.4225, 124.2900
239.9046, 124.1904
240.3867, 124.0552
240.8689, 124.0856
241.3510, 124.7596
241.8331, 126.2931
242.3152, 128.6981
242.7973, 131.9476
243.2794, 136.1835
243.7616, 140.8338
244.2437, 146.3769
244.7258, 152.2532
245.2079, 156.9876
245.6900, 160.3982
246.1721, 161.6262
246.6543, 159.2620
247.1364, 152.8662
247.6185, 144.7728
248.1006, 135.2449
248.5827, 124.7756
249.0648, 114.9031
249.5470, 105.8533
250.0291, 98.02281
250.5112, 91.78513
250.9933, 87.16411
251.4754, 83.48556
251.9576, 80.45980
252.4397, 78.07742
252.9218, 76.24950
253.4039, 75.13030
253.8860, 74.39840
254.3681, 73.61632
254.8503, 72.77897
255.3324, 72.17375
255.8145, 72.08454
256.2966, 72.41979
256.7787, 72.71802
257.2608, 72.89584
257.7430, 73.02238
258.2251, 73.11564
258.7072, 73.19188
259.1893, 73.35925
259.6714, 73.70702
260.1535, 74.21236
260.6357, 74.76875
261.1178, 75.44051
261.5999, 76.05727
262.0820, 76.49705
262.5641, 76.80074
263.0462, 77.09484
263.5284, 77.42910
264.0105, 77.81003
264.4926, 78.27816
264.9747, 78.79075
265.4568, 79.46986
265.9389, 80.36268
266.4211, 81.43768
266.9032, 82.63171
267.3853, 83.94149
267.8674, 85.33637
268.3495, 86.64516
268.8316, 87.54787
269.3138, 88.90015
269.7959, 91.25362
270.2780, 94.13758
270.7601, 96.79121
271.2422, 98.67984
271.7243, 100.1972
272.2065, 102.6831
272.6886, 106.6493
273.1707, 110.7594
273.6528, 114.7600
274.1349, 118.6423
274.6170, 122.4421
275.0992, 126.2415
275.5813, 129.7786
276.0634, 132.4817
276.5455, 134.7523
277.0276, 135.2471
277.5097, 133.8151
277.9919, 130.8477
278.4740, 126.4043
278.9561, 120.5038
279.4382, 113.8799
279.9203, 107.7738
280.4024, 102.1807
280.8846, 97.25106
281.3667, 92.98360
281.8488, 89.26143
282.3309, 86.12344
282.8130, 83.53989
283.2951, 81.30026
283.7773, 79.07198
284.2594, 76.70515
284.7415, 74.75410
285.2236, 73.33764
285.7057, 72.18974
286.1878, 71.17789
286.6700, 70.27969
287.1521, 69.53127
287.6342, 69.01263
288.1163, 68.83192
288.5984, 68.46419
289.0805, 67.90336
289.5627, 67.18347
290.0448, 66.13467
290.5269, 64.88700
291.0090, 63.84420
291.4911, 63.44735
291.9732, 63.78719
292.4554, 63.61666
292.9375, 62.18369
293.4196, 60.99518
293.9017, 60.68886
294.3838, 61.02364
294.8659, 61.41880
295.3481, 61.46763
295.8302, 61.19425
296.3123, 60.92041
296.7944, 60.49628
297.2765, 60.23779
297.7586, 60.36234
298.2408, 60.66345
298.7229, 60.83874
299.2050, 60.71939
299.6871, 60.36458
300.1692, 59.99590
300.6513, 59.46412
301.1335, 59.11550
301.6156, 58.98285
302.0977, 59.04611
302.5798, 59.32664
303.0619, 59.82697
303.5440, 60.44347
304.0262, 60.97148
304.5083, 61.42106
304.9904, 61.73944
305.4725, 61.82517
305.9546, 61.85262
306.4367, 62.02666
306.9189, 62.36678
307.4010, 62.64721
307.8831, 62.49897
308.3652, 61.56304
308.8473, 61.15991
309.3294, 61.47751
309.8116, 62.07318
310.2937, 62.80046
310.7758, 63.57643
311.2579, 64.27494
311.7400, 64.76421
312.2221, 65.02886
312.7043, 65.20483
313.1864, 65.31915
313.6685, 65.33591
314.1506, 65.12135
314.6327, 64.78719
315.1148, 64.58472
315.5970, 64.70399
316.0791, 65.12511
316.5612, 65.57759
317.0433, 66.16143
317.5254, 66.66904
318.0075, 66.98873
318.4897, 67.21708
318.9718, 67.53010
319.4539, 68.02523
319.9360, 68.59910
320.4181, 68.91136
320.9002, 68.31004
321.3824, 68.28704
321.8645, 69.22946
322.3466, 70.61954
322.8287, 72.02770
323.3108, 73.28345
323.7929, 74.39576
324.2751, 75.32743
324.7572, 75.74716
325.2393, 76.66355
325.7214, 78.56450
326.2035, 80.53805
326.6856, 82.02615
327.1678, 82.93443
327.6499, 83.47353
328.1320, 83.89330
328.6141, 84.26970
329.0962, 84.10638
329.5783, 83.25303
330.0605, 82.08831
330.5426, 80.52843
331.0247, 78.76303
331.5068, 77.22777
331.9889, 76.29659
332.4710, 75.91101
332.9532, 75.11865
333.4353, 73.17686
333.9174, 71.61487
334.3995, 70.80886
334.8816, 70.54817
335.3637, 70.57161
335.8459, 70.75594
336.3280, 71.03472
336.8101, 71.19332
337.2922, 71.02354
337.7743, 71.05439
338.2564, 71.37431
338.7386, 71.86560
339.2206, 72.42655
339.7028, 73.02995
340.1849, 73.70557
340.6670, 74.52676
341.1491, 75.60703
341.6312, 76.54060
342.1133, 77.21523
342.5955, 77.85221
343.0776, 78.39654
343.5597, 78.96564
344.0418, 79.90835
344.5239, 81.64832
345.0060, 84.25081
345.4882, 86.49875
345.9703, 88.33513
346.4524, 89.83012
346.9345, 91.03075
347.4166, 91.89031
347.8987, 92.21226
348.3809, 91.76416
348.8630, 90.87575
349.3451, 90.95257
349.8272, 92.71266
350.3093, 94.37684
350.7914, 95.32921
351.2736, 96.15688
351.7557, 97.42302
352.2378, 99.32736
352.7199, 101.7068
