##NAMES=Waylandite
##RRUFFID=R130361
##IDEAL CHEMISTRY=Bi^3+^Al_3_(PO_4_)_2_(OH)_6_
##LOCALITY=Ngussa, Kivu, Zaire
##OWNER=RRUFF
##SOURCE=Rock Currier
##DESCRIPTION=Colorless to pale brown crystals, associated with prismatic dark brown or bluish fluor-dravite
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R130361
1.471251e+002, 6.315837e+002
1.476072e+002, 6.306863e+002
1.480893e+002, 6.295227e+002
1.485714e+002, 6.284175e+002
1.490535e+002, 6.276155e+002
1.495357e+002, 6.271568e+002
1.500178e+002, 6.267988e+002
1.504999e+002, 6.261353e+002
1.509820e+002, 6.248587e+002
1.514641e+002, 6.239562e+002
1.519462e+002, 6.236034e+002
1.524284e+002, 6.235287e+002
1.529105e+002, 6.235979e+002
1.533926e+002, 6.237480e+002
1.538747e+002, 6.238873e+002
1.543568e+002, 6.237824e+002
1.548389e+002, 6.231689e+002
1.553211e+002, 6.226020e+002
1.558032e+002, 6.219495e+002
1.562853e+002, 6.213998e+002
1.567674e+002, 6.212315e+002
1.572495e+002, 6.216000e+002
1.577316e+002, 6.223595e+002
1.582138e+002, 6.228947e+002
1.586959e+002, 6.233309e+002
1.591780e+002, 6.234504e+002
1.596601e+002, 6.227576e+002
1.601422e+002, 6.216641e+002
1.606243e+002, 6.211741e+002
1.611065e+002, 6.219918e+002
1.615886e+002, 6.238038e+002
1.620707e+002, 6.250652e+002
1.625528e+002, 6.256736e+002
1.630349e+002, 6.258992e+002
1.635170e+002, 6.256521e+002
1.639991e+002, 6.249960e+002
1.644813e+002, 6.245927e+002
1.649634e+002, 6.251146e+002
1.654455e+002, 6.261169e+002
1.659276e+002, 6.265428e+002
1.664097e+002, 6.258556e+002
1.668918e+002, 6.248871e+002
1.673740e+002, 6.247418e+002
1.678561e+002, 6.256462e+002
1.683382e+002, 6.262913e+002
1.688203e+002, 6.254041e+002
1.693024e+002, 6.239129e+002
1.697845e+002, 6.229645e+002
1.702667e+002, 6.231476e+002
1.707488e+002, 6.240440e+002
1.712309e+002, 6.247519e+002
1.717130e+002, 6.253493e+002
1.721951e+002, 6.255667e+002
1.726772e+002, 6.250297e+002
1.731594e+002, 6.241724e+002
1.736415e+002, 6.236139e+002
1.741236e+002, 6.237490e+002
1.746057e+002, 6.244796e+002
1.750878e+002, 6.252184e+002
1.755699e+002, 6.261171e+002
1.760521e+002, 6.268439e+002
1.765342e+002, 6.271757e+002
1.770163e+002, 6.272863e+002
1.774984e+002, 6.274969e+002
1.779805e+002, 6.280862e+002
1.784626e+002, 6.290616e+002
1.789448e+002, 6.296185e+002
1.794269e+002, 6.289482e+002
1.799090e+002, 6.286510e+002
1.803911e+002, 6.295659e+002
1.808732e+002, 6.313275e+002
1.813553e+002, 6.329308e+002
1.818375e+002, 6.334761e+002
1.823196e+002, 6.328088e+002
1.828017e+002, 6.325474e+002
1.832838e+002, 6.328871e+002
1.837659e+002, 6.333477e+002
1.842480e+002, 6.338587e+002
1.847301e+002, 6.343294e+002
1.852123e+002, 6.344824e+002
1.856944e+002, 6.339648e+002
1.861765e+002, 6.326388e+002
1.866586e+002, 6.319071e+002
1.871407e+002, 6.325604e+002
1.876228e+002, 6.332351e+002
1.881050e+002, 6.327901e+002
1.885871e+002, 6.311350e+002
1.890692e+002, 6.291945e+002
1.895513e+002, 6.278893e+002
1.900334e+002, 6.272034e+002
1.905155e+002, 6.262433e+002
1.909977e+002, 6.246226e+002
1.914798e+002, 6.228256e+002
1.919619e+002, 6.214903e+002
1.924440e+002, 6.207740e+002
1.929261e+002, 6.200625e+002
1.934082e+002, 6.185749e+002
1.938904e+002, 6.165557e+002
1.943725e+002, 6.147487e+002
1.948546e+002, 6.134699e+002
1.953367e+002, 6.125366e+002
1.958188e+002, 6.115974e+002
1.963009e+002, 6.106309e+002
1.967831e+002, 6.096472e+002
1.972652e+002, 6.086637e+002
1.977473e+002, 6.076681e+002
1.982294e+002, 6.066437e+002
1.987115e+002, 6.055063e+002
1.991936e+002, 6.043080e+002
1.996758e+002, 6.032543e+002
2.001579e+002, 6.022083e+002
2.006400e+002, 6.015517e+002
2.011221e+002, 6.016857e+002
2.016042e+002, 6.023405e+002
2.020863e+002, 6.028480e+002
2.025685e+002, 6.025677e+002
2.030506e+002, 6.015727e+002
2.035327e+002, 6.011735e+002
2.040148e+002, 6.020023e+002
2.044969e+002, 6.028088e+002
2.049790e+002, 6.028711e+002
2.054612e+002, 6.024880e+002
2.059433e+002, 6.024476e+002
2.064254e+002, 6.035709e+002
2.069075e+002, 6.059565e+002
2.073896e+002, 6.075495e+002
2.078717e+002, 6.075332e+002
2.083539e+002, 6.074202e+002
2.088360e+002, 6.075814e+002
2.093181e+002, 6.080400e+002
2.098002e+002, 6.086703e+002
2.102823e+002, 6.093372e+002
2.107644e+002, 6.099919e+002
2.112466e+002, 6.111155e+002
2.117287e+002, 6.132384e+002
2.122108e+002, 6.152921e+002
2.126929e+002, 6.168012e+002
2.131750e+002, 6.178364e+002
2.136571e+002, 6.187767e+002
2.141393e+002, 6.199586e+002
2.146214e+002, 6.214159e+002
2.151035e+002, 6.229258e+002
2.155856e+002, 6.244247e+002
2.160677e+002, 6.260228e+002
2.165498e+002, 6.278702e+002
2.170320e+002, 6.299073e+002
2.175141e+002, 6.319207e+002
2.179962e+002, 6.337067e+002
2.184783e+002, 6.352357e+002
2.189604e+002, 6.366965e+002
2.194425e+002, 6.379403e+002
2.199247e+002, 6.392468e+002
2.204068e+002, 6.408085e+002
2.208889e+002, 6.426191e+002
2.213710e+002, 6.445195e+002
2.218531e+002, 6.463618e+002
2.223352e+002, 6.481464e+002
2.228174e+002, 6.501047e+002
2.232995e+002, 6.525155e+002
2.237816e+002, 6.548965e+002
2.242637e+002, 6.567564e+002
2.247458e+002, 6.581027e+002
2.252279e+002, 6.595032e+002
2.257100e+002, 6.615019e+002
2.261922e+002, 6.640070e+002
2.266743e+002, 6.662489e+002
2.271564e+002, 6.679398e+002
2.276385e+002, 6.694952e+002
2.281206e+002, 6.711991e+002
2.286027e+002, 6.730577e+002
2.290849e+002, 6.752009e+002
2.295670e+002, 6.780900e+002
2.300491e+002, 6.813235e+002
2.305312e+002, 6.837957e+002
2.310133e+002, 6.848281e+002
2.314954e+002, 6.852839e+002
2.319776e+002, 6.860730e+002
2.324597e+002, 6.872176e+002
2.329418e+002, 6.885418e+002
2.334239e+002, 6.901290e+002
2.339060e+002, 6.917969e+002
2.343881e+002, 6.932796e+002
2.348703e+002, 6.946293e+002
2.353524e+002, 6.956613e+002
2.358345e+002, 6.961445e+002
2.363166e+002, 6.960659e+002
2.367987e+002, 6.954781e+002
2.372808e+002, 6.940316e+002
2.377630e+002, 6.921994e+002
2.382451e+002, 6.904620e+002
2.387272e+002, 6.889870e+002
2.392093e+002, 6.876379e+002
