##NAMES=Monazite-(Ce)
##RRUFFID=R060925
##IDEAL CHEMISTRY=CePO_4_
##LOCALITY=Siglo Veinte mine, Llallagua, Bustillos Province, Potosi Department, Bolivia
##OWNER=RRUFF
##SOURCE=Alfredo Petrov
##DESCRIPTION=Pale peach semi-transparent crystals associated with quartz
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060925
##MEASURED CHEMISTRY=(Ce_0.52_La_0.21_Nd_0.19_Y_0.06_Ca_0.01_Th_0.01_)_Σ=1_P_1.00_O_4_ ; = light phase, and dark phase = (Ce_0.49_La_0.21_Nd_0.20_Y_0.07_Ca_0.02_Th_0.02_)_Σ=1_P_1.00_O_4_
212.1654, 2558.783
212.6475, 2570.292
213.1296, 2585.687
213.6117, 2604.428
214.0938, 2625.983
214.5760, 2650.607
215.0581, 2677.263
215.5402, 2704.154
216.0223, 2731.249
216.5044, 2764.020
216.9865, 2811.943
217.4687, 2861.091
217.9508, 2896.000
218.4329, 2913.220
218.9150, 2925.475
219.3971, 2938.781
219.8792, 2953.837
220.3614, 2979.914
220.8435, 3027.186
221.3256, 3080.418
221.8077, 3121.356
222.2898, 3148.067
222.7719, 3174.763
223.2541, 3213.260
223.7362, 3261.149
224.2183, 3304.481
224.7004, 3338.553
225.1825, 3367.846
225.6646, 3397.775
226.1468, 3428.605
226.6289, 3457.201
227.1110, 3478.529
227.5931, 3495.683
228.0752, 3519.257
228.5573, 3552.455
229.0395, 3590.787
229.5216, 3630.340
230.0037, 3670.930
230.4858, 3710.276
230.9679, 3747.599
231.4500, 3782.808
231.9322, 3814.798
232.4143, 3842.024
232.8964, 3869.420
233.3785, 3905.844
233.8606, 3949.355
234.3427, 3985.030
234.8249, 4001.964
235.3070, 4010.294
235.7891, 4026.165
236.2712, 4052.451
236.7533, 4081.324
237.2354, 4106.562
237.7176, 4128.639
238.1997, 4148.286
238.6818, 4164.794
239.1639, 4179.564
239.6460, 4196.045
240.1281, 4214.832
240.6103, 4228.220
241.0924, 4228.270
241.5745, 4216.829
242.0566, 4206.897
242.5387, 4202.839
243.0208, 4198.254
243.5030, 4186.870
243.9851, 4169.185
244.4672, 4151.482
244.9493, 4137.935
245.4314, 4127.972
245.9135, 4117.190
246.3957, 4110.977
246.8778, 4099.156
247.3599, 4073.547
247.8420, 4036.638
248.3241, 3997.752
248.8062, 3960.306
249.2884, 3925.363
249.7705, 3896.791
250.2526, 3887.185
250.7347, 3867.897
251.2168, 3816.108
251.6989, 3747.676
252.1811, 3697.786
252.6632, 3683.979
253.1453, 3691.837
253.6274, 3685.014
254.1095, 3659.396
254.5916, 3628.346
255.0738, 3585.211
255.5559, 3540.796
256.0380, 3513.993
256.5201, 3511.636
257.0022, 3516.408
257.4843, 3497.750
257.9665, 3438.374
258.4486, 3387.592
258.9307, 3347.507
259.4128, 3316.158
259.8949, 3295.634
260.3770, 3285.107
260.8592, 3274.930
261.3413, 3251.792
261.8234, 3207.363
262.3055, 3176.196
262.7876, 3165.875
263.2697, 3161.132
263.7519, 3154.802
264.2340, 3145.250
264.7161, 3131.527
265.1982, 3111.362
265.6803, 3082.352
266.1624, 3066.833
266.6446, 3074.347
267.1267, 3083.970
267.6088, 3091.906
268.0909, 3095.564
268.5730, 3089.809
269.0551, 3069.029
269.5373, 3035.443
270.0194, 3017.089
270.5015, 3026.214
270.9836, 3039.262
271.4657, 3056.283
271.9478, 3073.858
272.4300, 3087.623
272.9121, 3095.283
273.3942, 3098.055
273.8763, 3098.905
274.3584, 3090.599
274.8405, 3092.782
275.3227, 3115.936
275.8048, 3145.691
276.2869, 3167.993
276.7690, 3177.750
277.2511, 3182.413
277.7332, 3193.787
278.2154, 3212.718
278.6975, 3235.846
279.1796, 3263.362
279.6617, 3294.353
280.1438, 3329.869
280.6259, 3369.645
281.1081, 3409.670
281.5902, 3445.066
282.0723, 3475.529
282.5544, 3508.718
283.0365, 3543.883
283.5186, 3583.839
284.0008, 3633.236
284.4829, 3689.864
284.9650, 3744.302
285.4471, 3789.790
285.9292, 3827.689
286.4113, 3863.898
286.8935, 3897.334
287.3756, 3931.660
287.8577, 3968.312
288.3398, 4007.423
288.8219, 4049.882
289.3040, 4097.953
289.7862, 4148.442
290.2683, 4196.809
290.7504, 4242.459
291.2325, 4288.709
291.7146, 4338.373
292.1967, 4389.573
292.6789, 4439.207
293.1610, 4485.691
293.6431, 4531.558
294.1252, 4578.126
294.6073, 4625.522
295.0894, 4675.120
295.5716, 4729.208
296.0537, 4784.080
296.5358, 4831.775
297.0179, 4869.877
297.5000, 4908.375
297.9821, 4945.824
298.4643, 4986.771
298.9464, 5044.668
299.4285, 5125.843
299.9106, 5209.818
300.3927, 5266.040
300.8748, 5286.151
301.3570, 5313.577
301.8391, 5360.773
302.3212, 5412.007
302.8033, 5453.595
303.2854, 5483.989
303.7675, 5508.383
304.2497, 5530.831
304.7318, 5550.807
305.2139, 5575.391
305.6960, 5613.795
306.1781, 5647.564
306.6602, 5665.288
307.1424, 5671.008
307.6245, 5676.424
308.1066, 5689.271
308.5887, 5707.767
309.0708, 5720.526
309.5529, 5730.625
310.0351, 5730.643
310.5172, 5713.235
310.9993, 5687.521
311.4814, 5663.613
311.9635, 5645.683
312.4456, 5631.550
312.9278, 5616.479
313.4099, 5598.020
313.8920, 5584.257
314.3741, 5578.998
314.8562, 5575.634
315.3383, 5572.992
315.8205, 5569.315
316.3026, 5558.686
316.7847, 5531.510
317.2668, 5485.576
317.7489, 5445.986
318.2310, 5416.578
318.7132, 5390.258
319.1953, 5363.934
319.6774, 5337.928
320.1595, 5313.206
320.6416, 5291.656
321.1237, 5271.519
321.6059, 5247.058
322.0880, 5215.477
322.5701, 5185.945
323.0522, 5163.009
323.5343, 5144.568
324.0164, 5129.670
324.4986, 5122.205
324.9807, 5110.910
325.4628, 5080.191
325.9449, 5031.098
326.4270, 4985.314
326.9091, 4951.760
327.3913, 4924.507
327.8734, 4893.689
328.3555, 4858.038
328.8376, 4824.348
329.3197, 4797.846
329.8018, 4775.075
330.2840, 4749.690
330.7661, 4720.543
331.2482, 4687.554
331.7303, 4648.300
332.2124, 4601.311
332.6945, 4562.449
333.1767, 4533.382
333.6588, 4512.423
334.1409, 4502.908
334.6230, 4502.192
335.1051, 4498.952
335.5872, 4485.543
336.0694, 4462.201
336.5515, 4430.785
337.0336, 4383.725
337.5157, 4338.676
337.9979, 4295.940
338.4800, 4258.747
338.9621, 4232.508
339.4442, 4219.638
339.9263, 4214.997
340.4084, 4207.605
340.8906, 4196.790
341.3727, 4183.917
341.8548, 4168.665
342.3369, 4151.910
342.8190, 4132.469
343.3011, 4111.132
343.7833, 4092.157
344.2654, 4080.893
344.7475, 4078.044
345.2296, 4072.845
345.7117, 4062.563
346.1938, 4052.770
346.6760, 4049.458
347.1581, 4048.166
347.6402, 4038.886
348.1223, 4012.060
348.6044, 3977.587
349.0865, 3958.251
349.5687, 3957.312
350.0508, 3958.692
350.5329, 3956.553
351.0150, 3952.835
351.4971, 3949.784
351.9792, 3948.121
352.4614, 3945.925
352.9435, 3940.962
353.4256, 3934.057
353.9077, 3928.696
354.3898, 3926.279
