##NAMES=Berthierine
##RRUFFID=R110177
##IDEAL CHEMISTRY=(Fe^2+^,Fe^3+^,Al)_3_(Si,Al)_2_O_5_(OH)_4_
##LOCALITY=DeMix quarry, Mont St-Hilaire, Quebec
##OWNER=RRUFF
##SOURCE=Donald Doell
##DESCRIPTION=Hexagonal prisms, with gray transparent terminations. We sample the terminations.
##STATUS=The identification of this mineral has been confirmed only by single crystal X-ray diffraction.
##URL=rruff.info/R110177
344.5677, 155.4464
345.0498, 154.4711
345.5319, 154.6647
346.0140, 155.5379
346.4961, 156.3564
346.9782, 157.1077
347.4604, 157.5022
347.9425, 157.0883
348.4246, 156.1360
348.9067, 155.5928
349.3888, 155.4981
349.8709, 155.8616
350.3531, 157.1012
350.8352, 158.9261
351.3173, 160.2531
351.7994, 160.2095
352.2815, 159.5196
352.7636, 159.3863
353.2458, 159.8087
353.7279, 160.4248
354.2100, 161.1292
354.6921, 161.7874
355.1742, 162.1428
355.6563, 161.8954
356.1385, 161.5525
356.6206, 161.6191
357.1027, 162.0320
357.5848, 162.4739
358.0669, 162.7706
358.5490, 163.0021
359.0312, 163.2662
359.5133, 163.6547
359.9954, 163.9224
360.4775, 163.6988
360.9596, 163.2541
361.4417, 163.1615
361.9239, 163.9661
362.4060, 164.9455
362.8881, 165.7172
363.3702, 166.2180
363.8523, 166.6400
364.3344, 166.8635
364.8166, 167.1048
365.2987, 167.6154
365.7808, 168.7912
366.2629, 169.8918
366.7450, 170.7612
367.2271, 171.3927
367.7093, 171.7866
368.1914, 171.5977
368.6735, 171.3853
369.1556, 171.5153
369.6377, 172.3323
370.1198, 173.0694
370.6020, 173.6531
371.0841, 174.1275
371.5662, 174.6596
372.0483, 175.2617
372.5304, 175.8938
373.0125, 176.5272
373.4947, 177.1082
373.9768, 177.8550
374.4589, 178.9092
374.9410, 180.0241
375.4231, 180.7111
375.9052, 180.7334
376.3874, 181.0338
376.8695, 182.0538
377.3516, 183.7783
377.8337, 184.7914
378.3158, 184.9283
378.7979, 184.8675
379.2801, 185.2968
379.7622, 186.2445
380.2443, 187.1890
380.7264, 188.0715
381.2085, 188.8643
381.6906, 189.5302
382.1728, 190.0674
382.6549, 190.4037
383.1370, 190.4930
383.6191, 190.3336
384.1012, 189.8253
384.5833, 188.8469
385.0655, 187.8646
385.5476, 187.5737
386.0297, 187.8271
386.5118, 188.1155
386.9939, 188.3266
387.4760, 188.3742
387.9582, 188.0434
388.4403, 187.3264
388.9224, 186.6127
389.4045, 186.2649
389.8866, 186.1155
390.3687, 185.9345
390.8509, 185.7429
391.3330, 185.4016
391.8151, 184.6692
392.2972, 183.6558
392.7793, 182.7935
393.2614, 182.3086
393.7436, 182.0496
394.2257, 181.9700
394.7078, 182.2509
395.1899, 182.2390
395.6720, 181.3799
396.1541, 180.1347
396.6363, 179.2452
397.1184, 179.2100
397.6005, 179.2598
398.0826, 179.2251
398.5647, 179.1235
399.0468, 178.6795
399.5290, 177.5806
400.0111, 176.2882
400.4932, 175.1744
400.9753, 174.4713
401.4574, 173.6258
401.9395, 172.4319
402.4217, 171.0279
402.9038, 170.1429
403.3859, 170.1585
403.8680, 170.1346
404.3501, 169.5618
404.8322, 168.2226
405.3144, 167.1264
405.7965, 166.3520
406.2786, 165.7413
406.7607, 164.9816
407.2428, 163.9916
407.7249, 163.3124
408.2071, 163.2695
408.6892, 163.7235
409.1713, 163.8277
409.6534, 163.5780
410.1355, 162.9850
410.6176, 161.7858
411.0998, 160.1346
411.5819, 159.0379
412.0640, 158.8557
412.5461, 159.0312
413.0282, 158.6047
413.5103, 157.6708
413.9925, 156.7839
414.4746, 156.2015
414.9567, 155.8843
415.4388, 155.8611
415.9209, 156.1678
416.4030, 156.4498
416.8852, 156.4866
417.3673, 156.2894
417.8494, 155.8803
418.3315, 154.8784
418.8136, 153.9901
419.2957, 153.9229
419.7779, 154.5159
420.2600, 154.6909
420.7421, 153.3897
421.2242, 151.8296
421.7063, 150.9462
422.1884, 151.2007
422.6706, 151.5459
423.1527, 151.7554
423.6348, 151.8829
424.1169, 152.0310
424.5990, 152.2759
425.0811, 152.4845
425.5633, 152.6231
426.0454, 152.6917
426.5275, 152.6581
427.0096, 152.2083
427.4917, 151.8999
427.9738, 152.2950
428.4560, 154.0693
428.9381, 155.0683
429.4202, 154.6884
429.9023, 153.4363
430.3844, 153.2065
430.8665, 154.4458
431.3487, 155.4387
431.8308, 155.0651
432.3129, 153.2260
432.7950, 152.1878
433.2771, 152.0986
433.7592, 152.4926
434.2414, 152.7074
434.7235, 152.7884
435.2056, 153.3533
435.6877, 155.0312
436.1698, 157.0137
436.6519, 157.2659
437.1341, 155.8811
437.6162, 154.5723
438.0983, 154.9356
438.5804, 156.1449
439.0625, 156.7141
439.5446, 156.2664
440.0268, 155.6077
440.5089, 155.2167
440.9910, 155.1515
441.4731, 155.5303
441.9552, 157.1664
442.4373, 158.6631
442.9195, 158.9186
443.4016, 157.9358
443.8837, 157.1051
444.3658, 157.0488
444.8479, 157.3444
445.3300, 157.6771
445.8122, 158.3348
446.2943, 158.5652
446.7764, 157.9232
447.2585, 156.7521
447.7406, 155.9303
448.2227, 155.4589
448.7049, 155.4124
