##NAMES=Szaibelyite
##RRUFFID=R070498
##IDEAL CHEMISTRY=MgBO_2_(OH)
##LOCALITY=Stinson Beach, Marin County, California, USA
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Matted aggregates of white fibrous crystals, associated with magnetite and chromite
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R070498
195.9565, 23541.40
196.4386, 23541.84
196.9207, 23527.61
197.4028, 23504.75
197.8849, 23514.39
198.3671, 23563.84
198.8492, 23624.95
199.3313, 23661.47
199.8134, 23670.80
200.2955, 23684.07
200.7776, 23716.46
201.2598, 23766.02
201.7419, 23789.20
202.2240, 23773.22
202.7061, 23755.38
203.1882, 23806.22
203.6703, 23945.43
204.1525, 24047.76
204.6346, 24048.51
205.1167, 23937.40
205.5988, 23877.78
206.0809, 23885.18
206.5630, 23922.64
207.0452, 23919.31
207.5273, 23859.07
208.0094, 23815.30
208.4915, 23827.29
208.9736, 23908.05
209.4557, 23966.56
209.9379, 23999.38
210.4200, 24013.63
210.9021, 24026.28
211.3842, 24043.88
211.8663, 24043.63
212.3484, 24003.62
212.8306, 23905.29
213.3127, 23854.76
213.7948, 23873.67
214.2769, 23932.29
214.7590, 23945.33
215.2411, 23889.80
215.7233, 23838.30
216.2054, 23829.49
216.6875, 23871.23
217.1696, 23929.63
217.6517, 24014.08
218.1338, 24111.32
218.6160, 24171.15
219.0981, 24178.95
219.5802, 24175.87
220.0623, 24187.08
220.5444, 24221.57
221.0265, 24243.53
221.5087, 24246.72
221.9908, 24235.29
222.4729, 24228.97
222.9550, 24229.68
223.4371, 24233.21
223.9192, 24235.54
224.4014, 24231.37
224.8835, 24241.11
225.3656, 24271.56
225.8477, 24319.16
226.3298, 24358.67
226.8119, 24387.76
227.2941, 24411.72
227.7762, 24432.81
228.2583, 24444.52
228.7404, 24465.60
229.2225, 24502.16
229.7046, 24550.88
230.1868, 24588.50
230.6689, 24619.82
231.1510, 24632.62
231.6331, 24611.47
232.1152, 24525.51
232.5974, 24471.15
233.0795, 24474.90
233.5616, 24531.63
234.0437, 24552.25
234.5258, 24519.53
235.0079, 24473.11
235.4901, 24444.73
235.9722, 24440.76
236.4543, 24446.09
236.9364, 24465.94
237.4185, 24499.81
237.9006, 24508.93
238.3828, 24477.39
238.8649, 24438.17
239.3470, 24416.31
239.8291, 24404.70
240.3112, 24423.90
240.7933, 24487.75
241.2755, 24595.44
241.7576, 24677.95
242.2397, 24731.69
242.7218, 24762.42
243.2039, 24770.41
243.6860, 24732.32
244.1682, 24716.68
244.6503, 24746.47
245.1324, 24822.92
245.6145, 24863.07
246.0966, 24845.73
246.5787, 24814.85
247.0609, 24814.85
247.5430, 24867.08
248.0251, 24909.31
248.5072, 24928.95
248.9893, 24925.38
249.4714, 24916.07
249.9536, 24889.58
250.4357, 24868.83
250.9178, 24881.15
251.3999, 24949.44
251.8820, 25002.93
252.3641, 25023.12
252.8463, 25009.01
253.3284, 25006.56
253.8105, 25022.18
254.2926, 25042.69
254.7747, 25055.23
255.2568, 25058.29
255.7390, 25056.66
256.2211, 25047.12
256.7032, 25029.52
257.1853, 25032.00
257.6674, 25065.43
258.1495, 25105.94
258.6317, 25127.67
259.1138, 25120.78
259.5959, 25117.88
260.0780, 25126.92
260.5601, 25147.84
261.0422, 25163.45
261.5244, 25171.19
262.0065, 25176.67
262.4886, 25185.47
