##NAMES=Tsumcorite
##RRUFFID=R100185
##IDEAL CHEMISTRY=Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_&#183;2H_2_O
##LOCALITY=Mina Ojuela (Campo Sur), Mapimi, Durango, Mexico
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Brilliant brown wedge-shaped crystals on pulverant segnitite, associated with colorless mimetite
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R100185
176.9043, 43.51028
177.3864, 43.50245
177.8685, 42.94905
178.3506, 41.79110
178.8328, 39.67039
179.3149, 38.25550
179.7970, 38.91858
180.2791, 40.14610
180.7612, 40.51430
181.2433, 39.39628
181.7255, 37.62108
182.2076, 37.06089
182.6897, 38.58211
183.1718, 39.76550
183.6539, 39.90620
184.1360, 39.59407
184.6181, 39.49357
185.1003, 39.94976
185.5824, 40.68551
186.0645, 40.68589
186.5466, 38.91038
187.0287, 37.64763
187.5108, 37.50926
187.9930, 37.96331
188.4751, 38.34702
188.9572, 38.28871
189.4393, 37.86429
189.9214, 37.48763
190.4035, 36.96356
190.8857, 36.70367
191.3678, 36.93478
191.8499, 37.47469
192.3320, 38.01921
192.8141, 38.38809
193.2962, 38.60540
193.7784, 38.85897
194.2605, 39.34135
194.7426, 39.65467
195.2247, 39.69136
195.7068, 39.45423
196.1889, 38.89835
196.6711, 37.86309
197.1532, 36.54293
197.6353, 35.86521
198.1174, 36.21244
198.5995, 36.77161
199.0816, 37.25039
199.5638, 37.62135
200.0459, 37.67630
200.5280, 37.10614
201.0101, 36.17696
201.4922, 35.68791
201.9743, 35.88478
202.4565, 36.30587
202.9386, 36.69842
203.4207, 37.07239
203.9028, 37.10269
204.3849, 36.16249
204.8670, 34.92125
205.3492, 34.41599
205.8313, 35.17927
206.3134, 36.29294
206.7955, 36.55703
207.2776, 35.79417
207.7597, 35.00513
208.2419, 34.56494
208.7240, 34.36190
209.2061, 34.34385
209.6882, 34.52080
210.1703, 34.81981
210.6524, 35.19222
211.1346, 35.79633
211.6167, 36.03516
212.0988, 35.61126
212.5809, 34.82570
213.0630, 33.81899
213.5451, 32.58331
214.0273, 31.43264
214.5094, 31.19152
214.9915, 32.57517
215.4736, 33.59061
215.9557, 33.78759
216.4378, 33.52184
216.9200, 33.07189
217.4021, 32.55227
217.8842, 32.04252
218.3663, 31.79550
218.8484, 32.15267
219.3305, 32.27872
219.8127, 31.71597
220.2948, 31.03450
220.7769, 31.00224
221.2590, 31.97029
221.7411, 33.41790
222.2232, 33.78956
222.7054, 31.61089
223.1875, 30.06386
223.6696, 29.58591
224.1517, 29.73785
224.6338, 30.09465
225.1159, 30.47065
225.5980, 30.80328
226.0802, 30.90529
