##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
143.4313, 1169.545
143.9134, 1185.852
144.3955, 1203.928
144.8776, 1221.010
145.3597, 1236.162
145.8419, 1249.270
146.3240, 1265.784
146.8061, 1293.613
147.2882, 1319.217
147.7703, 1330.131
148.2524, 1306.258
148.7346, 1290.791
149.2167, 1295.575
149.6988, 1328.824
150.1809, 1346.542
150.6630, 1331.526
151.1452, 1306.094
151.6273, 1297.874
152.1094, 1329.751
152.5915, 1359.898
153.0736, 1375.589
153.5557, 1369.232
154.0379, 1363.486
154.5200, 1360.335
155.0021, 1359.360
155.4842, 1359.633
155.9663, 1365.971
156.4484, 1369.993
156.9306, 1367.039
157.4127, 1347.856
157.8948, 1333.463
158.3769, 1332.117
158.8590, 1340.568
159.3411, 1346.626
159.8233, 1342.710
160.3054, 1337.018
160.7875, 1335.428
161.2696, 1345.088
161.7517, 1354.105
162.2338, 1354.949
162.7160, 1348.657
163.1981, 1348.126
163.6802, 1368.415
164.1623, 1394.508
164.6444, 1410.415
165.1265, 1404.076
165.6087, 1390.360
166.0908, 1375.042
166.5729, 1357.819
167.0550, 1347.181
167.5371, 1353.138
168.0192, 1368.639
168.5014, 1382.334
168.9835, 1388.755
169.4656, 1391.165
169.9477, 1391.783
170.4298, 1390.554
170.9119, 1388.885
171.3941, 1386.338
171.8762, 1384.000
172.3583, 1384.538
172.8404, 1395.152
173.3225, 1407.596
173.8046, 1409.741
174.2868, 1396.156
174.7689, 1380.047
175.2510, 1376.413
175.7331, 1382.940
176.2152, 1388.865
176.6973, 1385.862
177.1795, 1377.489
177.6616, 1370.203
178.1437, 1364.950
178.6258, 1362.013
179.1079, 1364.362
179.5900, 1371.428
180.0722, 1375.662
180.5543, 1365.598
181.0364, 1347.073
181.5185, 1337.672
182.0006, 1347.498
182.4827, 1366.627
182.9649, 1376.378
183.4470, 1376.426
183.9291, 1372.291
184.4112, 1365.888
184.8933, 1358.561
185.3754, 1357.445
185.8576, 1370.827
186.3397, 1392.342
186.8218, 1400.648
187.3039, 1394.393
187.7860, 1382.044
188.2681, 1371.801
188.7503, 1363.795
189.2324, 1358.549
189.7145, 1356.988
190.1966, 1358.709
190.6787, 1362.505
191.1608, 1369.606
191.6430, 1375.436
192.1251, 1370.484
192.6072, 1354.370
193.0893, 1340.410
193.5714, 1337.063
194.0535, 1343.635
194.5357, 1348.402
195.0178, 1351.140
195.4999, 1351.151
195.9820, 1344.485
196.4641, 1329.811
196.9462, 1318.497
197.4284, 1320.371
197.9105, 1336.001
198.3926, 1345.373
198.8747, 1345.168
199.3568, 1338.592
199.8389, 1334.376
200.3211, 1332.776
200.8032, 1332.489
201.2853, 1333.617
201.7674, 1336.675
202.2495, 1336.718
202.7316, 1333.227
203.2138, 1326.206
203.6959, 1313.726
204.1780, 1293.040
204.6601, 1274.464
205.1422, 1268.374
205.6243, 1277.752
206.1065, 1284.309
206.5886, 1283.577
207.0707, 1276.719
207.5528, 1274.454
208.0349, 1278.661
208.5170, 1283.842
208.9992, 1284.383
209.4813, 1279.078
209.9634, 1273.314
210.4455, 1268.533
210.9276, 1264.727
211.4097, 1257.703
211.8919, 1244.418
212.3740, 1232.258
212.8561, 1231.250
213.3382, 1246.636
213.8203, 1258.636
214.3024, 1261.484
214.7846, 1254.413
215.2667, 1246.881
215.7488, 1238.940
216.2309, 1230.417
216.7130, 1219.993
217.1951, 1204.814
217.6773, 1194.264
218.1594, 1192.430
218.6415, 1201.512
219.1236, 1207.091
219.6057, 1208.145
220.0878, 1206.642
220.5700, 1206.035
221.0521, 1207.612
221.5342, 1207.549
222.0163, 1203.949
222.4984, 1195.311
222.9805, 1188.543
223.4627, 1183.470
223.9448, 1180.466
224.4269, 1180.865
224.9090, 1186.738
225.3911, 1192.465
225.8732, 1196.166
226.3554, 1198.036
226.8375, 1197.027
227.3196, 1191.949
227.8017, 1184.468
228.2838, 1178.041
228.7659, 1171.603
229.2481, 1167.968
229.7302, 1168.966
230.2123, 1177.461
230.6944, 1184.165
231.1765, 1189.445
231.6587, 1192.719
232.1408, 1191.886
232.6229, 1184.827
233.1050, 1176.642
233.5871, 1169.731
234.0692, 1164.307
234.5514, 1159.565
235.0335, 1155.473
235.5156, 1152.063
235.9977, 1149.107
236.4798, 1145.388
236.9619, 1143.722
237.4441, 1146.055
237.9262, 1155.127
238.4083, 1162.504
238.8904, 1167.768
239.3725, 1171.014
239.8546, 1172.767
240.3368, 1173.589
240.8189, 1172.194
241.3010, 1167.158
241.7831, 1154.888
242.2652, 1146.491
242.7473, 1144.062
243.2295, 1146.510
243.7116, 1147.305
244.1937, 1144.823
244.6758, 1142.780
245.1579, 1144.219
245.6400, 1153.035
246.1222, 1157.020
246.6043, 1153.349
247.0864, 1143.312
247.5685, 1135.759
248.0506, 1130.389
248.5327, 1127.889
249.0149, 1128.975
249.4970, 1134.757
249.9791, 1142.005
250.4612, 1152.017
250.9433, 1163.946
251.4254, 1169.791
251.9076, 1167.066
252.3897, 1161.631
252.8718, 1157.473
253.3539, 1154.967
253.8360, 1153.087
254.3181, 1152.432
254.8003, 1152.604
255.2824, 1149.488
255.7645, 1140.295
256.2466, 1131.780
256.7287, 1130.574
257.2108, 1142.296
257.6930, 1146.675
258.1751, 1138.000
258.6572, 1118.319
259.1393, 1106.419
259.6214, 1104.521
260.1035, 1107.326
260.5857, 1111.318
261.0678, 1117.200
261.5499, 1122.356
262.0320, 1126.250
262.5141, 1129.054
262.9962, 1132.651
263.4784, 1138.647
263.9605, 1142.801
264.4426, 1140.715
264.9247, 1129.575
265.4068, 1121.531
265.8889, 1118.813
266.3711, 1120.837
266.8532, 1123.736
267.3353, 1128.569
267.8174, 1132.163
268.2995, 1130.424
268.7816, 1120.748
269.2638, 1117.124
269.7459, 1124.086
270.2280, 1139.227
270.7101, 1147.784
271.1922, 1147.442
271.6743, 1145.772
272.1565, 1150.762
272.6386, 1164.844
273.1207, 1171.410
273.6028, 1165.333
