##NAMES=Hilgardite
##RRUFFID=R070427
##IDEAL CHEMISTRY=Ca_2_B_5_O_9_Cl&#183;H_2_O
##LOCALITY=Boulby mine, Loftus, Cleveland, England, UK
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Massive etched pink crystallline associated with pale green boracite, polytype 3TC
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R070427
295.0400, 1417.483
295.5221, 1360.183
296.0042, 1324.309
296.4863, 1299.539
296.9684, 1282.678
297.4506, 1272.397
297.9327, 1266.353
298.4148, 1264.687
298.8969, 1265.608
299.3790, 1267.495
299.8611, 1270.292
300.3433, 1273.796
300.8254, 1280.101
301.3075, 1286.435
301.7896, 1286.911
302.2717, 1280.407
302.7538, 1273.418
303.2360, 1273.604
303.7181, 1278.433
304.2002, 1281.783
304.6823, 1278.328
305.1644, 1272.899
305.6465, 1271.206
306.1287, 1275.919
306.6108, 1279.498
307.0929, 1282.004
307.5750, 1280.225
308.0572, 1283.980
308.5393, 1285.517
309.0214, 1286.963
309.5035, 1291.496
309.9856, 1290.341
310.4677, 1294.825
310.9499, 1297.058
311.4320, 1300.322
311.9141, 1301.354
312.3962, 1303.075
312.8783, 1307.029
313.3604, 1309.746
313.8426, 1310.522
314.3247, 1313.851
314.8068, 1312.617
315.2889, 1315.816
315.7710, 1325.268
316.2531, 1351.205
316.7353, 1376.885
317.2174, 1393.370
317.6995, 1401.528
318.1816, 1410.971
318.6637, 1424.728
319.1458, 1441.701
319.6280, 1461.006
320.1101, 1485.891
320.5922, 1509.549
321.0743, 1529.085
321.5564, 1545.275
322.0385, 1562.481
322.5207, 1586.694
323.0028, 1609.285
323.4849, 1624.451
323.9670, 1614.732
324.4491, 1617.525
324.9312, 1645.719
325.4134, 1692.627
325.8955, 1733.088
326.3776, 1751.520
326.8597, 1772.271
327.3418, 1807.319
327.8239, 1875.032
328.3061, 1931.544
328.7882, 1967.869
329.2703, 1992.299
329.7524, 2026.003
330.2345, 2069.973
330.7166, 2122.272
331.1988, 2183.449
331.6809, 2255.434
332.1630, 2328.971
332.6451, 2404.368
333.1272, 2481.536
333.6093, 2559.199
334.0915, 2638.436
334.5736, 2717.542
335.0557, 2799.230
335.5378, 2887.730
336.0199, 2955.486
336.5020, 2998.073
336.9842, 3024.809
337.4663, 3052.004
337.9484, 3087.796
338.4305, 3101.502
338.9126, 3081.334
339.3947, 3027.114
339.8769, 2967.836
340.3590, 2903.852
340.8411, 2833.105
341.3232, 2749.578
341.8053, 2652.182
342.2874, 2555.043
342.7696, 2459.408
343.2517, 2366.675
343.7338, 2293.607
344.2159, 2241.175
344.6980, 2197.692
345.1801, 2150.202
345.6623, 2099.977
346.1444, 2059.840
346.6265, 2033.515
347.1086, 2018.530
347.5907, 2009.748
348.0728, 2007.305
348.5550, 2010.115
349.0371, 2017.871
349.5192, 2030.286
350.0013, 2047.163
350.4834, 2069.196
350.9655, 2094.151
351.4477, 2117.088
351.9298, 2139.312
352.4119, 2165.865
352.8940, 2199.888
353.3761, 2240.358
353.8582, 2286.183
354.3404, 2338.353
354.8225, 2391.527
355.3046, 2443.173
355.7867, 2492.070
356.2688, 2535.286
356.7509, 2570.332
357.2331, 2599.617
357.7152, 2627.594
358.1973, 2655.534
358.6794, 2672.300
359.1615, 2667.283
359.6436, 2647.433
360.1258, 2622.472
360.6079, 2596.480
361.0900, 2566.098
361.5721, 2522.037
362.0542, 2464.715
362.5363, 2424.221
363.0185, 2424.721
363.5006, 2442.126
363.9827, 2454.762
364.4648, 2434.723
364.9469, 2432.453
365.4290, 2467.921
365.9112, 2536.592
366.3933, 2607.242
366.8754, 2681.584
367.3575, 2751.391
367.8396, 2811.145
368.3217, 2845.804
368.8039, 2889.076
369.2860, 2945.364
369.7681, 3011.661
370.2502, 3080.597
370.7323, 3156.990
371.2144, 3231.448
371.6966, 3298.748
