##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
377.5341, 218.4662
378.0162, 218.7250
378.4983, 218.3794
378.9804, 218.2206
379.4626, 218.6662
379.9447, 218.7771
380.4268, 218.3620
380.9089, 217.4523
381.3910, 217.7173
381.8731, 218.0378
382.3553, 218.2526
382.8374, 218.3520
383.3195, 218.3103
383.8016, 218.0789
384.2837, 217.7642
384.7658, 217.5767
385.2480, 217.5277
385.7301, 217.5718
386.2122, 217.8096
386.6943, 218.0702
387.1764, 218.2307
387.6585, 218.2698
388.1407, 218.2032
388.6228, 217.9087
389.1049, 217.0466
389.5870, 217.9244
390.0691, 218.4933
390.5512, 218.7698
391.0334, 217.8786
391.5155, 218.4953
391.9976, 218.5077
392.4797, 218.4953
392.9618, 219.3243
393.4439, 218.6028
393.9261, 219.6480
394.4082, 219.9653
394.8903, 219.5498
395.3724, 218.9002
395.8545, 218.9389
396.3366, 220.1607
396.8188, 221.3611
397.3009, 221.4310
397.7830, 220.6387
398.2651, 220.2139
398.7472, 220.6226
399.2293, 221.4119
399.7115, 221.9556
400.1936, 222.2560
400.6757, 222.5126
401.1578, 222.6965
401.6399, 222.9061
402.1220, 223.2485
402.6042, 223.7372
403.0863, 224.3937
403.5684, 225.3201
404.0505, 226.4662
404.5326, 227.3033
405.0147, 227.4016
405.4969, 227.6280
405.9790, 228.5597
406.4611, 229.9523
406.9432, 231.2227
407.4253, 232.1363
407.9074, 232.7434
408.3896, 233.1214
408.8717, 232.9989
409.3538, 233.1731
409.8359, 233.8560
410.3180, 234.7632
410.8001, 235.6877
411.2823, 236.5740
411.7644, 237.4130
412.2465, 238.1969
412.7286, 238.9360
413.2107, 239.5197
413.6928, 239.6642
414.1750, 239.9797
414.6571, 240.8295
415.1392, 241.9693
415.6213, 242.9691
416.1034, 243.6081
416.5855, 243.9865
417.0677, 244.3570
417.5498, 244.6430
418.0319, 245.0634
418.5140, 245.7068
418.9961, 246.4158
419.4782, 247.1119
419.9604, 247.7632
420.4425, 248.3417
420.9246, 248.7905
421.4067, 249.1015
421.8888, 249.5194
422.3709, 250.4258
422.8531, 250.9676
423.3352, 250.7353
423.8173, 249.9985
424.2994, 249.1835
