##NAMES=Gehlenite
##RRUFFID=R060841
##IDEAL CHEMISTRY=Ca_2_Al(SiAl)O_7_
##LOCALITY=Monzoni, Tyrol, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Brown rectangular prism
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060841
##MEASURED CHEMISTRY=(Ca_1.92_Na_0.07_K_0.01_)_Σ=2_(Al_0.62_Mg_0.25_Fe^2+^_0.13_)_Σ=1_(Si_1.46_Al_0.54_)O_7_ ; = lighter phase, and the darker phase is calcite
154.3069, 4657.893
154.7890, 4690.704
155.2712, 4721.999
155.7533, 4747.551
156.2354, 4767.284
156.7175, 4782.100
157.1996, 4780.211
157.6817, 4779.522
158.1639, 4793.684
158.6460, 4842.891
159.1281, 4891.204
159.6102, 4930.651
160.0923, 4960.723
160.5744, 4976.322
161.0566, 4954.992
161.5387, 4924.066
162.0208, 4913.964
162.5029, 4955.667
162.9850, 5004.351
163.4671, 5037.510
163.9493, 5051.000
164.4314, 5061.038
164.9135, 5077.354
165.3956, 5095.067
165.8777, 5106.319
166.3598, 5101.313
166.8420, 5092.729
167.3241, 5088.830
167.8062, 5090.296
168.2883, 5098.702
168.7704, 5124.206
169.2525, 5158.917
169.7346, 5183.066
170.2168, 5177.522
170.6989, 5159.620
171.1810, 5146.546
171.6631, 5142.115
172.1452, 5142.697
172.6273, 5147.235
173.1095, 5154.816
173.5916, 5161.678
174.0737, 5163.059
174.5558, 5162.605
175.0379, 5165.516
175.5201, 5172.354
176.0022, 5183.832
176.4843, 5203.150
176.9664, 5229.437
177.4485, 5255.338
177.9306, 5275.702
178.4128, 5291.234
178.8949, 5303.790
179.3770, 5311.935
179.8591, 5318.492
180.3412, 5328.160
180.8233, 5341.055
181.3055, 5355.198
181.7876, 5369.896
182.2697, 5384.600
182.7518, 5397.930
183.2339, 5405.607
183.7160, 5411.796
184.1982, 5428.508
184.6803, 5457.048
185.1624, 5487.211
185.6445, 5509.883
186.1266, 5524.767
186.6087, 5531.585
187.0908, 5519.924
187.5730, 5497.718
188.0551, 5499.750
188.5372, 5531.096
189.0193, 5573.902
189.5014, 5604.031
189.9835, 5622.104
190.4657, 5636.838
190.9478, 5652.683
191.4299, 5669.404
191.9120, 5683.079
192.3941, 5692.208
192.8762, 5700.795
193.3584, 5719.678
193.8405, 5749.676
194.3226, 5774.023
194.8047, 5776.993
195.2868, 5759.744
195.7689, 5754.424
196.2511, 5766.688
196.7332, 5789.867
197.2153, 5805.461
197.6974, 5811.791
198.1795, 5822.275
198.6616, 5853.367
199.1438, 5907.651
199.6259, 5938.076
200.1080, 5930.656
200.5901, 5898.823
201.0722, 5889.921
201.5543, 5906.917
202.0364, 5935.070
202.5186, 5968.253
203.0007, 6008.932
203.4828, 6032.813
203.9649, 6028.887
204.4470, 6004.498
204.9291, 6002.585
205.4113, 6028.646
205.8934, 6062.321
206.3755, 6086.366
206.8576, 6099.376
207.3397, 6108.468
207.8218, 6113.780
208.3040, 6115.832
208.7861, 6120.229
209.2682, 6127.039
209.7503, 6136.406
210.2324, 6151.394
210.7145, 6176.822
211.1967, 6190.936
211.6788, 6184.145
212.1609, 6156.609
212.6430, 6146.012
213.1251, 6158.623
213.6072, 6179.873
214.0894, 6192.777
214.5715, 6193.141
215.0536, 6196.691
215.5357, 6208.808
216.0178, 6230.468
216.4999, 6246.009
216.9820, 6252.450
217.4642, 6255.245
217.9463, 6260.194
218.4284, 6264.328
218.9105, 6276.730
219.3926, 6301.787
219.8747, 6341.428
220.3569, 6380.280
220.8390, 6423.481
221.3211, 6461.591
221.8032, 6478.676
222.2853, 6460.857
222.7674, 6449.960
223.2496, 6460.636
223.7317, 6498.010
224.2138, 6536.285
224.6959, 6578.628
225.1780, 6620.242
225.6601, 6654.336
226.1423, 6678.300
226.6244, 6698.978
227.1065, 6718.095
227.5886, 6735.456
228.0707, 6751.810
228.5528, 6765.707
229.0350, 6779.241
229.5171, 6796.992
229.9992, 6822.675
230.4813, 6846.688
230.9634, 6865.293
231.4455, 6877.213
231.9276, 6887.753
232.4098, 6898.211
232.8919, 6906.851
233.3740, 6908.810
233.8561, 6899.658
234.3382, 6890.931
234.8203, 6886.811
235.3025, 6887.516
235.7846, 6893.569
236.2667, 6910.574
236.7488, 6931.548
237.2309, 6936.605
237.7130, 6912.692
238.1952, 6892.293
238.6773, 6891.082
239.1594, 6923.718
239.6415, 6942.336
240.1236, 6940.921
240.6057, 6926.942
241.0879, 6919.964
241.5700, 6920.361
242.0521, 6927.348
242.5342, 6943.128
243.0163, 6980.184
243.4984, 6997.204
243.9806, 6982.823
244.4627, 6949.724
244.9448, 6936.666
245.4269, 6956.296
245.9090, 6977.484
246.3911, 6984.862
246.8732, 6968.890
247.3554, 6960.095
247.8375, 6963.790
248.3196, 6974.088
248.8017, 6972.066
249.2838, 6951.036
249.7659, 6927.711
250.2481, 6910.200
250.7302, 6901.761
251.2123, 6892.090
251.6944, 6880.002
252.1765, 6867.220
252.6586, 6857.809
253.1408, 6851.127
253.6229, 6849.583
254.1050, 6856.875
254.5871, 6882.117
255.0692, 6892.801
255.5513, 6882.654
256.0334, 6858.747
256.5156, 6841.679
256.9977, 6833.514
257.4798, 6828.562
257.9619, 6825.329
258.4440, 6827.294
258.9261, 6819.253
259.4083, 6794.100
259.8904, 6759.984
260.3725, 6743.396
260.8546, 6750.643
261.3367, 6763.025
261.8188, 6772.075
262.3010, 6778.549
262.7831, 6778.021
263.2652, 6766.241
263.7473, 6748.927
264.2294, 6744.791
264.7115, 6763.635
265.1937, 6774.656
265.6758, 6756.275
266.1579, 6696.423
266.6400, 6657.707
267.1221, 6648.673
267.6042, 6659.009
268.0864, 6662.341
268.5685, 6655.679
269.0506, 6650.125
269.5327, 6655.786
270.0148, 6679.226
270.4969, 6678.894
270.9791, 6644.491
271.4612, 6592.890
271.9433, 6565.043
272.4254, 6565.769
272.9075, 6574.520
273.3896, 6578.339
273.8718, 6574.241
274.3539, 6591.312
274.8360, 6639.724
275.3181, 6699.943
275.8002, 6730.401
276.2823, 6726.792
276.7645, 6712.477
277.2466, 6694.808
277.7287, 6672.811
278.2108, 6660.457
278.6929, 6659.857
279.1750, 6665.943
279.6572, 6667.680
280.1393, 6663.500
280.6214, 6665.947
281.1035, 6687.485
281.5856, 6727.735
282.0677, 6747.642
282.5499, 6741.633
283.0320, 6724.683
283.5141, 6721.498
283.9962, 6732.756
284.4783, 6746.307
284.9604, 6759.571
285.4425, 6771.960
285.9247, 6771.828
286.4068, 6755.146
286.8889, 6737.843
287.3710, 6743.270
287.8531, 6770.969
288.3352, 6806.819
288.8174, 6850.296
289.2995, 6898.461
289.7816, 6935.647
290.2637, 6960.404
290.7458, 6977.389
291.2279, 6988.908
291.7101, 6995.760
292.1922, 7004.606
292.6743, 7019.703
293.1564, 7038.834
293.6385, 7054.403
294.1206, 7065.803
294.6028, 7077.801
295.0849, 7092.408
295.5670, 7111.216
296.0491, 7140.951
296.5312, 7194.593
297.0133, 7258.045
297.4955, 7300.137
297.9776, 7319.663
298.4597, 7333.146
298.9418, 7354.466
299.4239, 7381.676
299.9060, 7409.232
300.3882, 7431.015
300.8703, 7454.006
301.3524, 7493.963
301.8345, 7549.860
302.3166, 7598.671
302.7987, 7616.811
303.2809, 7615.064
303.7630, 7613.942
304.2451, 7621.652
304.7272, 7630.831
305.2093, 7633.457
305.6914, 7629.758
306.1736, 7623.047
306.6557, 7611.324
307.1378, 7599.129
307.6199, 7593.951
308.1020, 7607.684
308.5841, 7617.444
309.0663, 7603.281
309.5484, 7568.094
310.0305, 7525.962
310.5126, 7479.493
310.9947, 7432.475
311.4768, 7389.261
311.9590, 7351.846
312.4411, 7316.891
312.9232, 7284.104
313.4053, 7252.614
313.8874, 7220.576
314.3695, 7185.945
314.8517, 7150.473
315.3337, 7116.063
315.8159, 7085.534
316.2980, 7050.874
316.7801, 7001.010
317.2622, 6944.231
317.7443, 6898.025
318.2264, 6878.305
318.7086, 6864.542
319.1907, 6846.809
319.6728, 6807.503
320.1549, 6815.890
320.6370, 6812.924
321.1191, 6799.214
321.6013, 6742.580
322.0834, 6741.372
322.5655, 6717.954
323.0476, 6693.625
323.5297, 6700.219
324.0118, 6649.830
324.4940, 6655.931
324.9761, 6639.484
325.4582, 6633.358
325.9403, 6604.883
326.4224, 6587.326
326.9045, 6581.865
327.3867, 6580.934
327.8688, 6567.455
328.3509, 6524.087
328.8330, 6476.751
329.3151, 6448.134
329.7972, 6455.389
330.2794, 6460.037
330.7615, 6457.014
331.2436, 6446.345
331.7257, 6432.816
332.2078, 6415.797
332.6899, 6396.581
333.1721, 6374.451
333.6542, 6340.873
334.1363, 6322.808
334.6184, 6331.127
335.1005, 6358.841
335.5826, 6366.039
336.0648, 6344.325
336.5469, 6316.330
337.0290, 6294.540
337.5111, 6279.015
337.9932, 6269.364
338.4753, 6266.653
338.9575, 6268.836
339.4396, 6270.394
339.9217, 6270.466
340.4038, 6272.466
340.8859, 6281.613
341.3680, 6299.084
341.8502, 6303.098
342.3323, 6290.667
342.8144, 6268.527
343.2965, 6245.325
343.7786, 6220.606
344.2607, 6202.541
344.7429, 6197.230
345.2250, 6203.155
345.7071, 6208.926
346.1892, 6215.309
346.6713, 6219.197
347.1534, 6213.321
347.6355, 6199.673
348.1176, 6191.534
348.5998, 6194.705
349.0819, 6206.334
349.5640, 6222.455
350.0461, 6243.339
350.5282, 6260.919
351.0103, 6265.702
351.4925, 6261.487
351.9746, 6257.655
352.4567, 6257.980
352.9388, 6259.038
353.4209, 6257.197
353.9030, 6252.495
354.3852, 6245.099
354.8673, 6232.730
355.3494, 6218.747
355.8315, 6207.255
356.3136, 6198.799
356.7957, 6194.365
357.2779, 6201.102
357.7600, 6214.055
358.2421, 6217.833
358.7242, 6197.516
359.2063, 6169.354
359.6884, 6143.687
360.1706, 6119.538
360.6527, 6105.881
361.1348, 6114.079
361.6169, 6134.662
362.0990, 6151.425
362.5811, 6165.667
363.0633, 6169.197
363.5454, 6151.805
364.0275, 6107.359
364.5096, 6076.789
364.9917, 6080.793
365.4738, 6099.439
365.9560, 6111.943
366.4381, 6112.467
366.9202, 6108.917
367.4023, 6097.819
367.8844, 6078.833
368.3665, 6074.870
368.8487, 6110.979
369.3308, 6147.214
369.8129, 6156.632
370.2950, 6110.543
370.7771, 6079.683
371.2592, 6073.325
371.7414, 6086.765
372.2235, 6100.109
372.7056, 6117.923
373.1877, 6129.120
373.6698, 6124.724
374.1519, 6093.666
374.6341, 6054.685
375.1162, 6088.181
375.5983, 6108.053
376.0804, 6115.032
376.5625, 6070.505
377.0446, 6092.488
377.5267, 6087.817
378.0089, 6082.053
378.4910, 6113.396
378.9731, 6076.361
379.4552, 6107.116
379.9373, 6110.811
380.4194, 6126.890
380.9016, 6116.151
381.3837, 6113.696
381.8658, 6138.067
382.3479, 6147.584
382.8300, 6133.757
383.3121, 6150.624
383.7943, 6112.653
384.2764, 6122.802
384.7585, 6153.714
385.2406, 6141.236
385.7227, 6158.593
386.2048, 6164.587
386.6870, 6118.943
387.1691, 6163.104
387.6512, 6168.426
388.1333, 6133.871
388.6154, 6174.954
389.0975, 6145.896
389.5797, 6141.875
390.0618, 6152.421
390.5439, 6171.570
391.0260, 6189.262
391.5081, 6196.457
391.9902, 6198.715
392.4724, 6199.267
392.9545, 6198.479
393.4366, 6196.530
393.9187, 6191.937
394.4008, 6187.210
394.8829, 6184.755
395.3651, 6189.019
395.8472, 6192.054
396.3293, 6191.161
396.8114, 6186.677
397.2935, 6181.881
397.7756, 6169.986
398.2578, 6162.869
398.7399, 6166.964
399.2220, 6197.269
399.7041, 6219.516
400.1862, 6229.458
400.6683, 6231.344
401.1505, 6234.824
401.6326, 6233.062
402.1147, 6242.521
402.5968, 6275.908
403.0789, 6346.318
403.5610, 6378.233
404.0432, 6356.928
404.5253, 6313.668
405.0074, 6289.341
405.4895, 6289.228
405.9716, 6287.963
406.4537, 6276.392
406.9359, 6257.644
407.4180, 6254.470
407.9001, 6269.340
408.3822, 6288.705
408.8643, 6297.478
409.3464, 6297.452
409.8285, 6314.838
410.3106, 6361.623
410.7928, 6415.389
411.2749, 6433.642
411.7570, 6419.251
412.2391, 6398.995
412.7212, 6382.783
413.2033, 6372.915
413.6855, 6376.858
414.1676, 6396.834
414.6497, 6419.277
415.1318, 6427.117
415.6139, 6427.791
416.0960, 6436.085
416.5782, 6471.939
417.0603, 6508.455
417.5424, 6519.508
418.0245, 6506.409
418.5066, 6493.948
418.9887, 6493.768
419.4709, 6501.038
419.9530, 6511.842
420.4351, 6529.620
420.9172, 6545.052
421.3993, 6554.221
421.8814, 6558.637
422.3636, 6562.416
422.8457, 6562.579
423.3278, 6565.820
423.8099, 6575.581
424.2920, 6595.125
424.7741, 6614.030
425.2563, 6638.421
425.7384, 6659.468
426.2205, 6664.712
426.7026, 6640.491
427.1847, 6621.227
427.6668, 6612.472
428.1490, 6614.171
428.6311, 6629.977
429.1132, 6671.370
429.5953, 6707.591
430.0774, 6708.857
430.5595, 6666.457
431.0417, 6643.686
431.5238, 6653.500
432.0059, 6680.247
432.4880, 6687.588
432.9701, 6674.505
433.4522, 6658.210
433.9344, 6644.063
434.4165, 6633.473
434.8986, 6633.831
435.3807, 6646.498
435.8628, 6663.067
436.3449, 6676.382
436.8271, 6686.374
437.3092, 6692.311
437.7913, 6688.795
438.2734, 6685.244
438.7555, 6695.076
439.2376, 6716.582
439.7197, 6738.417
440.2018, 6758.092
440.6840, 6771.928
441.1661, 6774.164
441.6482, 6757.727
442.1303, 6743.091
442.6124, 6741.820
443.0945, 6749.616
443.5767, 6758.299
444.0588, 6760.236
444.5409, 6766.887
445.0230, 6788.438
445.5051, 6829.478
445.9872, 6854.334
446.4694, 6844.471
446.9515, 6823.497
447.4336, 6811.353
447.9157, 6820.708
448.3978, 6822.177
448.8799, 6806.570
449.3621, 6780.232
449.8442, 6772.084
450.3263, 6790.876
450.8084, 6812.430
451.2905, 6823.756
451.7726, 6821.011
452.2548, 6827.879
452.7369, 6847.388
453.2190, 6871.202
453.7011, 6887.785
454.1832, 6896.716
454.6653, 6904.391
455.1475, 6913.565
455.6296, 6922.742
456.1117, 6927.272
456.5938, 6927.130
457.0759, 6924.832
457.5580, 6919.927
458.0402, 6914.642
458.5223, 6914.200
459.0044, 6920.132
459.4865, 6929.671
459.9686, 6940.528
460.4507, 6952.842
460.9329, 6967.278
461.4150, 6986.634
461.8971, 7006.146
462.3792, 7022.079
462.8613, 7033.971
463.3434, 7045.569
463.8256, 7061.919
464.3077, 7076.985
464.7898, 7085.503
465.2719, 7073.130
465.7540, 7068.389
466.2361, 7083.945
466.7183, 7113.346
467.2004, 7131.577
467.6825, 7122.161
468.1646, 7115.237
468.6467, 7122.733
469.1288, 7150.689
469.6110, 7171.685
470.0930, 7182.553
470.5752, 7189.499
471.0573, 7200.521
471.5394, 7217.269
472.0215, 7231.845
472.5036, 7243.453
472.9857, 7251.266
473.4679, 7250.145
473.9500, 7239.097
474.4321, 7227.481
474.9142, 7222.237
475.3963, 7222.286
475.8784, 7221.883
476.3606, 7220.342
476.8427, 7219.796
477.3248, 7224.456
477.8069, 7232.674
478.2890, 7239.467
478.7711, 7244.410
479.2533, 7246.116
479.7354, 7239.953
480.2175, 7227.135
480.6996, 7218.501
481.1817, 7216.007
481.6638, 7222.931
482.1460, 7245.655
482.6281, 7301.983
483.1102, 7341.262
483.5923, 7334.632
484.0744, 7300.465
484.5565, 7272.572
485.0387, 7263.416
485.5208, 7255.377
486.0029, 7241.901
486.4850, 7221.974
486.9671, 7207.990
487.4492, 7202.091
487.9314, 7200.302
488.4135, 7200.356
488.8956, 7203.378
489.3777, 7207.030
489.8598, 7214.958
490.3419, 7220.885
490.8241, 7206.857
491.3062, 7170.120
491.7883, 7134.137
492.2704, 7106.029
492.7525, 7086.776
493.2346, 7083.448
493.7168, 7097.194
494.1989, 7113.753
494.6810, 7121.628
495.1631, 7121.639
495.6452, 7115.340
496.1273, 7100.532
496.6095, 7083.675
497.0916, 7069.792
497.5737, 7059.310
498.0558, 7053.575
498.5379, 7054.929
499.0201, 7060.325
499.5022, 7068.914
499.9843, 7081.152
500.4664, 7092.163
500.9485, 7098.845
501.4306, 7104.283
501.9127, 7111.067
502.3948, 7126.847
502.8770, 7135.542
503.3591, 7129.989
503.8412, 7115.591
504.3233, 7108.617
504.8054, 7111.917
505.2875, 7118.363
505.7697, 7126.343
506.2518, 7136.438
506.7339, 7141.184
507.2160, 7137.883
507.6981, 7134.670
508.1802, 7141.298
508.6624, 7157.854
509.1445, 7174.195
509.6266, 7188.656
510.1087, 7201.540
510.5908, 7213.853
511.0729, 7225.445
511.5551, 7234.690
512.0372, 7238.451
512.5193, 7240.302
513.0014, 7245.281
513.4835, 7253.763
513.9656, 7264.638
514.4478, 7280.976
514.9299, 7297.770
515.4120, 7308.851
515.8941, 7307.042
516.3762, 7305.447
516.8583, 7308.022
517.3405, 7314.497
517.8226, 7324.365
518.3047, 7339.102
518.7868, 7355.630
519.2689, 7374.885
519.7510, 7399.298
520.2332, 7413.173
520.7153, 7409.653
521.1974, 7402.125
521.6795, 7403.453
522.1616, 7418.786
522.6437, 7424.090
523.1259, 7409.320
523.6080, 7389.290
524.0901, 7410.641
524.5722, 7477.975
525.0543, 7527.085
525.5364, 7514.532
526.0186, 7459.832
526.5007, 7431.759
526.9828, 7431.251
527.4649, 7435.752
527.9470, 7425.521
528.4291, 7406.698
528.9113, 7388.695
529.3934, 7372.374
529.8755, 7360.686
530.3576, 7363.169
530.8397, 7371.667
531.3218, 7369.113
531.8040, 7346.016
532.2861, 7312.718
532.7682, 7264.188
533.2503, 7198.549
533.7324, 7162.697
534.2145, 7186.557
534.6967, 7225.584
535.1788, 7254.197
535.6609, 7273.015
536.1430, 7278.688
536.6251, 7263.251
537.1072, 7240.549
537.5894, 7238.690
538.0715, 7263.817
538.5536, 7281.186
539.0357, 7275.591
539.5178, 7254.107
539.9999, 7244.390
540.4821, 7246.458
540.9642, 7262.452
541.4463, 7308.673
541.9284, 7368.821
542.4105, 7402.726
542.8926, 7403.011
543.3748, 7388.726
543.8569, 7366.274
544.3390, 7343.216
544.8211, 7331.888
545.3032, 7340.855
545.7853, 7359.050
546.2675, 7389.898
546.7495, 7428.378
547.2316, 7450.754
547.7137, 7433.606
548.1959, 7412.900
548.6780, 7405.032
549.1601, 7413.848
549.6422, 7427.676
550.1243, 7454.727
550.6064, 7479.884
551.0886, 7484.810
551.5707, 7459.110
552.0528, 7448.096
552.5349, 7463.040
553.0170, 7492.722
553.4991, 7507.152
553.9813, 7505.718
554.4634, 7505.088
554.9455, 7516.823
555.4276, 7535.704
555.9097, 7542.441
556.3918, 7536.934
556.8740, 7538.452
557.3561, 7576.025
557.8382, 7626.076
558.3203, 7654.389
558.8024, 7646.505
559.2845, 7631.500
559.7667, 7614.623
560.2488, 7603.974
560.7309, 7613.082
561.2130, 7671.636
561.6951, 7724.753
562.1772, 7754.345
562.6594, 7760.128
563.1415, 7762.413
563.6236, 7755.290
564.1057, 7751.416
564.5878, 7757.114
565.0699, 7773.673
565.5521, 7795.965
566.0342, 7828.138
566.5163, 7858.420
566.9984, 7872.521
567.4805, 7870.443
567.9626, 7856.448
568.4448, 7822.456
568.9269, 7788.759
569.4090, 7804.330
569.8911, 7858.541
570.3732, 7898.521
570.8553, 7871.656
571.3375, 7826.671
571.8196, 7818.908
572.3017, 7851.274
572.7838, 7888.006
573.2659, 7917.338
573.7480, 7938.988
574.2302, 7953.037
574.7123, 7958.188
575.1944, 7957.442
575.6765, 7945.485
576.1586, 7929.458
576.6407, 7920.506
577.1229, 7915.800
577.6050, 7923.707
578.0871, 7949.476
578.5692, 7990.505
579.0513, 8028.322
579.5334, 8064.188
580.0156, 8091.995
580.4977, 8098.826
580.9798, 8090.824
581.4619, 8111.679
581.9440, 8166.761
582.4261, 8223.601
582.9083, 8240.023
583.3904, 8233.296
583.8725, 8238.856
584.3546, 8271.530
584.8367, 8311.339
585.3188, 8345.479
585.8010, 8375.824
586.2831, 8407.275
586.7652, 8435.270
587.2473, 8470.567
587.7294, 8522.392
588.2115, 8592.042
588.6937, 8651.363
589.1758, 8693.648
589.6579, 8731.104
590.1400, 8769.479
590.6221, 8807.170
591.1042, 8851.081
591.5864, 8901.046
592.0685, 8956.846
592.5506, 9018.231
593.0327, 9085.242
593.5148, 9157.729
593.9969, 9238.221
594.4791, 9321.355
594.9612, 9396.662
595.4433, 9466.212
595.9254, 9537.575
596.4075, 9614.586
596.8896, 9696.143
597.3718, 9780.389
597.8539, 9867.611
598.3360, 9957.844
598.8181, 10049.19
599.3002, 10145.09
599.7823, 10247.58
600.2645, 10355.53
600.7466, 10474.69
601.2287, 10613.22
601.7108, 10757.87
602.1929, 10889.52
602.6750, 10996.10
603.1572, 11117.76
603.6393, 11267.04
604.1214, 11434.39
604.6035, 11593.11
605.0856, 11743.05
605.5677, 11895.60
606.0499, 12069.41
606.5320, 12250.25
607.0141, 12394.37
607.4962, 12501.36
607.9783, 12611.51
608.4604, 12759.25
608.9425, 12925.57
609.4246, 13086.81
609.9067, 13241.07
610.3889, 13386.62
610.8710, 13524.10
611.3531, 13652.17
611.8352, 13768.62
612.3173, 13867.66
612.7994, 13962.96
613.2816, 14064.90
613.7637, 14165.95
614.2458, 14237.26
614.7279, 14270.47
615.2100, 14295.48
615.6921, 14332.61
616.1743, 14377.63
616.6564, 14367.47
617.1385, 14298.17
617.6206, 14210.95
618.1027, 14144.07
618.5848, 14085.36
619.0670, 13996.78
619.5491, 13866.73
620.0312, 13736.99
620.5133, 13650.47
620.9954, 13583.78
621.4775, 13502.30
621.9597, 13383.27
622.4418, 13258.44
622.9239, 13127.64
623.4060, 12997.83
623.8881, 12888.20
624.3702, 12827.03
624.8524, 12756.30
625.3345, 12655.20
625.8166, 12524.29
626.2987, 12413.76
626.7808, 12327.02
627.2629, 12249.27
627.7451, 12169.39
628.2272, 12088.49
628.7093, 12021.54
629.1914, 11972.03
629.6735, 11920.48
630.1556, 11842.46
630.6378, 11748.46
631.1199, 11659.73
631.6020, 11582.74
632.0841, 11511.76
632.5662, 11439.74
633.0483, 11371.25
633.5305, 11314.79
634.0126, 11299.58
634.4947, 11271.43
634.9768, 11202.34
635.4589, 11097.17
635.9410, 11016.84
636.4232, 10971.65
636.9053, 10934.22
637.3874, 10892.64
637.8695, 10846.59
638.3516, 10803.66
638.8337, 10764.43
639.3159, 10723.52
639.7980, 10667.24
640.2801, 10603.15
640.7622, 10562.67
641.2443, 10553.91
641.7264, 10556.20
642.2086, 10553.59
642.6907, 10547.04
643.1728, 10538.07
643.6549, 10506.72
644.1370, 10494.68
644.6191, 10524.66
645.1013, 10588.42
645.5834, 10659.33
646.0655, 10741.51
646.5476, 10821.25
647.0297, 10887.07
647.5118, 10940.60
647.9940, 11027.65
648.4761, 11154.29
648.9582, 11298.63
649.4403, 11457.60
649.9224, 11625.80
650.4045, 11766.56
650.8867, 11875.83
651.3688, 11985.20
651.8509, 12136.38
652.3330, 12309.28
652.8151, 12464.44
653.2972, 12586.58
653.7794, 12698.31
654.2615, 12819.38
654.7436, 12936.95
655.2257, 13030.14
655.7078, 13078.06
656.1899, 13120.02
656.6721, 13175.90
657.1542, 13234.85
657.6363, 13252.03
658.1184, 13211.57
658.6005, 13164.99
659.0826, 13136.36
659.5648, 13120.92
660.0469, 13076.80
660.5290, 13003.49
661.0111, 12906.84
661.4932, 12780.75
661.9753, 12637.89
662.4575, 12504.60
662.9396, 12383.94
663.4217, 12270.26
663.9038, 12165.94
664.3859, 12063.41
664.8680, 11956.17
665.3502, 11846.40
665.8323, 11724.56
666.3144, 11571.47
666.7965, 11409.57
667.2786, 11275.81
667.7607, 11187.59
668.2429, 11092.88
668.7250, 10973.77
669.2071, 10844.81
669.6892, 10760.67
670.1713, 10724.11
670.6534, 10675.67
671.1355, 10580.27
671.6176, 10454.54
672.0997, 10333.03
672.5818, 10217.21
673.0640, 10114.40
673.5461, 10047.65
674.0282, 9985.889
674.5103, 9892.620
674.9924, 9757.546
675.4745, 9645.305
675.9567, 9594.938
676.4388, 9566.279
676.9209, 9529.318
677.4030, 9481.710
677.8851, 9428.717
678.3672, 9368.806
678.8494, 9305.858
679.3315, 9239.603
679.8136, 9168.833
680.2957, 9122.357
680.7778, 9112.810
681.2599, 9119.975
681.7421, 9116.682
682.2242, 9102.388
682.7063, 9076.172
683.1884, 9024.446
683.6705, 8970.674
684.1526, 8931.469
684.6348, 8905.862
685.1169, 8888.163
685.5990, 8895.386
686.0811, 8893.531
686.5632, 8860.908
687.0453, 8795.715
687.5275, 8748.680
688.0096, 8725.305
