##NAMES=Omphacite
##RRUFFID=R061129
##IDEAL CHEMISTRY=(Ca,Na)(Mg,Fe^2+^,Al)Si_2_O_6_
##LOCALITY=near Occidental, Sonoma County, California, USA
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Green granular massive associated with brown grossular and clinochlore
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R061129
##MEASURED CHEMISTRY=(Ca_0.51_Na_0.48_)_Σ=0.99_(Mg_0.44_Al_0.44_Fe^2+^_0.14_Fe^3+^_0.02_)_Σ=1.04_Si_2.00_O_6_ ; (darker phase) : (Mg_2.52_Al_0.32_Fe^2+^_2.13_Mn_0.03_)_Σ=5_Al_0.94_(Si_3.00_Al_1.17_)O_10_(OH)_8_ ( lighter, secondary phase = clinochlore)
139.0925, 2276.307
139.5746, 2348.248
140.0568, 2418.044
140.5389, 2485.173
141.0210, 2551.165
141.5031, 2619.277
141.9852, 2690.695
142.4673, 2758.792
142.9495, 2824.380
143.4316, 2888.818
143.9137, 2935.721
144.3958, 2964.676
144.8779, 2976.787
145.3600, 2972.956
145.8422, 2948.451
146.3243, 2914.488
146.8064, 2872.881
147.2885, 2820.543
147.7706, 2768.224
148.2527, 2714.152
148.7349, 2660.186
149.2170, 2610.872
149.6991, 2568.533
150.1812, 2528.912
150.6633, 2490.027
151.1455, 2442.571
151.6276, 2409.499
152.1097, 2399.283
152.5918, 2405.518
153.0739, 2408.503
153.5560, 2403.676
154.0382, 2396.824
154.5203, 2390.764
155.0024, 2393.583
155.4845, 2389.112
155.9666, 2369.104
156.4487, 2336.361
156.9309, 2310.616
157.4130, 2299.813
157.8951, 2296.680
158.3772, 2295.358
158.8593, 2293.733
159.3414, 2294.346
159.8236, 2299.252
160.3057, 2308.633
160.7878, 2316.939
161.2699, 2318.090
161.7520, 2318.126
162.2341, 2324.073
162.7163, 2346.846
163.1984, 2369.922
163.6805, 2384.241
164.1626, 2388.276
164.6447, 2388.221
165.1268, 2383.438
165.6090, 2376.989
166.0911, 2374.334
166.5732, 2380.188
167.0553, 2389.507
167.5374, 2397.531
168.0195, 2401.970
168.5017, 2409.692
168.9838, 2428.866
169.4659, 2456.021
169.9480, 2480.957
170.4301, 2497.346
170.9122, 2508.947
171.3944, 2518.834
171.8765, 2524.125
172.3586, 2533.503
172.8407, 2558.352
173.3228, 2596.365
173.8049, 2634.607
174.2871, 2663.817
174.7692, 2687.556
175.2513, 2711.002
175.7334, 2733.352
176.2155, 2757.791
176.6976, 2790.068
177.1798, 2829.514
177.6619, 2869.622
178.1440, 2909.843
178.6261, 2946.460
179.1082, 2970.633
179.5903, 2970.665
180.0725, 2959.625
180.5546, 2960.323
181.0367, 2973.090
181.5188, 2992.758
182.0009, 3019.528
182.4830, 3050.302
182.9652, 3074.477
183.4473, 3081.572
183.9294, 3078.437
184.4115, 3082.613
184.8936, 3094.105
185.3757, 3113.637
185.8579, 3147.062
186.3400, 3192.744
186.8221, 3235.761
187.3042, 3266.068
187.7863, 3286.650
188.2684, 3312.862
188.7506, 3347.056
189.2327, 3382.531
189.7148, 3411.283
190.1969, 3433.321
190.6790, 3441.435
191.1611, 3424.623
191.6433, 3386.020
192.1254, 3354.671
192.6075, 3334.654
193.0896, 3321.544
193.5717, 3306.922
194.0538, 3290.585
194.5360, 3272.742
195.0181, 3251.050
195.5002, 3225.584
195.9823, 3206.937
196.4644, 3197.792
196.9465, 3195.315
197.4287, 3191.403
197.9108, 3186.169
198.3929, 3178.956
198.8750, 3166.353
199.3571, 3146.988
199.8392, 3137.309
200.3214, 3141.637
200.8035, 3157.764
201.2856, 3176.350
201.7677, 3198.739
202.2498, 3219.849
202.7319, 3234.498
203.2141, 3242.061
203.6962, 3247.255
204.1783, 3249.310
204.6604, 3249.071
205.1425, 3255.376
205.6246, 3268.712
206.1068, 3287.632
206.5889, 3311.794
207.0710, 3342.261
207.5531, 3372.966
208.0352, 3403.306
208.5173, 3433.430
208.9995, 3458.716
209.4816, 3478.992
209.9637, 3495.000
210.4458, 3507.032
210.9279, 3513.809
211.4100, 3520.158
211.8922, 3528.179
212.3743, 3538.333
212.8564, 3543.666
213.3385, 3541.356
213.8206, 3537.160
214.3027, 3540.448
214.7849, 3554.319
215.2670, 3568.151
215.7491, 3580.365
216.2312, 3592.875
216.7133, 3591.392
217.1954, 3568.163
217.6776, 3536.687
218.1597, 3521.995
218.6418, 3533.490
219.1239, 3543.555
219.6060, 3540.745
220.0882, 3519.772
220.5703, 3504.925
221.0524, 3499.734
221.5345, 3498.963
222.0166, 3491.035
222.4987, 3473.879
