##NAMES=Spinel
##RRUFFID=X080014
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Synthetic
##OWNER=GIA
##SOURCE=Gemological Institute of America
##DESCRIPTION=Faceted blue gemstone, 7.90 ct
##STATUS=The identification of this mineral has been determined only by Raman spectroscopy
##URL=rruff.info/X080014
141.6301, 2831.026
142.1122, 2819.262
142.5943, 2806.894
143.0764, 2795.273
143.5585, 2784.252
144.0406, 2773.844
144.5228, 2763.815
145.0049, 2754.384
145.4870, 2745.127
145.9691, 2736.006
146.4512, 2727.447
146.9333, 2718.175
147.4155, 2707.504
147.8976, 2695.658
148.3797, 2685.533
148.8618, 2678.688
149.3439, 2672.360
149.8260, 2664.776
150.3082, 2653.584
150.7903, 2643.631
151.2724, 2635.029
151.7545, 2627.779
152.2366, 2621.972
152.7188, 2618.692
153.2009, 2616.194
153.6830, 2613.108
154.1651, 2610.376
154.6472, 2605.895
155.1293, 2598.515
155.6115, 2587.741
156.0936, 2577.857
156.5757, 2570.365
157.0578, 2563.858
157.5399, 2556.907
158.0220, 2548.476
158.5042, 2540.228
158.9863, 2532.984
159.4684, 2527.011
159.9505, 2521.195
160.4326, 2514.882
160.9147, 2508.673
161.3969, 2503.446
161.8790, 2500.065
162.3611, 2497.356
162.8432, 2494.884
163.3253, 2492.883
163.8074, 2490.215
164.2896, 2485.286
164.7717, 2479.258
165.2538, 2474.490
165.7359, 2474.248
166.2180, 2474.315
166.7001, 2470.895
167.1823, 2461.500
167.6644, 2452.619
168.1465, 2449.303
168.6286, 2449.937
169.1107, 2450.015
169.5928, 2445.944
170.0750, 2440.542
170.5571, 2436.871
171.0392, 2436.635
171.5213, 2436.720
172.0034, 2434.487
172.4855, 2430.292
172.9677, 2425.727
173.4498, 2421.775
173.9319, 2418.086
174.4140, 2413.938
174.8961, 2407.974
175.3782, 2402.831
175.8604, 2402.720
176.3425, 2406.986
176.8246, 2410.155
177.3067, 2406.400
177.7888, 2398.662
178.2709, 2393.048
178.7531, 2392.031
179.2352, 2393.434
179.7173, 2394.532
180.1994, 2395.317
180.6815, 2395.381
181.1636, 2394.257
181.6458, 2392.101
182.1279, 2389.336
182.6100, 2385.256
183.0921, 2381.004
183.5742, 2378.998
184.0563, 2379.324
184.5385, 2380.691
185.0206, 2382.571
185.5027, 2384.675
185.9848, 2385.540
186.4669, 2384.100
186.9490, 2381.089
187.4312, 2378.684
187.9133, 2376.984
188.3954, 2375.427
188.8775, 2373.391
189.3596, 2370.925
189.8417, 2368.418
190.3239, 2365.781
190.8060, 2363.175
191.2881, 2361.815
191.7702, 2362.001
192.2523, 2362.405
192.7344, 2360.598
193.2166, 2356.616
193.6987, 2354.235
194.1808, 2356.384
194.6629, 2362.440
195.1450, 2364.464
195.6271, 2361.672
196.1093, 2356.881
196.5914, 2353.820
197.0735, 2352.513
197.5556, 2352.444
198.0377, 2354.246
198.5198, 2357.947
199.0020, 2359.163
199.4841, 2357.475
199.9662, 2353.978
200.4483, 2349.941
200.9304, 2345.124
201.4125, 2341.118
201.8947, 2338.976
202.3768, 2338.886
202.8589, 2338.202
203.3410, 2336.878
203.8231, 2335.011
204.3052, 2332.640
204.7874, 2329.598
205.2695, 2326.773
205.7516, 2324.697
206.2337, 2323.531
206.7158, 2322.039
207.1979, 2320.109
207.6801, 2317.950
208.1622, 2316.232
208.6443, 2315.336
209.1264, 2313.708
209.6085, 2310.102
210.0906, 2303.629
210.5728, 2299.453
211.0549, 2298.529
211.5370, 2299.336
212.0191, 2298.165
212.5012, 2293.996
212.9833, 2290.394
