##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu^2+^[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
650.3052, 39.80321
650.7873, 37.40660
651.2694, 35.86206
651.7515, 35.38926
652.2336, 37.10424
652.7158, 40.35090
653.1979, 42.82398
653.6800, 42.56074
654.1621, 41.67485
654.6442, 41.55344
655.1263, 42.27488
655.6085, 42.66977
656.0906, 41.50903
656.5727, 40.80376
657.0548, 41.84855
657.5369, 45.46856
658.0190, 47.29819
658.5012, 46.85307
658.9833, 45.51329
659.4654, 44.35853
659.9475, 43.40365
660.4296, 43.02948
660.9117, 43.32160
661.3939, 44.09674
661.8760, 45.29060
662.3581, 46.78515
662.8402, 48.34037
663.3223, 50.12315
663.8044, 51.58351
664.2866, 52.36685
664.7687, 52.53860
665.2508, 52.25850
665.7329, 50.06968
666.2150, 49.01406
666.6971, 50.55648
667.1793, 54.19491
667.6614, 57.52116
668.1435, 61.00191
668.6256, 63.23475
669.1077, 63.15802
669.5898, 61.07954
670.0720, 60.48721
670.5541, 61.46394
671.0362, 62.97805
671.5183, 65.06285
672.0004, 66.95037
672.4825, 66.23043
672.9647, 62.47728
673.4468, 59.85599
673.9289, 62.63057
674.4110, 67.37280
674.8931, 70.56067
675.3752, 70.92097
675.8574, 70.94752
676.3395, 70.97246
676.8216, 71.04362
677.3037, 71.16528
677.7858, 71.07706
678.2679, 71.67737
678.7501, 73.31113
679.2322, 75.43957
679.7143, 77.01582
680.1964, 78.02204
680.6785, 79.01431
681.1606, 80.22474
681.6428, 81.46205
682.1249, 82.04579
682.6070, 82.27570
683.0891, 83.21963
683.5712, 86.61845
684.0533, 89.95499
684.5355, 91.08291
685.0176, 90.24541
685.4997, 90.42342
685.9818, 93.17688
686.4639, 96.39355
686.9460, 99.66658
687.4282, 103.2636
687.9103, 103.7863
688.3924, 99.78268
688.8745, 96.04691
689.3566, 96.64207
689.8387, 101.1844
690.3209, 104.8948
690.8030, 107.4806
691.2851, 109.5141
691.7672, 111.8400
692.2493, 113.8812
692.7314, 114.3718
693.2136, 112.3949
693.6957, 110.8341
694.1778, 111.6945
694.6599, 113.7938
695.1420, 115.6851
695.6241, 116.7410
696.1063, 118.0139
696.5884, 120.1112
697.0705, 122.2389
697.5526, 122.6264
698.0347, 120.7223
698.5168, 119.3509
698.9990, 119.3422
699.4811, 120.1626
699.9632, 120.6983
700.4453, 120.9497
700.9274, 120.8982
701.4095, 121.2660
701.8917, 120.8294
702.3738, 117.0393
702.8559, 110.8235
703.3380, 106.5377
703.8201, 107.4327
704.3022, 109.4857
704.7844, 110.7050
705.2665, 110.9159
705.7486, 111.8521
706.2307, 114.0961
706.7128, 116.2406
707.1949, 117.3574
707.6771, 117.3937
708.1592, 118.4875
708.6413, 120.8646
709.1234, 122.8143
709.6055, 122.3507
710.0876, 120.3824
710.5698, 118.6541
711.0519, 117.2617
711.5340, 117.2540
712.0161, 121.3882
712.4982, 126.2861
712.9803, 128.1242
713.4625, 123.0297
713.9446, 120.7118
714.4267, 125.6553
714.9088, 132.7754
715.3909, 136.8805
715.8730, 136.7297
716.3552, 137.1473
716.8373, 138.7321
717.3194, 140.9645
717.8015, 143.4135
718.2836, 145.9242
718.7657, 146.7909
719.2479, 144.1583
719.7300, 141.9299
720.2121, 145.9473
720.6942, 153.8261
721.1763, 160.3174
721.6584, 161.5151
722.1406, 162.5427
722.6227, 165.6614
723.1048, 170.3699
723.5869, 174.6333
724.0690, 178.5053
724.5511, 181.5930
725.0333, 183.3160
725.5154, 184.1226
725.9975, 186.6114
726.4796, 190.9223
726.9617, 195.6823
727.4438, 200.5189
727.9260, 205.2127
728.4081, 208.9328
728.8902, 211.8137
729.3723, 214.9356
729.8544, 218.6427
730.3365, 223.0885
730.8187, 228.6985
731.3008, 235.6026
731.7829, 241.9993
732.2650, 246.9976
732.7471, 251.9115
733.2292, 257.5024
733.7114, 263.9678
734.1935, 269.8161
734.6756, 275.0197
735.1577, 279.8066
735.6398, 283.6144
736.1219, 287.0877
736.6041, 292.9094
737.0862, 301.4667
737.5683, 310.9985
738.0504, 319.9660
738.5325, 328.9693
739.0146, 338.7094
739.4968, 349.5944
739.9789, 360.5183
740.4610, 370.0338
740.9431, 380.1162
741.4252, 393.2083
741.9073, 411.5745
742.3895, 426.5703
742.8716, 436.6006
743.3537, 444.9627
743.8358, 456.0791
744.3179, 469.6967
744.8000, 484.8394
745.2822, 501.8675
745.7643, 518.9284
746.2464, 533.8182
746.7285, 547.3275
747.2106, 560.6902
747.6927, 573.4271
748.1749, 587.2080
748.6570, 602.6304
749.1391, 619.7352
749.6212, 638.2910
750.1033, 660.7398
750.5854, 680.2501
751.0676, 694.8976
751.5497, 706.3314
752.0318, 718.5951
752.5139, 731.6573
752.9960, 742.3798
753.4781, 748.7374
753.9603, 752.9273
754.4424, 758.4044
754.9245, 764.4387
755.4066, 768.7253
755.8887, 772.3603
756.3708, 771.9399
756.8530, 765.7130
757.3351, 753.9796
757.8172, 738.0558
758.2993, 717.1962
758.7814, 694.1103
759.2635, 669.6157
759.7457, 643.5302
760.2278, 612.5876
760.7099, 576.6734
761.1920, 540.9334
761.6741, 508.0253
762.1563, 477.1952
762.6384, 446.6896
763.1205, 416.9741
763.6026, 389.7171
764.0847, 367.7246
764.5668, 347.1528
765.0490, 325.6446
765.5311, 302.8408
766.0132, 282.5093
766.4953, 265.2255
766.9774, 249.7714
767.4595, 235.7072
767.9417, 222.9324
768.4238, 212.2702
768.9059, 203.9999
769.3880, 195.4854
769.8701, 183.1833
770.3522, 170.0168
770.8344, 162.0922
771.3165, 159.3826
771.7986, 156.4453
772.2807, 148.9716
772.7628, 141.0087
773.2449, 135.3780
773.7271, 132.7929
774.2092, 129.8458
774.6913, 126.2936
775.1734, 122.5159
775.6555, 118.5935
776.1376, 114.4814
776.6198, 110.9515
777.1019, 107.9791
777.5840, 105.6577
778.0661, 104.7601
778.5482, 104.3367
779.0303, 102.5656
779.5125, 99.23098
779.9946, 95.76016
780.4767, 92.71768
780.9588, 90.06754
781.4409, 87.76015
781.9230, 86.04971
782.4052, 84.37863
782.8873, 83.84896
783.3694, 83.63025
783.8515, 83.62387
784.3336, 83.83537
784.8157, 82.61275
785.2979, 79.80555
785.7800, 76.39636
786.2621, 72.95211
786.7442, 69.67455
787.2263, 66.61277
787.7084, 63.61522
788.1906, 61.87623
788.6727, 63.61690
789.1548, 65.73593
789.6369, 65.43429
790.1190, 61.13180
790.6011, 58.33273
791.0833, 57.34974
791.5654, 57.39288
792.0475, 58.23100
792.5296, 59.72143
793.0117, 59.61564
793.4938, 57.51958
793.9760, 55.60921
794.4581, 57.39820
794.9402, 60.06910
795.4223, 59.21437
795.9044, 52.94759
796.3865, 47.80098
796.8687, 46.17850
797.3508, 46.62890
797.8329, 48.07040
798.3150, 51.56084
798.7971, 53.06768
799.2792, 52.00799
799.7614, 50.27356
800.2435, 50.00305
800.7256, 50.80159
801.2077, 50.54029
801.6898, 48.87582
802.1719, 47.04077
802.6541, 45.71242
803.1362, 45.04238
803.6183, 45.41140
804.1004, 47.53778
804.5825, 48.76686
805.0646, 47.25274
805.5468, 45.58083
806.0289, 46.00615
806.5110, 49.53900
806.9931, 50.33820
807.4752, 47.51952
807.9573, 44.57811
808.4395, 45.81719
808.9216, 49.77657
809.4037, 52.80935
809.8858, 54.40666
810.3679, 54.99641
810.8500, 54.56889
811.3322, 53.45295
811.8143, 51.82321
812.2964, 49.24610
812.7785, 47.29794
813.2606, 45.62217
813.7427, 45.07192
814.2249, 46.99287
814.7070, 51.59188
815.1891, 53.92315
815.6712, 53.60619
816.1533, 52.38855
816.6354, 51.45187
817.1176, 50.94771
817.5997, 51.36036
818.0818, 52.94118
818.5639, 54.00711
819.0460, 52.37331
819.5281, 50.89791
820.0103, 52.28956
820.4924, 57.97029
820.9745, 60.95974
821.4566, 60.99697
821.9387, 58.87458
822.4208, 53.95588
822.9030, 47.08455
823.3851, 43.47680
823.8672, 43.40329
824.3493, 45.02069
824.8314, 48.35048
825.3135, 51.68290
825.7957, 53.16852
826.2778, 52.41029
826.7599, 51.23117
827.2420, 48.92113
827.7241, 47.35279
828.2062, 47.78627
828.6884, 50.47615
829.1705, 51.83601
829.6526, 51.65432
830.1347, 51.34639
830.6168, 52.69779
831.0989, 54.46703
831.5811, 53.41451
832.0632, 49.63123
832.5453, 46.97901
833.0274, 49.87091
833.5095, 52.93314
833.9916, 52.14402
834.4738, 46.70140
834.9559, 43.50920
835.4380, 43.59581
835.9201, 43.94725
836.4022, 42.70167
836.8843, 40.34821
837.3665, 40.58416
837.8486, 43.25880
838.3307, 45.52226
838.8128, 45.10884
839.2949, 43.64044
839.7770, 42.25795
840.2592, 41.14048
840.7413, 41.09590
841.2234, 44.09194
841.7055, 46.33691
842.1876, 46.22003
842.6697, 44.18905
843.1519, 43.16222
843.6340, 43.29052
844.1161, 43.36718
844.5982, 42.79542
845.0803, 41.85593
845.5624, 40.73650
846.0446, 39.66829
846.5267, 39.49234
847.0088, 41.60321
847.4909, 43.72496
847.9730, 44.80305
848.4551, 44.96513
848.9373, 44.83416
849.4194, 44.39867
849.9015, 43.67558
850.3836, 42.38868
850.8657, 41.11523
851.3478, 41.54985
851.8300, 43.41294
852.3121, 44.97795
852.7942, 45.32243
853.2763, 45.53106
853.7584, 47.20177
854.2405, 49.27930
854.7227, 49.91204
855.2048, 46.18734
855.6869, 44.25853
856.1690, 46.23437
856.6511, 49.27285
857.1332, 48.65321
857.6154, 44.10083
858.0975, 40.51548
858.5796, 38.76238
859.0617, 38.12262
859.5438, 38.09698
860.0259, 38.45096
860.5081, 38.74899
860.9902, 38.72441
861.4723, 39.00857
861.9544, 40.61466
862.4365, 42.15519
862.9186, 42.06541
863.4008, 39.22167
863.8829, 38.40583
864.3650, 40.20506
864.8471, 42.60771
865.3292, 43.63712
865.8113, 43.62164
866.2935, 43.43014
866.7756, 43.15321
867.2577, 42.84338
867.7398, 42.98945
868.2219, 42.79300
868.7040, 41.23795
869.1862, 37.47922
869.6683, 35.99907
870.1504, 37.92854
870.6325, 40.11417
871.1146, 40.47813
871.5967, 39.26200
872.0789, 38.65486
872.5610, 38.61381
873.0431, 38.44302
873.5252, 37.61293
874.0073, 36.46132
874.4894, 34.77076
874.9716, 32.73985
875.4537, 32.23629
875.9358, 35.67857
876.4179, 38.41914
876.9000, 38.99504
877.3821, 37.82231
877.8643, 36.64123
878.3464, 35.45003
878.8285, 34.72068
879.3106, 34.78906
879.7927, 35.33570
880.2748, 36.26805
880.7570, 37.33976
881.2391, 37.93423
881.7212, 36.72040
882.2033, 36.28862
882.6854, 37.95546
883.1675, 40.62054
883.6497, 42.64781
884.1318, 44.11702
884.6139, 44.27351
885.0960, 42.64702
885.5781, 40.50703
886.0602, 39.56207
886.5424, 39.50852
887.0245, 39.79879
887.5066, 40.54097
887.9887, 40.95310
888.4708, 40.08646
888.9529, 39.07874
889.4351, 39.18583
889.9172, 41.15516
890.3993, 42.11703
890.8814, 41.90378
891.3635, 41.07586
891.8456, 39.76206
892.3278, 38.30389
892.8099, 37.65083
893.2920, 37.89848
893.7741, 38.67551
894.2562, 40.45879
894.7383, 42.11753
895.2205, 42.62103
895.7026, 41.72320
896.1847, 41.83809
896.6668, 43.50660
897.1489, 44.93306
897.6310, 45.10455
898.1132, 44.31102
898.5953, 43.48538
899.0774, 42.66896
899.5595, 42.13848
900.0416, 42.07172
900.5237, 42.32168
901.0059, 42.87854
901.4880, 43.67816
901.9701, 44.55041
902.4522, 45.76696
902.9343, 46.41552
903.4164, 45.94824
903.8986, 45.19927
904.3807, 46.37354
904.8628, 49.11866
905.3449, 51.21510
905.8270, 52.06435
906.3091, 51.91065
906.7913, 49.70284
907.2734, 47.13777
907.7555, 46.44991
908.2376, 50.69062
908.7197, 52.60866
909.2018, 50.86132
909.6840, 48.30376
910.1661, 48.00743
910.6482, 49.72446
911.1303, 50.00525
911.6124, 48.51195
912.0945, 47.14737
912.5767, 47.92474
913.0588, 49.37105
913.5409, 49.80247
914.0230, 48.89822
914.5051, 49.07499
914.9872, 51.16665
915.4694, 53.80805
915.9515, 57.12639
916.4336, 60.64165
916.9157, 59.83027
917.3978, 54.92514
917.8799, 50.60868
918.3621, 50.07063
918.8442, 50.95367
919.3263, 51.12107
919.8084, 50.79908
920.2905, 50.67535
920.7726, 50.57200
921.2548, 51.30615
921.7369, 53.80117
922.2190, 56.54739
922.7011, 55.85639
923.1832, 51.97369
923.6653, 50.08380
924.1475, 51.84444
924.6296, 54.14331
925.1117, 53.91095
925.5938, 52.22033
926.0759, 50.20717
926.5580, 47.25940
927.0402, 46.30001
927.5223, 48.90342
928.0044, 51.92204
928.4865, 52.77436
928.9686, 51.49630
929.4507, 51.26408
929.9329, 52.13988
930.4150, 52.87543
930.8971, 52.17331
931.3792, 51.09621
931.8613, 50.50202
932.3434, 50.48274
932.8256, 51.21714
933.3077, 53.67493
933.7898, 55.66994
934.2719, 56.40255
934.7540, 56.29237
935.2361, 56.92150
935.7183, 58.21908
936.2004, 58.99858
936.6825, 58.51726
937.1646, 57.86133
937.6467, 58.17492
938.1288, 59.02006
938.6110, 59.70037
939.0931, 60.64248
939.5752, 60.34276
940.0573, 57.70085
940.5394, 55.18514
941.0215, 56.03707
941.5037, 59.87891
941.9858, 63.01447
942.4679, 65.13456
942.9500, 66.55206
943.4321, 67.50518
943.9142, 67.88949
944.3964, 67.27970
944.8785, 65.51257
945.3606, 64.73170
945.8427, 65.33605
946.3248, 66.48335
946.8069, 68.08129
947.2891, 69.87710
947.7712, 70.63187
948.2533, 70.46333
948.7354, 70.08794
949.2175, 69.59362
949.6996, 69.30547
950.1818, 69.45799
950.6639, 69.98267
951.1460, 70.81979
951.6281, 72.83450
952.1102, 73.16747
952.5923, 70.80651
953.0745, 68.04958
953.5566, 68.97088
954.0387, 72.23145
954.5208, 72.35401
955.0029, 68.09209
955.4850, 64.35371
955.9672, 65.49500
956.4493, 67.74191
956.9314, 68.07261
957.4135, 66.10236
957.8956, 63.95927
958.3777, 61.35335
958.8599, 59.43560
959.3420, 59.04036
959.8241, 59.68641
960.3062, 60.51900
960.7883, 61.38477
961.2704, 61.64540
961.7526, 60.12577
962.2347, 58.88031
962.7168, 59.58111
963.1989, 60.93879
963.6810, 60.17280
964.1631, 56.62234
964.6453, 53.91133
965.1274, 52.55101
965.6095, 52.28386
966.0916, 53.13897
966.5737, 54.72678
967.0558, 56.66537
967.5380, 59.17620
968.0201, 60.32974
968.5022, 57.97132
968.9843, 55.34305
969.4664, 54.29487
969.9485, 54.83016
970.4307, 55.69335
970.9128, 56.91894
971.3949, 57.62739
971.8770, 56.34319
972.3591, 54.92154
972.8412, 56.42137
973.3234, 59.68935
973.8055, 61.43908
974.2876, 59.12455
974.7697, 57.21402
975.2518, 56.54694
975.7339, 56.48448
976.2161, 55.90990
976.6982, 54.89555
977.1803, 54.23048
977.6624, 53.95675
978.1445, 54.68135
978.6266, 59.44436
979.1088, 63.89192
979.5909, 62.57677
980.0730, 52.90624
980.5551, 48.86533
981.0372, 53.50387
981.5193, 58.32074
982.0015, 58.62962
982.4836, 55.88438
982.9657, 55.17930
983.4478, 56.11074
983.9299, 56.78831
984.4120, 55.42647
984.8942, 54.42570
985.3763, 56.32984
985.8584, 59.03175
986.3405, 58.01792
986.8226, 51.37252
987.3047, 48.11711
987.7869, 49.96166
988.2690, 52.91021
988.7511, 52.19045
989.2332, 49.19392
989.7153, 46.03635
990.1974, 42.95164
990.6796, 40.73433
991.1617, 40.10816
991.6438, 40.08161
992.1259, 40.27499
992.6080, 40.64149
993.0901, 41.02163
993.5723, 41.42468
994.0544, 40.86494
994.5365, 37.73690
995.0186, 34.85653
995.5007, 36.74882
995.9828, 40.83434
996.4650, 42.43519
996.9471, 36.68352
997.4292, 33.79490
997.9113, 35.37395
998.3934, 38.32075
998.8755, 39.36062
999.3577, 38.78637
999.8398, 38.16578
1000.322, 37.61336
1000.804, 37.18401
1001.286, 38.11066
1001.768, 38.14024
1002.250, 34.42395
1002.732, 27.50163
1003.215, 24.92052
1003.697, 27.91949
1004.179, 30.76683
1004.661, 31.65904
1005.143, 31.46698
1005.625, 31.53826
1006.107, 31.73793
1006.589, 31.79928
1007.072, 31.75290
1007.554, 31.31754
1008.036, 29.11718
1008.518, 27.55979
1009.000, 29.27611
1009.482, 34.80545
1009.964, 35.46745
1010.446, 31.08914
1010.928, 26.63453
1011.411, 25.63055
1011.893, 26.25933
1012.375, 27.38311
1012.857, 28.71405
1013.339, 29.19814
1013.821, 27.69324
1014.303, 27.29551
1014.785, 29.18093
1015.268, 31.50422
1015.750, 30.52506
1016.232, 27.34162
1016.714, 25.77180
1017.196, 26.83307
1017.678, 27.95440
1018.160, 27.14545
1018.642, 26.17591
1019.124, 26.78106
1019.607, 29.07966
1020.089, 28.78711
1020.571, 25.50653
1021.053, 22.68692
1021.535, 22.22705
1022.017, 23.21786
1022.499, 25.10846
1022.981, 27.34354
1023.464, 28.66223
1023.946, 27.56295
1024.428, 27.06656
1024.910, 27.82673
1025.392, 28.90444
1025.874, 29.39542
1026.356, 29.27098
1026.838, 28.08916
1027.320, 25.81991
1027.803, 23.79047
1028.285, 23.43432
1028.767, 23.24637
1029.249, 21.45147
1029.731, 18.51436
1030.213, 18.79196
1030.695, 23.55066
1031.177, 26.39334
1031.660, 24.85516
1032.142, 21.91232
1032.624, 22.40267
1033.106, 24.89229
1033.588, 26.69833
1034.070, 26.83198
1034.552, 27.15409
1035.034, 29.48243
1035.516, 30.60722
1035.999, 27.55289
1036.481, 20.85312
1036.963, 18.40703
1037.445, 19.98475
1037.927, 22.26826
1038.409, 23.17885
1038.891, 25.65204
1039.373, 26.74086
1039.855, 30.11518
1040.338, 32.67470
1040.820, 34.96517
1041.302, 34.30206
1041.784, 29.58229
1042.266, 24.64118
1042.748, 24.53649
1043.230, 27.01834
1043.712, 27.88359
1044.195, 26.68530
1044.677, 25.96651
1045.159, 27.18381
1045.641, 28.50325
1046.123, 29.53343
1046.605, 30.06170
1047.087, 28.76711
1047.569, 25.93285
1048.052, 24.59382
1048.534, 26.61180
1049.016, 28.11760
1049.498, 24.45436
1049.980, 19.58022
1050.462, 18.46313
1050.944, 22.80370
1051.426, 24.39728
1051.908, 22.62431
1052.391, 20.69411
1052.873, 21.17810
1053.355, 22.65768
1053.837, 21.92260
1054.319, 19.90720
1054.801, 19.61856
1055.283, 24.21852
1055.765, 27.92075
1056.247, 29.69806
1056.730, 30.27360
1057.212, 30.35607
1057.694, 30.03090
1058.176, 29.92229
1058.658, 30.09766
1059.140, 30.30667
1059.622, 30.77402
1060.104, 30.85128
1060.587, 29.63352
1061.069, 27.46559
1061.551, 26.64704
1062.033, 27.43421
1062.515, 28.08290
1062.997, 28.04634
1063.479, 27.72987
1063.961, 27.87968
1064.443, 28.01367
1064.926, 27.24306
1065.408, 24.80942
1065.890, 23.40209
1066.372, 23.25479
1066.854, 24.16845
1067.336, 26.97343
1067.818, 30.54933
1068.300, 29.28123
1068.782, 24.41692
1069.265, 21.23385
1069.747, 24.15503
1070.229, 27.23158
1070.711, 27.63033
1071.193, 27.07061
1071.675, 27.93755
1072.157, 30.57952
1072.639, 29.88834
1073.122, 25.38452
1073.604, 21.28141
1074.086, 21.20938
1074.568, 23.08512
1075.050, 25.81456
1075.532, 28.94543
1076.014, 30.51298
1076.496, 30.04847
1076.979, 28.92673
1077.461, 27.12492
1077.943, 25.47991
1078.425, 25.52301
1078.907, 26.53673
1079.389, 27.15421
1079.871, 27.10015
1080.353, 27.06485
1080.835, 27.35988
1081.318, 27.61758
1081.800, 27.58116
1082.282, 27.42482
1082.764, 28.17617
1083.246, 29.58870
1083.728, 30.02550
1084.210, 27.97178
1084.692, 26.56924
1085.174, 29.48089
1085.656, 32.89491
1086.139, 32.43551
1086.621, 26.94480
1087.103, 24.95430
1087.585, 26.73992
1088.067, 28.78457
1088.549, 28.58932
1089.031, 27.53523
1089.513, 26.97982
1089.996, 26.78772
1090.478, 26.57761
1090.960, 26.30446
1091.442, 25.95246
1091.924, 25.47947
1092.406, 25.02781
1092.888, 24.53370
1093.370, 24.24984
1093.853, 24.93793
1094.335, 26.55466
1094.817, 27.93687
1095.299, 28.69064
1095.781, 28.95894
1096.263, 28.69152
1096.745, 28.08019
1097.227, 27.44858
1097.709, 26.82466
1098.192, 26.40987
1098.674, 26.25979
1099.156, 26.20017
1099.638, 26.36689
1100.120, 26.35458
1100.602, 25.59825
1101.084, 24.23631
1101.566, 24.25805
1102.048, 25.76525
1102.531, 26.43808
1103.013, 24.78423
1103.495, 23.02030
1103.977, 24.10427
1104.459, 26.31442
1104.941, 27.20415
1105.423, 25.50161
1105.905, 25.42372
1106.388, 27.49802
1106.870, 29.48624
1107.352, 29.84146
1107.834, 29.20233
1108.316, 28.42095
1108.798, 27.67786
1109.280, 27.45867
1109.762, 28.61168
1110.245, 29.36731
1110.727, 29.77546
1111.209, 29.38892
1111.691, 27.18086
1112.173, 23.78257
1112.655, 21.27776
1113.137, 19.83674
1113.619, 20.13035
1114.101, 24.74341
1114.583, 28.59279
1115.066, 29.03239
1115.548, 31.03104
1116.030, 28.04246
1116.512, 29.78662
1116.994, 28.88878
1117.476, 24.44275
1117.958, 21.16064
1118.440, 24.52505
1118.923, 28.98043
1119.405, 30.05535
1119.887, 28.23290
1120.369, 27.57775
1120.851, 28.30728
1121.333, 28.16517
1121.815, 26.06605
1122.297, 24.27461
1122.780, 26.72305
1123.262, 30.14049
1123.744, 30.06024
1124.226, 24.70185
1124.708, 22.29026
1125.190, 23.41122
1125.672, 26.11880
1126.154, 30.57710
1126.636, 34.80108
1127.119, 34.55915
1127.601, 31.59938
1128.083, 29.25361
1128.565, 28.66829
1129.047, 28.27914
1129.529, 27.82017
1130.011, 27.66834
1130.493, 28.61364
1130.975, 29.96070
1131.458, 28.46259
1131.940, 25.07415
1132.422, 23.41727
1132.904, 28.02341
1133.386, 30.68676
1133.868, 27.78838
1134.350, 23.82452
1134.832, 23.90430
1135.315, 27.38388
1135.797, 28.23955
1136.279, 26.40651
1136.761, 24.32965
1137.243, 23.47242
1137.725, 22.82215
1138.207, 21.76582
1138.689, 20.61634
1139.172, 19.69306
1139.654, 18.96392
1140.136, 20.12820
1140.618, 23.50710
1141.100, 26.44357
1141.582, 26.38244
1142.064, 25.44153
1142.546, 25.19075
1143.028, 25.51027
1143.510, 25.32970
1143.993, 24.51099
1144.475, 24.12585
1144.957, 24.38909
1145.439, 25.21914
1145.921, 27.26187
1146.403, 29.32978
1146.885, 30.19166
1147.367, 29.62052
1147.850, 28.46979
1148.332, 26.52512
1148.814, 24.83119
1149.296, 23.62448
1149.778, 23.05970
1150.260, 23.65178
1150.742, 24.90080
1151.224, 26.14068
1151.707, 27.32504
1152.189, 28.03516
1152.671, 28.09123
1153.153, 28.11851
1153.635, 28.50664
1154.117, 28.93922
1154.599, 28.20763
1155.081, 27.11351
1155.563, 27.70088
1156.046, 32.56022
1156.528, 34.11436
1157.010, 29.92171
1157.492, 25.37297
1157.974, 23.84653
1158.456, 24.72465
1158.938, 26.89496
1159.420, 29.74035
1159.902, 31.25397
1160.385, 29.11483
1160.867, 27.75760
1161.349, 28.99949
1161.831, 30.16486
1162.313, 28.25024
1162.795, 24.06931
1163.277, 22.27949
1163.759, 22.74906
1164.242, 24.38375
1164.724, 28.44601
1165.206, 31.28871
1165.688, 30.98727
1166.170, 29.39342
1166.652, 28.52830
1167.134, 28.28738
1167.616, 27.47888
1168.099, 26.11321
1168.581, 25.29429
1169.063, 25.89667
1169.545, 27.02315
1170.027, 28.75047
1170.509, 30.44392
1170.991, 30.84517
1171.473, 30.03378
1171.955, 30.36933
1172.438, 32.12591
1172.920, 33.32232
1173.402, 31.88132
1173.884, 29.98901
1174.366, 29.41799
1174.848, 29.38021
1175.330, 27.24352
1175.812, 22.91099
1176.294, 21.89825
1176.777, 25.40006
1177.259, 29.50551
1177.741, 31.92081
1178.223, 32.79898
1178.705, 31.50397
1179.187, 28.67399
1179.669, 26.56885
1180.151, 25.07393
1180.634, 26.53272
1181.116, 32.20659
1181.598, 37.44840
1182.080, 37.14632
1182.562, 34.96817
1183.044, 34.05301
1183.526, 34.52667
1184.008, 35.37876
1184.490, 36.72219
1184.973, 37.23396
1185.455, 36.13800
1185.937, 35.22738
1186.419, 37.17775
1186.901, 39.75944
1187.383, 40.34078
1187.865, 38.61438
1188.347, 37.63384
1188.829, 37.59111
1189.312, 36.63612
1189.794, 33.35926
1190.276, 30.37079
1190.758, 30.97183
1191.240, 33.37289
1191.722, 35.53681
1192.204, 37.20240
1192.686, 38.58090
1193.169, 39.64509
1193.651, 40.65578
1194.133, 42.01392
1194.615, 42.96165
1195.097, 42.33302
1195.579, 40.82965
1196.061, 39.08129
1196.543, 36.30879
1197.026, 37.92891
1197.508, 44.96420
1197.990, 50.31252
1198.472, 48.43205
1198.954, 44.49543
1199.436, 45.10993
1199.918, 47.95448
1200.400, 49.17545
1200.882, 47.48776
1201.365, 46.65822
1201.847, 46.75213
1202.329, 47.34876
1202.811, 48.62384
1203.293, 49.84517
1203.775, 49.88783
1204.257, 49.30372
1204.739, 49.17481
1205.221, 49.97259
1205.704, 50.35243
1206.186, 50.30250
1206.668, 49.87411
1207.150, 48.52435
1207.632, 47.29546
1208.114, 47.84648
1208.596, 49.35997
1209.078, 49.90805
1209.561, 48.95841
1210.043, 48.01019
1210.525, 47.01819
1211.007, 46.49738
1211.489, 47.10482
1211.971, 48.17037
1212.453, 49.30033
1212.935, 50.24502
1213.417, 50.41331
1213.900, 50.12991
1214.382, 47.52367
1214.864, 41.97935
1215.346, 37.57374
1215.828, 38.53382
1216.310, 41.66912
1216.792, 44.56131
1217.274, 46.73450
1217.756, 46.90258
1218.239, 44.37670
1218.721, 42.70137
1219.203, 42.20198
1219.685, 41.92793
1220.167, 40.82940
1220.649, 39.73889
1221.131, 39.97532
1221.613, 40.85849
1222.096, 40.02474
1222.578, 36.70606
1223.060, 35.20904
1223.542, 36.08382
1224.024, 37.40529
1224.506, 37.56649
1224.988, 37.34777
1225.470, 37.44101
1225.953, 37.73680
1226.435, 37.77685
1226.917, 37.52522
1227.399, 37.37922
1227.881, 37.44453
1228.363, 36.86678
1228.845, 33.87070
1229.327, 30.88895
1229.809, 30.24567
1230.292, 31.18520
1230.774, 31.18020
1231.256, 30.12568
1231.738, 29.40776
1232.220, 29.19277
1232.702, 29.28133
1233.184, 29.47665
1233.666, 29.94700
1234.148, 31.08181
1234.631, 32.52181
1235.113, 33.36844
1235.595, 33.60811
1236.077, 33.98631
1236.559, 34.60530
1237.041, 35.07728
1237.523, 35.58492
1238.005, 35.36739
1238.488, 32.64107
1238.970, 29.41505
1239.452, 30.45499
1239.934, 35.33340
1240.416, 38.45974
1240.898, 39.08897
1241.380, 39.11873
1241.862, 38.82295
1242.344, 39.40377
1242.827, 42.45170
1243.309, 45.96347
1243.791, 45.39590
1244.273, 41.59231
1244.755, 39.74260
1245.237, 40.46640
1245.719, 41.04996
1246.201, 40.02317
1246.683, 38.36072
1247.166, 35.68969
1247.648, 33.53465
1248.130, 35.62140
1248.612, 40.55338
1249.094, 43.76323
1249.576, 44.68399
1250.058, 44.35316
