##NAMES=Henmilite
##RRUFFID=R060257
##IDEAL CHEMISTRY=Ca_2_Cu^2+^[B(OH)_4_]_2_(OH)_4_
##LOCALITY=Fuka mine, Okayama Prefecture, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Deep blue prismatic pinacoidal crystals with a melted looking exterior
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060257
##MEASURED CHEMISTRY=Ca_1.94_Cu_1.06_[B(OH)_4_]_2_(OH)_4_ ; B, H not measured but assumed by stoichiometry
443.9593, 54.27528
444.4414, 51.95004
444.9235, 52.48716
445.4056, 55.17168
445.8877, 57.46389
446.3698, 58.22102
446.8520, 59.18362
447.3341, 61.10713
447.8162, 64.28554
448.2983, 67.54048
448.7804, 71.56910
449.2625, 75.16080
449.7447, 76.53649
450.2268, 74.12121
450.7089, 73.22361
451.1910, 75.28127
451.6731, 79.67188
452.1552, 83.08155
452.6374, 85.21703
453.1195, 87.22403
453.6016, 89.63557
454.0837, 92.44189
454.5658, 96.13731
455.0479, 100.8315
455.5301, 106.0835
456.0122, 111.4668
456.4943, 116.9527
456.9764, 121.8523
457.4585, 125.4485
457.9406, 128.6706
458.4228, 133.1212
458.9049, 138.7124
459.3870, 144.9856
459.8691, 152.3679
460.3512, 159.8815
460.8333, 166.0171
461.3155, 169.9267
461.7976, 174.1807
462.2797, 180.8203
462.7618, 188.9193
463.2439, 196.7423
463.7260, 203.4437
464.2082, 209.9470
464.6903, 216.5079
465.1724, 223.1433
465.6545, 229.7564
466.1366, 236.6929
466.6187, 243.3096
467.1009, 249.1844
467.5830, 257.2842
468.0651, 260.6217
468.5472, 257.3428
469.0293, 249.8556
469.5114, 242.7128
469.9936, 235.5589
470.4757, 229.5936
470.9578, 225.6961
471.4399, 223.8319
471.9220, 220.0610
472.4041, 213.8888
472.8863, 207.4296
473.3684, 203.4012
473.8505, 201.6877
474.3326, 197.1764
474.8147, 188.2394
475.2968, 177.8612
475.7790, 171.5010
476.2611, 168.6317
476.7432, 165.9276
477.2253, 161.3287
477.7074, 155.9315
478.1895, 151.7117
478.6717, 148.6927
479.1538, 145.3975
479.6359, 140.0191
480.1180, 133.9573
480.6001, 129.0269
481.0822, 126.3320
481.5644, 123.7223
482.0465, 120.3205
482.5286, 116.1869
483.0107, 111.4510
483.4928, 105.0408
483.9749, 99.00776
484.4571, 94.55434
484.9392, 92.03300
485.4213, 88.56136
485.9034, 81.95757
486.3855, 75.60519
486.8676, 71.86570
487.3498, 72.65223
487.8319, 72.56913
488.3140, 70.96115
488.7961, 68.45074
489.2782, 66.71109
489.7603, 66.21340
490.2425, 64.89726
490.7246, 61.30006
491.2067, 55.80148
491.6888, 53.11288
492.1709, 53.57114
492.6530, 54.99107
493.1352, 55.64244
493.6173, 55.60688
494.0994, 55.12005
494.5815, 54.11265
495.0636, 52.95617
495.5457, 52.38863
496.0279, 52.12609
496.5100, 51.32677
496.9921, 48.42886
497.4742, 45.55604
497.9563, 44.90529
498.4384, 46.44439
498.9206, 48.09159
499.4027, 49.04355
499.8848, 49.49181
500.3669, 49.70962
500.8490, 50.51694
501.3311, 49.80444
501.8133, 45.05433
502.2954, 38.75480
502.7775, 35.59363
503.2596, 38.43000
503.7417, 41.62772
504.2238, 44.38661
504.7060, 46.69951
505.1881, 47.28740
505.6702, 45.33784
506.1523, 42.98644
506.6344, 41.78109
507.1165, 41.95036
507.5987, 41.46103
508.0808, 39.87624
508.5629, 38.26674
509.0450, 38.57903
509.5271, 40.67010
510.0092, 42.60014
510.4914, 43.45371
