##NAMES=Bastnasite-(Ce)
##RRUFFID=R050409
##IDEAL CHEMISTRY=CeCO_3_F
##LOCALITY=Machni, near Warsak Dam, Zagi Mountain, North-West Frontier Province, Pakistan
##OWNER=RRUFF
##SOURCE=G.R. Rossman
##DESCRIPTION=Yellowish brown fragment
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050409
##MEASURED CHEMISTRY=(Ce_0.54_(La,Pr)_0.25_Nd_0.21_)_Σ=1_CO_3_F_1.00_
310.827, 1842.000
312.186, 1761.000
313.545, 1728.000
314.903, 1684.000
316.262, 1699.000
317.620, 1660.000
318.978, 1637.000
320.336, 1639.000
321.693, 1584.000
323.051, 1614.000
324.408, 1625.000
325.765, 1664.000
327.121, 1672.000
328.478, 1702.000
329.834, 1710.000
331.190, 1796.000
332.546, 1819.000
333.902, 1793.000
335.257, 1886.000
336.612, 1897.000
337.967, 1977.000
339.322, 2021.000
340.677, 2088.000
342.031, 2144.000
343.385, 2268.000
344.739, 2390.000
346.093, 2582.000
347.446, 2686.000
348.799, 2778.000
350.153, 2864.987
351.505, 2898.212
352.858, 2918.430
354.210, 2901.266
355.563, 2818.000
356.915, 2732.000
358.267, 2647.000
359.618, 2567.000
360.969, 2548.000
362.321, 2462.000
363.672, 2393.000
365.022, 2409.000
366.373, 2319.000
367.723, 2291.000
369.073, 2252.000
370.423, 2231.000
371.773, 2198.000
373.122, 2180.401
374.471, 2118.000
375.821, 2139.000
377.169, 2153.000
378.518, 2113.000
379.866, 2181.000
381.215, 2249.000
382.563, 2294.000
383.910, 2403.000
385.258, 2526.000
386.605, 2671.000
387.952, 2786.000
389.299, 2964.000
390.646, 3047.000
391.992, 3253.000
393.339, 3363.000
394.685, 3559.000
396.031, 3633.000
397.376, 3753.000
398.722, 3732.000
400.067, 3652.000
401.412, 3585.000
402.757, 3504.000
404.101, 3361.000
405.446, 3317.000
406.790, 3151.000
408.134, 3059.000
409.478, 2974.000
410.821, 2889.000
412.165, 2792.000
413.508, 2692.000
414.851, 2631.000
416.193, 2549.344
417.536, 2495.492
418.878, 2432.000
420.220, 2410.000
421.562, 2386.000
422.904, 2366.000
424.245, 2364.000
425.586, 2368.000
426.927, 2337.000
428.268, 2273.000
429.609, 2276.000
430.949, 2270.000
432.289, 2210.000
433.629, 2233.000
434.969, 2227.000
436.309, 2205.000
437.648, 2186.000
438.987, 2153.000
440.326, 2153.000
441.665, 2112.000
443.003, 2080.000
444.342, 2091.000
445.680, 2097.000
447.018, 2084.000
448.355, 2069.000
449.693, 2058.000
451.030, 2039.000
452.367, 2009.524
453.704, 1984.000
455.041, 1959.000
456.377, 1952.000
457.713, 1964.000
459.049, 1956.000
460.385, 1935.000
461.721, 1938.000
463.056, 1921.000
464.391, 1963.000
465.726, 1894.000
467.061, 1945.000
468.395, 1939.000
469.730, 1924.000
471.064, 1938.000
472.398, 1916.000
473.731, 1925.869
475.065, 1963.000
476.398, 1943.000
477.731, 1962.000
479.064, 1984.000
480.397, 2029.000
481.729, 1969.000
483.062, 2013.000
484.394, 2054.000
485.725, 2023.000
487.057, 2074.000
488.389, 2065.000
489.720, 2070.000
491.051, 2105.000
492.382, 2095.000
493.712, 2155.000
495.043, 2162.000
496.373, 2182.000
497.703, 2221.000
499.032, 2174.000
500.362, 2215.000
501.691, 2196.000
503.020, 2268.000
504.349, 2274.000
505.678, 2283.000
507.007, 2288.000
508.335, 2323.000
509.663, 2310.000
510.991, 2310.000
512.319, 2345.000
513.646, 2411.000
514.973, 2379.000
516.300, 2387.000
