##NAMES=Salammoniac
##RRUFFID=R061022
##IDEAL CHEMISTRY=N^3-^H_4_Cl
##LOCALITY=Schoeller mine, Kladno, Bohemia, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=A crust of colorless tabular crystals
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R061022
##MEASURED CHEMISTRY=NH_4_Cl_1.00_ ; N, H not measured but estimated by stoichiometry
105.8878, 3052.728
106.3699, 3049.723
106.8520, 3055.131
107.3341, 3074.072
107.8162, 3103.239
108.2983, 3124.306
108.7805, 3130.126
109.2626, 3133.615
109.7447, 3141.601
110.2268, 3153.897
110.7089, 3170.745
111.1910, 3194.126
111.6732, 3223.733
112.1553, 3251.411
112.6374, 3277.900
113.1195, 3301.224
113.6016, 3320.086
114.0837, 3331.458
114.5659, 3340.827
115.0480, 3349.626
115.5301, 3358.061
116.0122, 3366.160
116.4943, 3371.270
116.9764, 3376.755
117.4586, 3386.888
117.9407, 3406.443
118.4228, 3428.804
118.9049, 3448.927
119.3870, 3465.103
119.8691, 3484.448
120.3513, 3510.085
120.8334, 3541.796
121.3155, 3579.090
121.7976, 3621.297
122.2797, 3669.001
122.7618, 3723.766
123.2440, 3787.470
123.7261, 3854.183
124.2082, 3917.331
124.6903, 3977.972
125.1724, 4039.291
125.6545, 4100.942
126.1367, 4164.854
126.6188, 4234.802
127.1009, 4312.223
127.5830, 4395.041
128.0651, 4480.123
128.5472, 4567.916
129.0294, 4659.050
129.5115, 4756.923
129.9936, 4859.504
130.4757, 4962.602
130.9578, 5066.014
131.4399, 5168.796
131.9221, 5268.445
132.4042, 5365.767
132.8863, 5459.617
133.3684, 5551.351
133.8505, 5641.015
134.3326, 5728.912
134.8148, 5815.685
135.2969, 5900.879
135.7790, 5977.697
136.2611, 6046.312
136.7432, 6106.873
137.2253, 6161.382
137.7075, 6209.991
138.1896, 6252.391
138.6717, 6288.963
139.1538, 6319.367
139.6359, 6343.727
140.1180, 6362.917
140.6002, 6374.893
141.0823, 6375.714
141.5644, 6362.664
142.0465, 6344.487
142.5286, 6324.053
143.0107, 6301.892
143.4929, 6276.260
143.9750, 6247.072
144.4571, 6214.382
144.9392, 6179.733
145.4213, 6142.422
145.9034, 6103.498
146.3856, 6062.833
146.8677, 6019.833
147.3498, 5976.926
147.8319, 5933.771
148.3140, 5890.798
148.7961, 5847.503
149.2783, 5803.142
149.7604, 5760.057
150.2425, 5718.956
150.7246, 5679.614
151.2067, 5642.885
