##NAMES=Shigaite
##RRUFFID=R080090
##IDEAL CHEMISTRY=NaAl_3_Mn^2+^_6_(S^6+^O_4_)_2_(OH)_18_&#183;12H_2_O
##LOCALITY=Ioi Mine, Shiga Prefecture, Kinki Region, Honshu Island, Japan
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Semi-transparent, dull-yellow to pale yellow coating
##STATUS=The identification of this mineral has been confirmed by single-crystal X-ray diffraction.
##URL=rruff.info/R080090
221.0787, 140.2711
221.5608, 138.0135
222.0429, 136.0154
222.5250, 134.3038
223.0071, 132.8483
223.4893, 131.6165
223.9714, 130.6648
224.4535, 129.8337
224.9356, 129.0529
225.4177, 128.4067
225.8998, 127.5957
226.3820, 126.4704
226.8641, 125.1820
227.3462, 124.3127
227.8283, 124.0325
228.3104, 123.9092
228.7925, 123.7453
229.2747, 123.5659
229.7568, 123.2601
230.2389, 122.7137
230.7210, 122.0510
231.2031, 121.7221
231.6852, 121.9612
232.1674, 122.1857
232.6495, 122.0917
233.1316, 121.4982
233.6137, 120.9784
234.0958, 120.4961
234.5779, 120.1109
235.0601, 120.0333
235.5422, 120.4760
236.0243, 120.9184
236.5064, 121.1095
236.9885, 120.8755
237.4706, 120.7850
237.9528, 120.9201
238.4349, 121.1784
238.9170, 121.2866
239.3991, 121.1144
239.8812, 120.9869
240.3633, 121.0707
240.8455, 121.5312
241.3276, 121.7816
241.8097, 121.7209
242.2918, 121.4844
242.7739, 121.3634
243.2560, 121.3803
243.7382, 121.4797
244.2203, 121.6689
244.7024, 122.0339
245.1845, 122.2329
245.6666, 122.1567
246.1487, 121.9672
246.6309, 121.9735
247.1130, 122.2234
247.5951, 122.5957
248.0772, 123.0985
248.5593, 123.8476
249.0414, 124.2980
249.5236, 124.3304
250.0057, 124.1375
250.4878, 124.0232
250.9699, 123.9761
251.4520, 124.0269
251.9341, 124.1899
252.4163, 124.4762
252.8984, 124.8342
253.3805, 125.3307
253.8626, 125.8505
254.3447, 126.1812
254.8268, 126.1753
255.3090, 126.3032
255.7911, 126.8136
256.2732, 127.8200
256.7553, 128.2129
257.2374, 127.6547
257.7195, 126.8158
258.2017, 126.5426
258.6838, 127.0512
259.1659, 127.6297
259.6480, 128.1187
260.1301, 128.5103
260.6122, 128.9261
261.0944, 129.3945
261.5765, 129.8546
262.0586, 130.2583
262.5407, 130.6308
263.0228, 130.8757
263.5049, 130.9509
263.9871, 130.8631
264.4692, 130.7375
264.9513, 130.5285
265.4334, 130.3540
265.9155, 130.3524
266.3976, 130.6005
266.8798, 130.7522
267.3619, 130.6941
267.8440, 130.4687
268.3261, 130.4545
268.8082, 130.7359
269.2903, 131.0502
269.7725, 131.2069
270.2546, 131.2073
270.7367, 131.0330
271.2188, 130.6558
271.7009, 130.1074
272.1830, 129.4350
272.6652, 128.5291
273.1473, 127.8119
273.6294, 127.6980
274.1115, 128.3391
274.5936, 128.6117
275.0757, 128.2913
275.5579, 127.6128
276.0400, 127.2955
276.5221, 127.4227
277.0042, 127.5712
277.4863, 127.4784
277.9684, 127.1256
278.4506, 126.7850
278.9327, 126.4878
279.4148, 126.1963
279.8969, 125.7750
280.3790, 125.1875
280.8611, 124.7318
281.3433, 124.6460
281.8254, 124.9268
282.3075, 125.0545
282.7896, 125.0199
283.2717, 124.8217
283.7538, 124.4255
284.2360, 123.8270
284.7181, 123.1595
285.2002, 122.3600
285.6823, 121.4786
286.1644, 121.0222
286.6465, 121.0522
287.1287, 121.2959
287.6108, 121.4748
288.0929, 121.5851
288.5750, 121.5615
289.0571, 121.3049
289.5392, 120.8910
290.0214, 120.6686
290.5035, 120.6635
290.9856, 120.6457
291.4677, 120.3280
291.9498, 119.7568
292.4319, 119.2223
292.9141, 118.7730
293.3962, 118.4347
293.8783, 118.3344
294.3604, 118.4774
294.8425, 118.6134
295.3246, 118.4927
295.8068, 118.1838
296.2889, 117.9147
296.7710, 117.7354
297.2531, 117.6247
297.7352, 117.5834
298.2173, 117.6014
298.6995, 117.5879
299.1816, 117.4678
299.6637, 117.2680
300.1458, 117.0065
300.6279, 116.6076
301.1100, 116.3122
301.5922, 116.6534
302.0743, 117.4451
302.5564, 117.9389
303.0385, 117.2448
303.5206, 116.1251
304.0027, 115.7914
304.4849, 116.5637
304.9670, 117.4487
305.4491, 117.3666
305.9312, 116.6485
306.4133, 116.0888
306.8954, 116.2970
307.3776, 116.7451
307.8597, 116.8552
308.3418, 116.5631
308.8239, 116.2828
309.3060, 116.4266
309.7881, 116.7707
310.2703, 116.9565
310.7524, 116.6466
311.2345, 116.2713
311.7166, 116.1666
312.1987, 116.3291
312.6808, 116.4969
313.1630, 116.5400
313.6451, 116.5041
314.1272, 116.4371
314.6093, 116.2403
315.0914, 116.1214
315.5735, 116.2303
316.0557, 116.5279
316.5378, 116.8104
317.0199, 117.0380
317.5020, 117.1891
317.9841, 117.2300
318.4662, 116.9840
318.9484, 116.8808
319.4305, 117.2312
319.9126, 117.8495
320.3947, 118.2481
320.8768, 118.1505
321.3589, 117.9010
321.8411, 117.6162
322.3232, 117.1828
322.8053, 117.0409
323.2874, 117.4948
323.7695, 118.2508
324.2516, 118.8437
324.7338, 119.1730
325.2159, 119.3553
325.6980, 119.3649
326.1801, 119.1275
326.6622, 119.0542
327.1443, 119.3764
327.6265, 119.7873
328.1086, 119.9785
328.5907, 119.8013
329.0728, 119.5625
329.5549, 119.2088
330.0370, 118.7361
330.5192, 118.5940
331.0013, 118.9815
331.4834, 119.5299
331.9655, 120.0011
332.4476, 120.4159
332.9297, 120.7082
333.4119, 120.7792
333.8940, 120.7111
334.3761, 120.9119
334.8582, 121.6096
335.3403, 122.2055
335.8224, 122.3710
336.3046, 121.9671
336.7867, 121.4954
337.2688, 120.8124
337.7509, 120.1777
338.2330, 120.2337
338.7151, 121.2517
339.1973, 122.1035
339.6794, 122.2346
340.1615, 121.5941
340.6436, 121.3982
341.1257, 121.7620
341.6078, 122.3281
342.0900, 122.6648
342.5721, 122.7588
343.0542, 122.7489
343.5363, 122.6072
344.0184, 122.4004
344.5005, 122.4302
344.9827, 122.7119
345.4648, 123.1206
345.9469, 123.6769
346.4290, 124.3315
346.9111, 124.5783
347.3932, 124.1406
347.8754, 123.4929
348.3575, 123.6774
348.8396, 124.6226
349.3217, 125.5543
349.8038, 125.8800
350.2859, 125.7985
350.7681, 125.7957
351.2502, 125.9394
351.7323, 126.1177
352.2144, 126.1690
352.6965, 126.1428
353.1786, 126.1874
353.6608, 126.3884
354.1429, 126.6988
354.6250, 127.1579
355.1071, 127.7787
355.5892, 128.2130
356.0714, 128.0179
356.5535, 127.5030
357.0356, 127.1238
357.5177, 127.0686
357.9998, 127.1898
358.4819, 127.4581
358.9641, 127.8455
359.4462, 128.1878
359.9283, 128.3633
360.4104, 128.4750
360.8925, 128.6037
361.3746, 128.7529
361.8568, 128.9427
362.3389, 129.2345
362.8210, 129.5711
363.3031, 129.8314
363.7852, 129.9571
364.2673, 130.0120
364.7495, 130.0100
365.2316, 129.9303
365.7137, 129.8753
366.1958, 129.9170
366.6779, 129.9761
367.1600, 129.9594
367.6422, 129.5908
368.1243, 129.4210
368.6064, 129.7011
369.0885, 130.4677
369.5706, 130.8981
370.0527, 130.7032
370.5349, 130.4004
371.0170, 130.3463
371.4991, 130.8694
371.9812, 131.0677
372.4633, 130.6752
372.9454, 129.9237
373.4276, 129.6487
373.9097, 130.0158
374.3918, 130.5709
374.8739, 131.1511
375.3560, 131.8175
375.8381, 132.2475
376.3203, 132.3720
376.8024, 132.3433
377.2845, 132.3851
377.7666, 132.5071
378.2487, 132.6340
378.7308, 132.7021
379.2130, 132.7422
379.6951, 132.9908
380.1772, 133.4752
380.6593, 134.0340
381.1414, 134.6035
381.6235, 135.1575
382.1057, 135.4585
382.5878, 135.3542
383.0699, 135.1101
383.5520, 135.3012
384.0341, 135.8852
384.5162, 136.4102
384.9984, 136.5473
385.4805, 136.4278
385.9626, 136.2863
386.4447, 136.1168
386.9268, 136.0830
387.4089, 136.4281
387.8911, 137.0395
388.3732, 137.6570
388.8553, 138.3051
389.3374, 138.8183
389.8195, 138.8835
390.3016, 138.5348
390.7838, 138.3431
391.2659, 138.9308
391.7480, 139.7490
392.2301, 140.2129
392.7122, 139.9520
393.1943, 139.6042
393.6765, 139.3168
394.1586, 139.1599
394.6407, 139.3304
395.1228, 140.4530
395.6049, 141.4813
396.0870, 141.7685
396.5692, 140.8882
397.0513, 140.4201
397.5334, 140.8911
398.0155, 141.8646
398.4976, 142.7854
398.9797, 143.7892
399.4619, 144.5355
399.9440, 144.8951
400.4261, 144.8688
400.9082, 144.8321
401.3903, 144.7146
401.8724, 144.6492
