##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01619
##ORIENTATION=Laser parallel to b* (0 1 0). Fiducial mark perpendicular to laser is parallel to -c [0 0 -1]
136.6840, 25670.00
137.9110, 25804.00
139.1380, 25901.00
140.3650, 25967.00
141.5920, 26350.00
142.8190, 26977.00
144.0460, 26813.00
145.2720, 27341.00
146.4990, 28176.00
147.7250, 28887.00
148.9510, 29896.00
150.1770, 30970.00
151.4020, 32324.00
152.6280, 34012.00
153.8530, 35633.00
155.0790, 36725.00
156.3040, 38042.19
157.5290, 39882.53
158.7530, 40607.90
159.9780, 40225.59
161.2030, 38400.57
162.4270, 36928.00
163.6510, 34984.00
164.8750, 33623.00
166.0990, 32235.00
167.3230, 31940.00
168.5470, 31589.00
169.7700, 31774.00
170.9930, 31823.00
172.2160, 32889.00
173.4390, 33872.00
174.6620, 34911.77
175.8850, 36219.00
177.1080, 37795.00
178.3300, 39395.00
179.5520, 41273.00
180.7740, 43025.00
181.9960, 44034.00
183.2180, 44730.00
184.4400, 45893.00
185.6610, 45925.00
186.8820, 46036.00
188.1040, 45878.00
189.3250, 45233.00
190.5450, 43263.00
191.7660, 41959.00
192.9870, 40858.00
194.2070, 39350.00
195.4270, 38953.94
196.6480, 39006.00
197.8680, 38522.00
199.0870, 38401.00
200.3070, 38952.00
201.5270, 39260.00
202.7460, 40293.00
203.9650, 41287.00
205.1840, 42419.00
206.4030, 43693.00
207.6220, 44972.41
208.8400, 46304.00
210.0590, 47849.00
211.2770, 49202.00
212.4950, 50815.00
213.7130, 52113.00
214.9310, 52478.00
216.1490, 53104.00
217.3660, 53264.00
218.5840, 53105.00
219.8010, 53182.00
221.0180, 53098.00
222.2350, 53323.00
223.4520, 54087.00
224.6680, 54462.00
225.8850, 55518.00
227.1010, 56273.00
228.3170, 57767.00
229.5330, 58580.00
230.7490, 58908.00
231.9650, 58739.00
233.1810, 57864.00
234.3960, 57164.00
235.6110, 54579.55
236.8260, 52640.56
238.0410, 50583.73
239.2560, 49292.00
240.4710, 44482.00
241.6850, 42701.00
242.9000, 41235.00
244.1140, 41184.00
245.3280, 38656.00
246.5420, 37930.00
247.7550, 36947.00
248.9690, 36651.00
250.1820, 35810.00
251.3960, 35482.00
252.6090, 35096.00
253.8220, 34422.00
255.0350, 34159.00
256.2470, 33842.00
257.4600, 33417.00
258.6720, 33616.00
259.8840, 33669.00
261.0960, 33268.00
262.3080, 32214.00
263.5200, 31235.00
264.7320, 30410.00
265.9430, 30038.00
267.1540, 29469.00
268.3650, 28898.00
269.5760, 28593.00
270.7870, 27913.00
271.9980, 27422.00
273.2080, 27039.00
274.4190, 26732.00
275.6290, 26450.00
276.8390, 26243.00
278.0490, 26091.00
279.2590, 25773.00
280.4680, 25930.00
281.6780, 25928.00
282.8870, 25682.00
284.0960, 25970.00
285.3050, 25875.00
286.5140, 25772.00
287.7230, 26000.00
288.9310, 25759.00
290.1400, 25927.00
291.3480, 25708.00
292.5560, 25746.00
293.7640, 25812.00
294.9720, 25930.00
296.1790, 25683.00
297.3870, 25931.00
298.5940, 26099.00
299.8010, 26211.00
301.0080, 26557.00
302.2150, 26873.00
303.4220, 27199.00
304.6290, 27872.00
305.8350, 28317.00
307.0410, 29051.00
308.2470, 29841.00
309.4530, 30598.00
310.6590, 31415.00
311.8650, 32521.00
313.0700, 33701.00
314.2750, 34303.00
315.4810, 35133.00
316.6860, 35772.00
317.8900, 36111.00
319.0950, 36168.00
320.3000, 35920.26
321.5040, 35518.00
322.7080, 34758.00
323.9120, 33838.00
325.1160, 32989.00
326.3200, 32235.00
327.5240, 31507.00
328.7270, 30668.00
329.9310, 30076.00
331.1340, 29370.00
332.3370, 28956.00
333.5400, 28531.00
334.7420, 28224.00
335.9450, 27671.00
337.1470, 27434.00
338.3500, 27290.00
339.5520, 27066.00
340.7540, 27219.00
341.9550, 27201.00
343.1570, 27146.00
344.3590, 27615.00
345.5600, 27699.00
346.7610, 27606.00
347.9620, 27738.00
349.1630, 28142.00
350.3640, 28364.00
351.5640, 28548.00
352.7650, 28564.00
353.9650, 28897.00
355.1650, 29176.00
356.3650, 29495.00
357.5650, 29753.00
358.7640, 30185.00
359.9640, 30694.00
361.1630, 30803.00
362.3620, 31304.00
363.5610, 31914.00
364.7600, 32239.00
365.9590, 32462.00
367.1580, 32936.00
368.3560, 33178.00
369.5540, 33537.00
370.7520, 33468.00
371.9500, 33708.00
373.1480, 33783.00
374.3460, 33936.00
375.5430, 33850.00
376.7410, 33764.00
377.9380, 33269.00
379.1350, 32774.00
380.3320, 32599.00
381.5280, 32211.00
382.7250, 31857.00
383.9210, 31375.00
385.1180, 31559.00
386.3140, 31745.00
387.5100, 32011.00
388.7050, 32262.32
389.9010, 32270.00
391.0960, 32876.00
392.2920, 33006.00
393.4870, 33372.00
394.6820, 33349.00
395.8770, 33337.00
397.0720, 33327.00
398.2660, 33295.00
399.4610, 32976.00
400.6550, 32805.00
401.8490, 32883.00
403.0430, 32756.00
404.2370, 32969.00
405.4300, 33128.00
406.6240, 32731.00
407.8170, 32446.00
409.0100, 31720.00
410.2030, 31766.00
411.3960, 31619.00
412.5890, 31988.00
413.7810, 32499.00
414.9740, 32838.00
416.1660, 33330.00
417.3580, 34117.00
418.5500, 34647.00
419.7420, 35561.00
420.9330, 35597.00
422.1250, 35879.00
423.3160, 35885.00
424.5070, 35142.00
425.6980, 34011.00
426.8890, 32752.00
428.0800, 31266.00
429.2700, 29969.00
430.4610, 28485.00
431.6510, 26833.00
432.8410, 25907.00
434.0310, 24965.00
435.2210, 24070.00
436.4100, 23674.00
437.6000, 23327.00
438.7890, 22707.00
439.9780, 22435.00
441.1670, 22287.00
442.3560, 22238.00
443.5450, 22098.00
444.7330, 22030.00
445.9210, 21816.00
447.1100, 22198.00
448.2980, 21975.00
449.4860, 22227.00
450.6730, 22147.00
451.8610, 22194.00
453.0480, 22336.00
454.2360, 22412.00
455.4230, 22438.00
456.6100, 22385.00
457.7970, 22365.00
458.9830, 22237.00
460.1700, 22355.00
461.3560, 22011.00
462.5420, 22256.00
463.7280, 22123.00
464.9140, 22144.00
466.1000, 22489.00
467.2850, 22670.00
468.4710, 23078.00
469.6560, 23528.00
470.8410, 23914.19
472.0260, 24246.00
473.2110, 24862.00
474.3960, 25541.00
475.5800, 26029.00
476.7640, 26130.00
477.9490, 26748.00
479.1330, 26876.00
480.3160, 26438.00
481.5000, 26261.00
482.6840, 26325.00
483.8670, 26140.00
485.0500, 25877.00
486.2330, 25971.00
487.4160, 25720.00
488.5990, 25564.00
489.7820, 25464.00
490.9640, 25069.00
492.1470, 24844.00
493.3290, 24595.00
494.5110, 24173.00
495.6930, 23992.00
496.8740, 23841.00
498.0560, 23829.00
499.2370, 24066.00
500.4180, 24077.00
501.5990, 24290.00
502.7800, 24775.00
503.9610, 25031.00
505.1420, 25671.00
506.3220, 25806.00
507.5020, 26753.00
508.6820, 27451.00
509.8620, 28059.00
511.0420, 29070.00
512.2220, 29782.00
513.4010, 30480.00
514.5810, 30844.00
515.7600, 30747.00
516.9390, 30566.00
518.1180, 29975.00
519.2970, 29228.00
520.4750, 28530.00
521.6540, 27815.00
522.8320, 27390.00
524.0100, 26919.00
525.1880, 26792.00
526.3660, 26578.00
527.5430, 26765.00
528.7210, 26618.00
529.8980, 26909.00
531.0750, 27022.00
532.2520, 27212.00
533.4290, 27627.00
534.6060, 28136.00
535.7820, 28559.00
536.9590, 29333.00
538.1350, 30169.00
539.3110, 30810.00
540.4870, 31667.00
541.6630, 32794.00
542.8380, 34033.00
544.0140, 35472.00
545.1890, 36381.94
546.3640, 37515.00
547.5390, 38347.00
548.7140, 39257.00
549.8890, 40246.00
551.0630, 40980.00
552.2380, 41535.00
553.4120, 42001.00
554.5860, 42272.00
555.7600, 42213.00
556.9330, 41998.81
558.1070, 41623.00
559.2800, 40854.00
560.4540, 39861.00
561.6270, 38774.00
562.8000, 37701.00
563.9730, 36510.00
565.1450, 35197.00
566.3180, 33908.00
567.4900, 33048.00
568.6620, 31986.00
569.8340, 30893.00
571.0060, 29865.00
572.1780, 29246.00
573.3490, 28230.00
574.5210, 27878.00
575.6920, 27161.00
576.8630, 26702.00
578.0340, 26445.00
579.2050, 25923.00
580.3750, 25758.00
581.5460, 25174.00
582.7160, 25031.00
583.8860, 24475.00
585.0560, 24307.00
586.2260, 24133.00
587.3960, 23914.00
588.5650, 23772.00
589.7340, 23593.00
590.9040, 23307.00
