##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01072
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to -a [-1 0 0]
102.8230, 7372.000
104.0530, 7440.000
105.2840, 7477.000
106.5140, 7704.000
107.7440, 7846.000
108.9730, 7848.000
110.2030, 7797.000
111.4320, 8244.000
112.6620, 8077.000
113.8910, 8140.000
115.1200, 8617.000
116.3490, 8675.000
117.5780, 8686.000
118.8060, 8513.000
120.0350, 8455.000
121.2630, 8655.000
122.4920, 8602.000
123.7200, 8235.000
124.9480, 7825.000
126.1750, 7676.000
127.4030, 7343.000
128.6310, 7490.000
129.8580, 7589.000
131.0850, 7308.000
132.3120, 7386.000
133.5390, 7443.000
134.7660, 7500.000
135.9930, 7481.000
137.2200, 7780.000
138.4460, 7653.373
139.6720, 7758.000
140.8980, 7618.000
142.1240, 7680.000
143.3500, 7801.000
144.5760, 7975.000
145.8020, 7986.000
147.0270, 8201.000
148.2520, 8561.000
149.4780, 8832.644
150.7030, 9241.365
151.9270, 9598.000
153.1520, 9993.000
154.3770, 10299.00
155.6010, 10430.00
156.8260, 10491.00
158.0500, 10306.00
159.2740, 10010.00
160.4980, 9566.000
161.7210, 9310.000
162.9450, 9123.000
164.1690, 8871.000
165.3920, 8707.000
166.6150, 8671.166
167.8380, 8659.094
169.0610, 8757.000
170.2840, 8886.000
171.5070, 9113.000
172.7290, 9365.000
173.9510, 9764.000
175.1740, 10004.00
176.3960, 10481.00
177.6180, 10796.00
178.8390, 11227.00
180.0610, 11542.00
181.2830, 11931.00
182.5040, 12234.00
183.7250, 12479.00
184.9460, 12200.00
186.1670, 12426.00
187.3880, 12136.00
188.6090, 12087.00
189.8290, 11995.00
191.0500, 11976.00
192.2700, 11834.00
193.4900, 12152.00
194.7100, 12556.00
195.9300, 12546.00
197.1490, 13156.00
198.3690, 13865.00
199.5880, 14540.00
200.8080, 15727.00
202.0270, 16522.00
203.2460, 17586.00
204.4650, 18418.00
205.6830, 19774.00
206.9020, 20462.00
208.1200, 21184.00
209.3380, 21675.00
210.5570, 22089.00
211.7750, 21822.00
212.9920, 21428.00
214.2100, 21134.00
215.4280, 20257.00
216.6450, 19522.00
217.8620, 18391.00
219.0790, 17204.00
220.2960, 16377.00
221.5130, 15449.00
222.7300, 14504.00
223.9460, 13664.00
225.1630, 12735.00
226.3790, 12023.00
227.5950, 11384.00
228.8110, 10774.00
230.0270, 10370.00
231.2430, 9817.000
232.4580, 9537.000
233.6740, 9229.000
234.8890, 8851.000
236.1040, 8732.000
237.3190, 8274.000
238.5340, 8103.000
239.7490, 7914.000
240.9630, 7630.000
242.1780, 7593.000
243.3920, 7370.000
244.6060, 7332.000
245.8200, 7190.000
247.0340, 7030.000
248.2470, 6815.000
249.4610, 6694.000
250.6740, 6634.000
251.8880, 6507.000
253.1010, 6533.000
254.3140, 6471.000
255.5270, 6304.000
256.7390, 6147.000
257.9520, 6093.000
259.1640, 6009.000
260.3760, 6005.000
261.5880, 5869.000
262.8000, 5848.000
264.0120, 5793.000
265.2240, 5732.000
266.4350, 5701.000
267.6470, 5725.000
268.8580, 5518.000
270.0690, 5594.000
271.2800, 5509.000
272.4910, 5535.000
273.7020, 5486.000
274.9120, 5452.000
276.1230, 5517.000
277.3330, 5456.000
278.5430, 5475.035
279.7530, 5529.000
280.9630, 5457.000
282.1720, 5469.000
283.3820, 5424.148
284.5910, 5417.000
285.8000, 5402.000
287.0090, 5440.000
288.2180, 5440.000
289.4270, 5500.000
290.6360, 5483.000
291.8440, 5496.287
293.0530, 5470.000
294.2610, 5495.000
295.4690, 5596.000
296.6770, 5606.000
297.8850, 5642.187
299.0920, 5717.882
300.3000, 5807.000
301.5070, 5910.306
302.7140, 5981.624
303.9210, 6162.216
305.1280, 6340.568
306.3350, 6547.275
307.5420, 6828.064
