##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01673
##ORIENTATION=Laser parallel to (1 0 1). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
103.0850, 0.0000000E+00
104.3220, 152.8730
105.5590, 574.1562
106.7950, 784.8867
108.0320, 1083.209
109.2680, 1483.045
110.5040, 1877.381
111.7400, 2201.299
112.9760, 3078.641
114.2120, 3877.262
115.4470, 4064.605
116.6820, 4501.129
117.9170, 4479.814
119.1520, 4392.832
120.3870, 4358.992
121.6220, 3733.619
122.8560, 2979.703
124.0900, 2620.102
125.3240, 2035.709
126.5580, 1590.367
127.7920, 813.9258
129.0260, 699.2461
130.2590, 188.2031
131.4920, 40.70312
132.7250, 170.3281
133.9580, 362.5918
135.1910, 114.8164
136.4230, 488.1016
137.6560, 97.74414
138.8880, 41.83008
140.1200, 2.427734
141.3520, 159.4238
142.5830, 592.3281
143.8150, 955.2266
145.0460, 1473.051
146.2770, 2512.740
147.5080, 3202.238
148.7390, 4172.453
149.9700, 5180.314
151.2000, 6848.801
152.4310, 8655.463
153.6610, 9920.039
154.8910, 11168.94
156.1210, 12174.51
157.3500, 11864.81
158.5800, 11141.68
159.8090, 10111.16
161.0380, 8575.277
162.2670, 7694.066
163.4960, 7047.545
164.7240, 6887.711
165.9530, 6911.105
167.1810, 7381.979
168.4090, 8017.020
169.6370, 9243.617
170.8650, 10667.75
172.0920, 12139.39
173.3200, 13957.51
174.5470, 15693.09
175.7740, 17987.12
177.0010, 20239.54
178.2280, 22033.30
179.4540, 24320.41
180.6810, 26289.84
181.9070, 27303.56
183.1330, 28204.51
184.3590, 28254.67
185.5850, 27744.97
186.8100, 26488.37
188.0350, 24211.87
189.2610, 21878.49
190.4860, 19373.21
191.7110, 17042.83
192.9350, 15560.04
194.1600, 14246.85
195.3840, 13098.73
196.6080, 12833.78
197.8320, 12818.10
199.0560, 13372.54
200.2800, 14021.18
201.5030, 15283.02
202.7270, 16411.06
203.9500, 17948.29
205.1730, 19901.72
206.3950, 21824.38
207.6180, 23872.27
208.8410, 25704.42
210.0630, 27530.88
211.2850, 28898.89
212.5070, 30235.73
213.7290, 31241.47
214.9500, 32211.29
216.1720, 32964.57
217.3930, 33323.37
218.6140, 33564.02
219.8350, 34450.60
221.0560, 35245.00
222.2770, 36620.99
223.4970, 37996.55
224.7170, 39362.34
225.9370, 41571.25
227.1570, 42890.20
228.3770, 44198.21
229.5970, 44113.24
230.8160, 43294.28
232.0350, 41397.33
233.2540, 39059.40
234.4730, 35802.48
235.6920, 32200.58
236.9110, 28981.69
238.1290, 25994.80
239.3470, 23743.94
240.5650, 21217.07
241.7830, 19848.21
243.0010, 18328.36
244.2180, 17112.51
245.4360, 16045.66
246.6530, 14873.81
247.8700, 14158.97
249.0870, 13577.12
250.3040, 13001.25
251.5200, 12391.98
252.7370, 11999.52
253.9530, 11276.72
255.1690, 10886.69
256.3850, 10377.39
257.6000, 9574.762
258.8160, 8838.561
260.0310, 8296.867
261.2460, 7761.840
262.4610, 6766.602
263.6760, 6240.107
264.8910, 5316.506
266.1050, 4569.768
267.3200, 4005.580
268.5340, 3487.502
269.7480, 2912.662
270.9620, 2453.076
