##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00296
##ORIENTATION=Laser parallel to c* (0 0 1). Fiducial mark perpendicular to laser is parallel to a [1 0 0]
107.995, 11737.000
109.387, 11646.000
110.777, 12327.000
112.168, 12460.000
113.559, 13190.000
114.949, 13046.000
116.339, 12768.000
117.729, 12738.000
119.119, 12408.000
120.508, 12642.000
121.897, 12936.000
123.286, 14082.000
124.675, 15225.000
126.063, 16948.000
127.452, 19457.000
128.840, 20800.000
130.228, 21820.000
131.615, 20126.000
133.003, 18336.000
134.390, 16852.000
135.777, 16150.000
137.164, 14784.000
138.550, 13779.000
139.937, 13830.000
141.323, 13596.000
142.709, 13950.000
144.094, 14413.000
145.480, 14826.000
146.865, 15796.000
148.250, 16237.000
149.635, 16976.000
151.019, 17110.000
152.403, 16582.000
153.788, 16137.000
155.171, 15374.000
156.555, 15221.000
157.939, 14953.000
159.322, 15402.000
160.705, 15856.000
162.088, 16449.000
163.470, 17641.000
164.853, 18594.000
166.235, 20288.000
167.617, 20839.000
168.998, 21945.000
170.380, 21100.000
171.761, 20234.000
173.142, 18970.000
174.523, 17166.000
175.904, 16202.000
177.284, 15042.000
178.664, 14652.000
180.044, 14064.000
181.424, 13751.000
182.803, 13630.000
184.183, 13378.000
185.562, 13412.000
186.940, 13120.000
188.319, 13109.000
189.698, 13255.000
191.076, 13181.000
192.454, 13182.000
193.831, 13100.000
195.209, 13108.944
196.586, 13032.000
197.963, 13090.000
199.340, 13108.000
200.717, 13041.000
202.093, 13134.595
203.470, 13111.000
204.846, 13228.000
206.221, 13337.000
207.597, 13338.000
208.972, 13356.000
210.347, 13224.000
211.722, 13641.000
213.097, 13458.000
214.472, 13789.000
215.846, 13791.000
217.220, 13972.000
218.594, 14125.000
219.967, 14144.000
221.341, 14454.000
222.714, 14503.000
224.087, 14810.000
225.460, 14936.000
226.832, 15193.000
228.204, 15391.000
229.577, 15606.000
230.948, 15730.000
232.320, 15464.000
233.692, 15448.000
235.063, 15276.000
236.434, 15034.000
237.805, 14885.000
239.175, 14947.000
240.545, 15045.000
241.916, 14959.000
243.286, 15188.000
244.655, 15296.000
246.025, 15318.000
247.394, 15667.000
248.763, 15531.000
250.132, 15844.000
251.501, 15588.000
252.869, 15718.000
254.237, 15686.000
255.605, 15574.000
256.973, 15648.000
258.340, 15219.000
259.708, 15642.000
261.075, 15018.000
262.442, 14778.000
263.808, 14880.000
265.175, 14579.000
266.541, 14698.000
267.907, 14409.000
269.273, 14518.000
270.639, 14539.000
272.004, 14346.000
273.369, 14684.000
274.734, 14413.000
276.099, 14678.000
277.463, 14694.000
278.828, 14851.000
280.192, 14799.000
281.556, 14787.000
282.919, 15088.000
284.283, 14901.000
285.646, 15136.000
287.009, 15144.000
288.372, 15170.000
289.734, 15333.000
291.097, 15292.000
292.459, 15639.000
293.821, 15715.000
295.183, 16021.000
296.544, 16174.000
297.905, 16298.000
299.266, 16577.000
300.627, 16504.000
301.988, 16761.000
303.348, 16586.000
304.709, 16804.000
306.069, 16736.000
307.428, 16730.000
308.788, 17139.000
310.147, 16972.000
311.507, 17534.000
312.865, 17628.000
314.224, 17788.000
315.583, 17874.000
316.941, 17705.000
318.299, 17826.000
319.657, 17123.000
321.015, 17032.000
322.372, 16836.000
323.729, 16418.000
325.086, 16443.000
326.443, 16209.000
327.800, 16326.000
329.156, 16243.000
330.512, 16132.000
331.868, 16445.000
333.224, 16210.000
334.579, 16640.000
335.935, 16270.000
337.290, 16652.000
338.645, 16768.000
339.999, 16957.000
341.354, 17267.000
342.708, 17488.000
344.062, 17862.000
345.416, 17992.000
346.769, 17849.000
348.123, 18048.000
349.476, 17749.000
350.829, 18101.000
352.182, 17707.000
353.534, 17747.000
354.887, 17703.000
356.239, 17626.000
357.591, 18048.000
358.942, 17646.000
360.294, 18155.000
361.645, 18374.000
362.996, 18439.000
364.347, 18786.000
365.698, 18865.000
367.048, 19413.000
368.398, 19347.000
369.748, 19959.000
371.098, 20264.000
372.448, 20576.000
373.797, 21360.000
375.146, 21421.000
376.495, 22324.000
377.844, 22272.000
379.192, 22828.000
380.540, 23382.000
381.889, 23044.000
383.236, 23360.000
384.584, 22830.000
385.932, 22858.000
387.279, 22638.000
388.626, 22008.000
389.973, 22349.000
391.319, 21632.000
392.666, 21878.000
394.012, 21632.000
395.358, 21481.000
396.704, 21653.000
398.049, 21060.000
399.394, 21775.000
400.740, 21472.000
402.084, 21950.000
403.429, 22208.000
404.774, 22176.000
406.118, 22782.000
407.462, 22940.000
408.806, 23633.000
410.150, 24286.000
411.493, 24985.000
412.836, 26264.000
414.179, 26897.000
415.522, 28454.000
416.865, 29620.000
418.207, 31123.000
419.549, 32627.000
420.891, 33283.000
422.233, 34691.000
