##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01673
##ORIENTATION=Laser parallel to (1 0 1). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
103.0850, 12759.00
104.3220, 13002.00
105.5590, 13491.00
106.7950, 13957.00
108.0320, 13803.00
109.2680, 13545.00
110.5040, 13685.00
111.7400, 13665.00
112.9760, 13968.00
114.2120, 14615.00
115.4470, 14987.00
116.6820, 15341.00
117.9170, 14976.00
119.1520, 14896.00
120.3870, 15459.00
121.6220, 15881.00
122.8560, 15531.00
124.0900, 15074.00
125.3240, 14193.00
126.5580, 13971.00
127.7920, 13795.00
129.0260, 13656.00
130.2590, 13728.00
131.4920, 13502.00
132.7250, 13628.00
133.9580, 13533.00
135.1910, 13613.00
136.4230, 13859.00
137.6560, 13998.00
138.8880, 14179.00
140.1200, 14416.00
141.3520, 14349.00
142.5830, 14386.00
143.8150, 14559.00
145.0460, 15026.00
146.2770, 15514.00
147.5080, 15796.00
148.7390, 16217.00
149.9700, 16714.00
151.2000, 16993.00
152.4310, 17419.00
153.6610, 17985.00
154.8910, 18302.00
156.1210, 18524.00
157.3500, 18383.00
158.5800, 18247.00
159.8090, 17962.00
161.0380, 17536.78
162.2670, 17237.00
163.4960, 16600.00
164.7240, 16387.00
165.9530, 16145.00
167.1810, 16235.00
168.4090, 16157.00
169.6370, 16567.00
170.8650, 16905.00
172.0920, 17276.00
173.3200, 17503.00
174.5470, 17903.00
175.7740, 18528.00
177.0010, 18914.00
178.2280, 19550.00
179.4540, 20180.00
180.6810, 20579.00
181.9070, 21051.00
183.1330, 21583.00
184.3590, 21832.00
185.5850, 22039.00
186.8100, 21867.00
188.0350, 21920.00
189.2610, 21698.00
190.4860, 21765.00
191.7110, 21552.00
192.9350, 21806.00
194.1600, 22138.00
195.3840, 22629.00
196.6080, 23453.00
197.8320, 24490.00
199.0560, 25665.00
200.2800, 26886.00
201.5030, 28362.00
202.7270, 29922.00
203.9500, 31487.00
205.1730, 33216.00
206.3950, 34836.00
207.6180, 35903.00
208.8410, 37016.00
210.0630, 37669.00
211.2850, 38244.00
212.5070, 37894.00
213.7290, 37474.00
214.9500, 36526.00
216.1720, 35309.00
217.3930, 33537.00
218.6140, 32260.00
219.8350, 30381.00
221.0560, 28725.00
222.2770, 26953.00
223.4970, 25590.00
224.7170, 24201.00
225.9370, 23106.00
227.1570, 22142.00
228.3770, 20953.00
229.5970, 20224.00
230.8160, 19477.00
232.0350, 18784.00
233.2540, 18187.00
234.4730, 17546.00
235.6920, 17073.67
236.9110, 16916.00
238.1290, 16287.00
239.3470, 15917.00
240.5650, 15733.00
241.7830, 15309.00
243.0010, 15099.00
244.2180, 15065.00
245.4360, 14916.00
246.6530, 14761.00
247.8700, 14439.00
249.0870, 14390.00
250.3040, 14181.00
251.5200, 14158.00
252.7370, 13866.00
253.9530, 14016.00
255.1690, 13892.00
256.3850, 13684.00
257.6000, 13642.00
258.8160, 13592.00
260.0310, 13456.00
261.2460, 13501.00
262.4610, 13258.00
263.6760, 13224.00
264.8910, 13254.00
266.1050, 13029.00
267.3200, 13152.00
268.5340, 13030.00
269.7480, 12914.58
270.9620, 13138.00
272.1750, 12768.00
273.3890, 12839.00
274.6020, 12983.00
275.8150, 12827.00
277.0280, 12804.00
278.2410, 12896.00
279.4540, 12908.00
280.6660, 12825.00
281.8790, 13009.00
283.0910, 13062.00
284.3030, 12944.00
285.5140, 12888.00
286.7260, 12941.57
287.9380, 13041.00
289.1490, 13025.00
290.3600, 13010.00
291.5710, 13049.00
292.7820, 13092.00
293.9920, 13097.00
295.2030, 13175.19
296.4130, 13223.00
297.6230, 13354.00
298.8330, 13426.00
300.0430, 13599.00
301.2520, 13980.00
302.4620, 14096.00
303.6710, 14235.00
304.8800, 14693.00
306.0890, 14945.00
307.2980, 15269.23
308.5070, 15838.47
309.7150, 16321.21
310.9230, 16718.80
312.1310, 16985.08
313.3390, 17261.09
314.5470, 17435.50
315.7550, 17612.00
316.9620, 17696.00
318.1690, 17495.00
319.3760, 17498.00
320.5830, 17179.00
321.7900, 16889.00
322.9960, 16478.00
324.2030, 16175.09
325.4090, 15856.00
326.6150, 15523.00
327.8210, 15157.00
329.0270, 14887.00
330.2320, 14748.00
331.4380, 14410.00
332.6430, 14341.00
333.8480, 14394.00
335.0530, 14114.00
336.2580, 14149.00
337.4620, 13984.00
338.6670, 13947.00
339.8710, 13952.00
341.0750, 13807.00
342.2790, 13810.00
343.4820, 13773.46
344.6860, 13958.00
345.8890, 13762.00
347.0920, 13946.00
348.2960, 14010.00
349.4980, 14086.00
350.7010, 14203.00
351.9040, 14126.00
353.1060, 14169.00
354.3080, 14226.00
355.5100, 14376.00
356.7120, 14333.00
357.9140, 14354.00
359.1150, 14427.84
360.3170, 14434.00
361.5180, 14538.00
362.7190, 14521.00
363.9200, 14601.00
365.1200, 14804.00
