##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00373
##ORIENTATION=Laser parallel to (1 0 1). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
88.496, 9484.000
89.890, 10826.000
91.284, 12870.000
92.678, 15555.000
94.071, 18232.000
95.465, 21136.000
96.858, 21154.000
98.251, 20145.000
99.644, 17717.000
101.036, 16584.000
102.428, 17182.000
103.820, 19536.000
105.212, 22916.000
106.604, 25336.000
107.995, 27266.000
109.387, 25120.000
110.777, 22865.000
112.168, 20255.000
113.559, 18338.000
114.949, 16500.000
116.339, 14873.000
117.729, 13846.000
119.119, 13262.000
120.508, 13710.000
121.897, 14625.000
123.286, 16380.000
124.675, 18760.000
126.063, 20055.000
127.452, 22459.000
128.840, 23435.000
130.228, 23872.000
131.615, 22230.000
133.003, 19228.000
134.390, 17160.000
135.777, 15332.000
137.164, 14841.000
138.550, 14529.000
139.937, 15137.000
141.323, 15536.000
142.709, 15492.000
144.094, 15491.000
145.480, 15200.000
146.865, 16116.000
148.250, 17021.000
149.635, 18866.000
151.019, 19598.000
152.403, 19088.000
153.788, 18884.000
155.171, 17856.000
156.555, 17721.000
157.939, 16691.000
159.322, 16054.000
160.705, 15737.000
162.088, 15917.000
163.470, 16802.000
164.853, 17486.000
166.235, 19410.000
167.617, 20466.000
168.998, 21699.000
170.380, 21462.000
171.761, 19685.000
173.142, 18225.000
174.523, 16178.000
175.904, 15310.000
177.284, 14069.000
178.664, 14238.000
180.044, 14648.000
181.424, 15540.000
182.803, 17389.000
184.183, 18636.000
185.562, 20772.000
186.940, 21880.000
188.319, 23106.000
189.698, 24587.000
191.076, 24882.000
192.454, 26860.000
193.831, 25710.000
195.209, 24669.000
196.586, 21774.000
197.963, 19136.000
199.340, 16546.000
200.717, 14322.000
202.093, 13003.000
203.470, 11788.000
204.846, 11132.000
206.221, 10402.000
207.597, 10114.000
208.972, 9941.000
210.347, 9737.000
211.722, 9684.000
213.097, 9625.521
214.472, 9669.000
215.846, 9686.000
217.220, 9712.000
218.594, 9850.000
219.967, 9518.000
221.341, 9713.000
222.714, 9492.000
224.087, 9360.000
225.460, 9564.000
226.832, 9446.000
228.204, 9599.000
229.577, 9632.000
230.948, 9984.000
232.320, 10146.000
233.692, 10241.000
235.063, 10697.000
236.434, 10723.000
237.805, 11457.000
239.175, 11170.000
240.545, 11399.000
241.916, 11131.000
243.286, 11068.000
244.655, 11311.000
246.025, 11239.000
247.394, 11604.000
248.763, 11529.000
250.132, 11609.000
251.501, 11259.000
252.869, 10861.000
254.237, 10587.000
255.605, 10078.000
256.973, 10034.000
258.340, 9664.000
259.708, 9610.000
261.075, 9557.000
262.442, 9374.000
263.808, 9481.000
265.175, 9186.000
266.541, 9256.000
267.907, 8962.000
269.273, 9016.000
270.639, 8974.000
272.004, 8841.000
273.369, 9006.000
274.734, 8901.000
276.099, 9187.000
277.463, 9156.000
278.828, 9281.000
280.192, 9610.000
281.556, 9606.000
282.919, 9984.000
284.283, 10073.000
285.646, 10497.000
287.009, 10812.000
288.372, 10998.000
289.734, 11819.000
291.097, 11881.000
292.459, 12897.000
293.821, 13469.000
295.183, 14597.000
296.544, 16109.000
297.905, 16846.000
299.266, 18696.000
300.627, 18941.000
301.988, 19372.000
303.348, 18945.000
304.709, 17908.000
306.069, 17113.000
307.428, 15746.000
308.788, 15397.000
310.147, 14482.000
311.507, 14170.000
312.865, 14146.000
314.224, 13821.000
315.583, 14112.000
316.941, 13662.000
318.299, 13544.000
319.657, 13170.000
321.015, 12634.000
322.372, 12536.000
323.729, 12038.000
325.086, 12221.000
326.443, 12211.000
327.800, 12390.000
329.156, 12599.000
330.512, 12230.000
331.868, 12425.000
333.224, 11970.000
334.579, 12075.000
335.935, 12090.000
337.290, 12303.000
338.645, 12968.000
339.999, 13440.000
341.354, 14558.000
342.708, 15319.000
344.062, 16405.000
345.416, 17367.000
346.769, 17472.000
348.123, 17932.000
349.476, 16900.000
350.829, 16975.000
352.182, 16341.000
353.534, 16258.000
354.887, 16135.000
356.239, 15497.000
357.591, 15735.000
358.942, 15072.000
360.294, 15180.000
361.645, 14578.000
362.996, 14106.000
364.347, 14058.000
365.698, 13510.000
367.048, 13668.000
368.398, 13174.000
369.748, 13283.000
371.098, 13395.000
372.448, 13089.000
373.797, 13642.000
375.146, 13516.000
376.495, 13958.000
377.844, 14194.000
379.192, 14180.000
380.540, 14756.000
381.889, 14598.000
383.236, 15047.000
384.584, 15033.000
385.932, 14960.000
387.279, 15392.000
388.626, 14893.000
389.973, 15283.000
391.319, 14915.000
392.666, 15030.000
394.012, 14867.000
395.358, 14515.000
396.704, 14696.000
398.049, 13960.000
399.394, 13882.000
400.740, 13606.000
402.084, 13510.000
403.429, 13768.000
404.774, 13595.000
406.118, 13976.000
407.462, 14035.000
408.806, 14424.000
410.150, 15158.000
411.493, 15601.000
412.836, 16843.000
414.179, 17444.000
415.522, 19166.000
416.865, 20485.000
418.207, 22300.000
419.549, 25248.000
420.891, 26347.000
422.233, 28934.000
423.575, 29362.000
424.916, 28544.000
426.257, 28155.000
427.598, 25417.000
428.939, 24155.000
430.279, 21923.000
431.619, 20998.000
432.959, 19924.000
434.299, 19182.000
435.639, 19659.000
436.978, 19301.000
438.318, 20436.000
439.657, 21497.000
440.996, 22475.000
442.334, 23827.000
443.673, 23065.000
445.011, 22418.000
446.349, 20434.000
447.687, 18605.000
449.024, 17095.000
450.361, 15779.474
451.699, 14870.000
453.036, 13886.000
454.372, 13332.000
455.709, 13004.000
457.045, 12544.000
458.381, 12485.000
459.717, 12215.232
461.053, 12106.000
462.388, 12025.000
463.724, 11911.000
465.059, 12016.000
466.394, 11992.000
467.728, 12326.000
469.063, 12363.000
470.397, 12750.000
471.731, 13054.000
473.065, 13018.000
474.398, 13850.000
475.732, 14154.000
477.065, 14893.000
478.398, 15616.000
479.731, 16219.000
481.063, 17998.000
482.396, 18817.000
483.728, 20820.000
485.060, 23736.000
486.391, 26317.000
487.723, 31130.000
489.054, 35309.000
490.385, 42466.000
491.716, 48044.000
493.047, 52848.000
494.377, 56146.000
495.708, 53105.000
497.038, 50656.000
498.368, 44677.000
499.697, 38824.000
501.027, 34877.000
502.356, 30003.000
503.685, 27808.000
505.014, 24778.000
506.342, 22513.000
507.671, 20845.000
508.999, 18578.000
510.327, 17295.000
511.655, 15563.000
512.982, 14784.000
514.310, 13892.000
515.637, 13041.000
516.964, 12682.000
518.291, 12072.000
519.617, 11912.000
520.944, 11675.000
522.270, 11323.000
523.596, 11262.000
524.921, 11042.000
526.247, 10960.000
527.572, 10747.000
528.897, 10662.000
530.222, 10803.000
531.547, 10473.000
532.871, 10626.000
534.196, 10452.000
535.520, 10619.000
536.844, 10522.000
538.167, 10412.000
539.491, 10566.000
540.814, 10330.000
542.137, 10444.000
543.460, 10491.000
544.783, 10551.000
546.105, 10526.621
547.427, 10407.000
548.749, 10425.000
550.071, 10389.000
551.393, 10340.000
552.714, 10459.000
554.035, 10501.000
555.356, 10634.000
556.677, 10423.000
557.998, 10638.000
559.318, 10880.000
560.638, 10820.000
561.958, 11402.000
563.278, 11328.000
564.597, 11605.000
565.917, 12086.000
567.236, 12169.000
568.555, 12760.000
569.874, 12721.000
571.192, 13373.000
572.511, 13806.000
573.829, 14000.000
575.147, 14830.000
576.464, 14835.000
577.782, 15662.000
579.099, 16268.000
580.416, 16888.000
581.733, 17951.000
583.050, 18150.000
584.366, 19081.000
585.683, 19286.000
586.999, 19017.000
588.315, 19309.000
589.630, 18118.000
590.946, 18072.000
592.261, 17584.000
593.576, 16933.000
594.891, 16953.000
596.206, 16039.000
597.520, 15980.000
598.834, 15451.000
600.148, 15303.000
601.462, 15255.000
602.776, 14724.000
604.089, 15202.000
605.402, 15073.000
606.715, 15296.000
608.028, 15655.000
609.341, 15488.000
610.653, 16180.000
611.965, 16289.000
613.277, 16976.000
614.589, 17786.000
615.901, 17899.000
617.212, 19148.000
618.523, 19677.000
619.834, 20604.000
621.145, 21948.000
622.456, 22467.000
623.766, 24368.000
625.076, 25196.000
626.386, 26761.000
627.696, 28924.000
629.006, 29619.000
630.315, 32104.000
631.624, 32805.000
632.933, 34346.000
634.242, 36484.000
635.551, 36086.000
636.859, 38390.000
638.167, 37737.000
639.475, 38470.000
640.783, 38024.000
642.090, 36889.000
643.398, 37523.000
644.705, 35310.000
646.012, 34820.000
647.318, 33902.000
648.625, 31693.000
649.931, 31329.000
651.237, 29520.000
652.543, 28134.000
653.849, 27532.000
655.155, 25532.000
656.460, 25350.000
657.765, 23482.000
659.070, 22956.000
660.375, 21989.000
661.679, 20977.000
662.984, 20482.000
664.288, 19489.000
665.592, 19044.000
666.895, 18491.000
668.199, 17617.000
669.502, 17342.000
670.805, 16662.000
672.108, 16459.000
673.411, 15993.758
674.713, 15382.000
676.016, 15338.000
677.318, 14761.000
678.620, 14712.000
679.921, 14331.000
681.223, 13983.000
682.524, 14080.000
683.825, 13510.000
685.126, 13562.000
686.427, 13286.000
687.727, 12993.000
689.028, 13132.000
690.328, 12606.000
691.628, 12836.000
692.927, 12465.000
694.227, 12374.000
695.526, 12564.000
696.825, 12301.000
698.124, 12168.000
699.423, 12079.000
700.721, 11890.000
702.020, 12032.000
703.318, 11751.000
704.616, 11686.000
705.913, 11520.000
707.211, 11278.000
708.508, 11478.000
709.805, 11275.000
711.102, 11425.000
712.399, 11253.000
713.695, 11210.000
714.992, 11425.000
716.288, 11111.000
717.584, 11589.000
718.879, 11442.000
720.175, 11421.000
721.470, 11732.000
722.765, 11706.000
724.060, 12053.000
725.355, 12190.000
726.649, 12406.000
727.944, 13118.000
729.238, 13255.000
730.532, 14060.000
731.825, 14564.000
733.119, 15474.000
734.412, 16957.000
735.705, 17642.000
736.998, 20019.000
738.291, 22312.000
739.584, 23942.000
740.876, 27949.000
742.168, 29947.000
743.460, 32254.000
744.752, 34158.000
746.043, 32295.000
747.334, 32072.000
748.626, 29184.000
749.916, 26880.000
751.207, 25240.000
752.498, 22558.000
753.788, 21234.000
755.078, 19491.000
756.368, 18340.000
757.658, 17722.000
758.947, 16359.000
760.237, 16233.000
761.526, 15581.000
762.815, 15232.000
764.104, 14974.000
765.392, 14718.000
766.680, 14851.000
767.969, 14726.000
769.257, 14208.000
770.544, 14142.000
771.832, 13585.000
773.119, 13786.000
774.406, 13274.000
775.693, 13123.000
776.980, 13077.000
778.267, 12680.000
779.553, 12626.000
780.839, 12357.000
782.125, 12241.000
783.411, 12252.000
784.697, 11966.000
785.982, 11913.000
787.267, 11877.000
788.552, 11645.000
789.837, 11744.000
791.122, 11517.000
792.406, 11646.000
793.690, 11482.000
794.974, 11405.000
796.258, 11472.000
797.542, 11232.000
798.825, 11319.000
800.108, 11358.000
801.391, 11148.000
802.674, 11411.000
803.957, 11187.000
805.239, 11504.000
806.522, 11576.000
807.804, 11776.000
809.085, 11687.000
810.367, 11246.000
811.649, 11223.000
812.930, 11250.000
814.211, 11009.000
815.492, 11345.000
816.772, 11186.000
818.053, 11138.000
819.333, 11119.000
820.613, 10947.000
821.893, 11063.000
823.173, 10952.000
824.452, 10812.000
825.732, 10976.000
827.011, 10782.000
828.290, 10807.427
829.568, 10764.467
830.847, 10683.000
832.125, 10755.000
833.403, 10534.000
834.681, 10761.000
835.959, 10732.000
837.236, 10522.000
838.514, 10685.000
839.791, 10608.000
841.068, 10533.000
842.345, 10616.000
843.621, 10540.000
844.898, 10653.000
846.174, 10523.000
847.450, 10712.000
848.726, 10729.000
850.001, 10599.000
851.277, 10934.000
852.552, 10756.000
853.827, 10970.000
855.102, 10922.000
856.376, 11021.000
857.651, 11332.000
858.925, 11325.000
860.199, 11504.000
861.473, 11610.000
862.746, 11668.000
864.020, 12087.000
865.293, 12004.000
866.566, 12343.000
867.839, 12597.000
869.112, 12608.000
870.384, 13058.000
871.656, 13132.000
872.928, 13312.000
874.200, 13867.000
875.472, 14019.000
876.744, 14338.000
878.015, 14787.000
879.286, 14842.000
880.557, 15194.000
881.828, 15207.000
883.098, 15331.000
884.369, 15639.000
885.639, 15223.000
886.909, 15403.000
888.178, 15001.000
889.448, 14801.000
890.717, 14905.000
891.987, 14283.000
893.256, 14448.000
894.524, 14069.000
895.793, 13932.000
897.061, 13926.000
898.330, 13538.000
899.598, 13618.000
900.865, 13438.000
902.133, 13206.000
903.401, 13262.000
904.668, 12891.000
905.935, 12840.000
907.202, 12822.000
908.468, 12672.000
909.735, 12792.000
911.001, 12555.000
912.267, 12561.000
913.533, 12585.000
914.799, 12343.000
916.064, 12523.000
917.330, 12293.000
918.595, 12291.000
919.860, 12331.000
921.124, 12281.000
922.389, 12241.000
923.653, 12284.000
924.918, 12078.000
926.182, 12367.000
927.445, 12119.000
928.709, 12285.000
929.972, 12288.000
931.236, 12105.000
932.499, 12378.000
933.761, 12226.000
935.024, 12304.000
936.286, 12711.000
937.549, 12502.000
938.811, 12817.000
940.073, 12826.000
941.334, 13034.000
942.596, 13304.000
943.857, 13304.000
945.118, 13682.000
946.379, 13958.000
947.640, 14016.000
948.900, 14448.000
950.161, 13990.000
951.421, 14360.000
952.681, 14180.000
953.940, 13928.000
955.200, 13768.000
956.459, 13550.000
957.719, 13279.000
958.978, 13336.000
960.236, 12992.000
961.495, 13005.000
962.753, 12727.000
964.012, 12638.000
965.270, 12644.000
966.527, 12420.000
967.785, 12551.000
969.043, 12457.000
970.300, 12448.000
971.557, 12340.000
972.814, 12314.000
974.071, 12199.000
975.327, 12310.000
976.583, 12067.000
977.840, 12240.000
979.095, 12128.000
980.351, 12034.000
981.607, 12245.000
982.862, 11999.000
984.117, 12363.000
985.372, 12237.000
986.627, 12189.000
987.882, 12421.000
989.136, 12303.000
990.390, 12361.000
991.644, 12613.000
992.898, 12456.000
994.152, 12777.000
995.405, 12682.000
996.659, 12886.000
997.912, 13237.000
999.165, 13258.000
