##NAMES=Eckermannite
##RRUFFID=R060320
##IDEAL CHEMISTRY=NaNa_2_(Mg_4_Al)Si_8_O_22_(OH)_2_
##LOCALITY=Norra Karr Complex, near Granna, Ostergotsland, Sweden
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Parallel aggregate of blue elongated bladed crystals
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R060320
##MEASURED CHEMISTRY=(Na_2.50_K_0.30_[box]_0.20_)_Σ=3_(Mg_2.35_Fe^2+^_1.35_Al_1.20_Mn_0.10_)_Σ=5_Si_8.00_O_22_((OH)_1.18_F_0.82_)_Σ=2_; OH estimated by charge balance, dark material
##PIN_ID=M01072
##ORIENTATION=Laser parallel to -c* (0 0 -1). Fiducial mark perpendicular to laser is parallel to -a [-1 0 0]
102.8230, 0.0000000E+00
104.0530, 1.847168
105.2840, 1.923340
106.5140, 200.7070
107.7440, 328.0376
108.9730, 322.9673
110.2030, 270.7446
111.4320, 718.8667
112.6620, 553.9639
113.8910, 620.1079
115.1200, 1122.983
116.3490, 1184.627
117.5780, 1216.792
118.8060, 1048.883
120.0350, 997.1396
121.2630, 1204.351
122.4920, 1159.335
123.7200, 800.9961
124.9480, 400.5176
126.1750, 262.1255
127.4030, 59.19434
128.6310, 100.3315
129.8580, 212.4800
131.0850, 54.91943
132.3120, 37.00293
133.5390, 108.1450
134.7660, 179.4258
135.9930, 174.7822
137.2200, 488.1660
138.4460, 375.9106
139.6720, 494.8662
140.8980, 369.1353
142.1240, 445.3506
143.3500, 580.6680
144.5760, 769.7856
145.8020, 797.8228
147.0270, 1031.839
148.2520, 1412.236
149.4780, 1705.535
150.7030, 2136.117
151.9270, 2514.261
153.1520, 2930.144
154.3770, 3256.401
155.6010, 3407.077
156.8260, 3487.216
158.0500, 3320.854
159.2740, 3043.023
160.4980, 2616.753
161.7210, 2378.071
162.9450, 2208.000
164.1690, 1972.561
165.3920, 1824.773
166.6150, 1804.821
167.8380, 1808.317
169.0610, 1921.493
170.2840, 2065.480
171.5070, 2307.198
172.7290, 2573.658
173.9510, 2986.872
175.1740, 3240.853
176.3960, 3731.629
177.6180, 4060.283
178.8390, 4504.835
180.0610, 4833.298
181.2830, 5236.479
182.5040, 5555.333
183.7250, 5818.648
184.9460, 5564.740
186.1670, 5832.102
187.3880, 5591.387
188.6090, 5594.821
189.8290, 5555.170
191.0500, 5587.064
192.2700, 5485.055
193.4900, 5847.506
194.7100, 6298.428
195.9300, 6324.522
197.1490, 6956.260
198.3690, 7685.083
199.5880, 8374.231
200.8080, 9571.879
202.0270, 10375.44
203.2460, 11447.44
204.4650, 12287.48
205.6830, 13651.54
206.9020, 14347.63
208.1200, 15077.75
209.3380, 15576.88
210.5570, 15999.02
211.7750, 15740.16
212.9920, 15354.31
214.2100, 15068.46
215.4280, 14199.61
216.6450, 13472.75
217.8620, 12349.89
219.0790, 11171.01
220.2960, 10352.11
221.5130, 9432.187
222.7300, 8495.227
223.9460, 7663.234
225.1630, 6742.209
226.3790, 6038.154
227.5950, 5407.070
228.8110, 4804.960
230.0270, 4408.823
231.2430, 3863.660
232.4580, 3591.473
233.6740, 3291.260
234.8890, 2921.022
236.1040, 2809.762
237.3190, 2359.477
238.5340, 2196.169
239.7490, 2014.838
240.9630, 1738.484
242.1780, 1709.108
243.3920, 1493.709
244.6060, 1463.288
245.8200, 1328.845
247.0340, 1176.380
248.2470, 968.8940
249.4610, 858.0425
250.6740, 808.5400
251.8880, 692.2490
253.1010, 729.1367
254.3140, 678.1348
255.5270, 522.2065
