##NAMES=Inderite
##RRUFFID=R050195
##IDEAL CHEMISTRY=MgB_3_O_3_(OH)_5_&#183;5H_2_O
##LOCALITY=Boron, Kern County, California, USA
##OWNER=RRUFF
##SOURCE=Dave Bunk Minerals
##DESCRIPTION=Colorless prismatic crystal
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050195
##MEASURED CHEMISTRY=Mg_1.00_B_3.00_O_3_(OH)_5_·5H_2_O ; Mg measured, only
##PIN_ID=L00488
##ORIENTATION=Laser parallel to a* (1 0 0). Fiducial mark perpendicular to laser is parallel to b [0 1 0]
103.820, 16075.000
105.212, 18232.000
106.604, 20575.000
107.995, 23201.000
109.387, 22312.000
110.777, 21344.000
112.168, 19816.000
113.559, 22611.000
114.949, 23666.000
116.339, 20612.000
117.729, 19581.000
119.119, 18791.000
120.508, 20219.000
121.897, 21921.000
123.286, 25300.000
124.675, 29142.000
126.063, 32272.000
127.452, 36138.000
128.840, 37785.000
130.228, 37400.000
131.615, 33122.000
133.003, 27857.000
134.390, 23625.000
135.777, 20968.000
137.164, 19663.000
138.550, 18593.000
139.937, 18487.000
141.323, 18233.000
142.709, 18918.000
144.094, 19500.000
145.480, 20558.000
146.865, 22334.000
148.250, 23787.000
149.635, 25543.000
151.019, 25356.000
152.403, 24105.000
153.788, 22499.000
155.171, 20870.000
156.555, 20346.000
157.939, 19245.000
159.322, 19267.000
160.705, 19225.000
162.088, 19632.000
163.470, 20430.000
164.853, 20840.000
166.235, 22183.000
167.617, 22268.000
168.998, 22544.000
170.380, 21489.000
171.761, 20400.000
173.142, 19590.000
174.523, 18755.000
175.904, 18584.000
177.284, 17838.000
178.664, 17939.000
180.044, 17788.000
181.424, 17862.000
182.803, 18170.000
184.183, 18268.000
185.562, 18932.000
186.940, 19278.000
188.319, 20274.000
189.698, 21231.000
191.076, 21892.000
192.454, 22192.375
193.831, 22393.000
195.209, 22097.000
196.586, 21002.000
197.963, 20244.000
199.340, 19745.000
200.717, 19106.000
202.093, 18875.000
203.470, 18156.000
204.846, 18529.000
206.221, 18080.000
207.597, 18325.000
208.972, 18463.000
210.347, 18399.000
211.722, 18529.000
213.097, 18359.000
214.472, 18768.000
215.846, 18808.000
217.220, 19089.000
218.594, 19274.000
219.967, 19218.000
221.341, 19305.000
222.714, 18979.000
224.087, 18987.000
225.460, 18796.000
226.832, 18461.000
228.204, 18602.000
229.577, 18521.000
230.948, 18571.000
232.320, 18620.000
233.692, 18734.000
235.063, 18877.000
236.434, 18818.000
237.805, 19179.000
239.175, 19032.000
240.545, 19380.000
241.916, 19459.000
243.286, 19733.000
244.655, 19929.000
246.025, 19648.000
247.394, 20020.000
248.763, 19586.000
250.132, 19650.000
251.501, 19478.000
252.869, 19220.000
254.237, 19090.000
255.605, 18667.000
256.973, 18871.000
258.340, 18673.000
259.708, 18799.000
261.075, 18633.000
262.442, 18679.000
263.808, 18897.000
265.175, 18550.000
266.541, 18899.000
267.907, 18932.000
269.273, 19106.000
270.639, 19003.000
272.004, 19099.000
273.369, 19550.000
274.734, 19286.000
276.099, 19762.000
277.463, 19762.000
278.828, 20025.000
280.192, 20315.000
281.556, 20254.000
282.919, 20555.000
284.283, 20762.000
285.646, 21074.000
287.009, 21512.000
288.372, 21940.000
289.734, 22729.000
291.097, 22958.000
292.459, 24207.000
293.821, 24787.000
295.183, 26205.000
296.544, 27350.000
297.905, 28332.000
299.266, 29481.000
300.627, 29466.000
301.988, 29712.000
303.348, 29034.000
304.709, 27920.000
306.069, 27075.000
307.428, 25859.000
308.788, 25642.000
310.147, 24758.000
311.507, 24699.000
312.865, 24344.000
314.224, 24046.000
315.583, 24186.000
316.941, 23612.000
318.299, 23783.000
319.657, 23008.000
321.015, 22686.000
322.372, 22584.000
323.729, 22171.000
325.086, 22492.000
326.443, 22393.000
327.800, 22564.000
329.156, 22793.000
330.512, 22882.000
331.868, 23506.000
333.224, 23694.000
334.579, 24755.000
335.935, 25548.000
337.290, 26689.000
338.645, 28182.000
339.999, 29593.000
341.354, 31604.000
342.708, 33020.000
344.062, 34755.000
345.416, 35544.000
346.769, 35054.000
348.123, 34622.000
349.476, 32667.000
350.829, 31697.000
352.182, 29875.000
353.534, 29194.000
354.887, 28182.000
356.239, 27429.000
357.591, 27001.000
358.942, 26026.000
360.294, 26026.000
361.645, 25401.000
362.996, 24960.000
364.347, 24744.000
365.698, 24122.000
367.048, 24105.000
368.398, 23817.000
369.748, 23646.000
371.098, 23806.000
372.448, 23502.000
373.797, 23736.000
375.146, 23285.000
376.495, 23621.000
377.844, 23537.000
379.192, 23640.000
380.540, 23759.000
381.889, 23513.000
383.236, 23959.000
384.584, 23811.000
385.932, 23870.000
387.279, 24144.000
388.626, 23968.000
389.973, 24432.000
391.319, 24213.000
392.666, 24677.000
394.012, 24650.000
395.358, 24593.000
396.704, 25067.000
398.049, 25006.000
399.394, 25571.000
400.740, 25642.000
402.084, 26049.000
403.429, 26804.000
404.774, 26998.000
406.118, 27934.000
407.462, 28422.000
408.806, 29303.000
410.150, 30710.000
411.493, 32032.000
412.836, 34199.000
414.179, 35684.000
415.522, 38964.000
416.865, 41429.000
418.207, 44947.000
419.549, 49193.000
420.891, 51322.000
422.233, 54075.000
423.575, 53161.000
424.916, 51932.000
426.257, 49179.000
427.598, 44827.000
428.939, 42307.000
430.279, 38777.000
431.619, 36760.000
432.959, 34948.000
434.299, 33836.000
435.639, 34132.000
436.978, 34099.000
438.318, 35654.000
439.657, 36878.000
440.996, 38203.000
442.334, 38930.000
443.673, 37736.000
445.011, 36361.000
446.349, 33616.000
447.687, 31803.000
449.024, 29926.000
450.361, 28356.000
451.699, 27720.000
453.036, 26576.000
454.372, 25901.000
455.709, 25529.000
457.045, 25081.000
458.381, 25190.000
459.717, 24609.000
461.053, 24545.000
462.388, 24580.000
463.724, 24198.000
465.059, 24343.000
466.394, 24168.000
467.728, 24222.000
469.063, 24308.000
470.397, 24327.000
471.731, 24265.000
473.065, 24084.000
474.398, 24537.000
475.732, 24406.000
477.065, 24724.000
478.398, 25064.000
479.731, 25130.000
481.063, 25693.000
482.396, 25913.000
483.728, 26658.000
485.060, 27730.000
486.391, 28499.000
487.723, 30230.000
489.054, 31954.000
490.385, 34211.000
491.716, 35676.000
493.047, 37390.000
494.377, 37778.000
495.708, 36830.000
497.038, 36101.000
498.368, 33850.000
499.697, 32140.000
501.027, 31017.000
502.356, 29736.000
503.685, 28930.000
505.014, 28227.000
506.342, 27495.000
507.671, 27021.000
508.999, 26662.000
510.327, 26289.000
511.655, 25991.000
512.982, 25908.000
514.310, 25865.000
515.637, 25590.000
516.964, 25813.000
518.291, 25390.000
519.617, 25557.000
520.944, 25822.000
522.270, 25368.000
523.596, 25437.000
524.921, 25465.000
526.247, 25548.000
527.572, 25522.000
528.897, 25478.000
530.222, 25583.820
531.547, 25372.000
532.871, 25765.000
534.196, 25571.000
535.520, 25686.000
536.844, 25804.000
538.167, 25842.000
539.491, 25880.000
540.814, 25892.000
542.137, 25956.000
543.460, 26146.000
544.783, 26020.000
546.105, 26089.000
547.427, 26272.000
548.749, 26460.000
550.071, 26441.000
551.393, 26587.625
552.714, 26688.000
554.035, 26763.000
555.356, 26798.000
556.677, 26974.000
557.998, 27217.000
559.318, 27563.000
560.638, 27568.000
561.958, 28208.000
563.278, 28370.000
564.597, 28728.000
565.917, 29918.000
567.236, 29897.000
568.555, 30713.000
569.874, 30956.000
571.192, 31680.000
572.511, 32488.000
573.829, 32975.000
575.147, 34041.000
576.464, 34563.000
577.782, 35945.000
579.099, 36989.000
580.416, 38129.000
581.733, 39217.000
583.050, 39927.000
584.366, 40650.000
585.683, 40966.000
586.999, 39986.000
588.315, 39552.000
589.630, 38279.000
590.946, 37198.000
592.261, 36251.000
593.576, 35394.000
594.891, 35029.000
596.206, 34001.000
597.520, 33811.000
598.834, 33577.000
600.148, 33242.000
601.462, 33290.000
602.776, 33068.000
604.089, 33318.000
605.402, 33600.000
606.715, 33830.000
608.028, 34204.000
609.341, 34330.000
610.653, 35052.000
611.965, 35414.000
613.277, 36259.000
614.589, 37025.000
615.901, 37553.000
617.212, 38922.000
618.523, 39951.000
619.834, 40867.000
621.145, 42632.000
622.456, 43426.000
623.766, 45446.000
625.076, 46600.000
626.386, 48644.000
627.696, 50325.000
629.006, 52086.000
630.315, 54104.000
631.624, 55328.000
632.933, 56969.000
634.242, 58449.000
635.551, 58516.000
636.859, 60344.000
638.167, 59804.000
639.475, 60768.000
640.783, 59358.000
642.090, 58952.000
643.398, 58608.000
644.705, 56552.000
646.012, 56184.000
647.318, 54642.000
648.625, 53018.000
649.931, 52017.000
651.237, 50362.000
652.543, 49210.000
653.849, 47964.000
655.155, 46388.000
656.460, 45732.000
657.765, 44294.000
659.070, 43688.000
660.375, 42419.000
661.679, 41590.000
662.984, 40924.000
664.288, 40026.000
665.592, 39273.000
666.895, 38953.000
668.199, 38250.000
669.502, 37741.000
670.805, 36906.000
672.108, 36585.000
673.411, 36279.000
674.713, 35480.000
676.016, 35358.000
677.318, 35032.000
678.620, 34578.000
679.921, 34264.000
681.223, 33960.000
682.524, 33806.000
683.825, 33438.000
685.126, 33196.000
686.427, 33088.000
687.727, 32762.000
689.028, 32919.000
690.328, 32409.000
691.628, 32275.000
692.927, 32361.000
694.227, 32022.000
695.526, 32016.000
696.825, 31928.000
698.124, 31566.000
699.423, 31789.000
700.721, 31230.000
702.020, 31484.000
703.318, 31203.000
704.616, 30872.000
705.913, 31041.000
707.211, 30745.000
708.508, 31112.000
709.805, 30691.000
711.102, 30876.000
712.399, 30862.000
713.695, 30536.000
714.992, 30881.000
716.288, 30733.000
717.584, 30825.000
718.879, 31027.000
720.175, 30992.000
721.470, 30926.000
722.765, 31528.000
724.060, 31508.000
725.355, 32009.000
726.649, 32220.000
727.944, 32609.000
729.238, 32843.000
730.532, 33593.000
731.825, 34288.000
733.119, 35234.000
734.412, 36144.000
735.705, 37413.000
736.998, 39380.000
738.291, 41481.000
739.584, 43364.000
