Atomic number,Symbol,Name,Group,Period,Block,Standard atomic weight,Density,Melting point,Boiling point,Specific heat capacity,Electronegativity,Abundance in Earth's crust,Origin,Phase at room temperature
39,Y,Yttrium,3,5,d-block,88.906,4.469,1799,3609,0.298,1.22,33,primordial,solid
40,Zr,Zirconium,4,5,d-block,91.224,6.506,2128,4682,0.278,1.33,165,primordial,solid
41,Nb,Niobium,5,5,d-block,92.906,8.57,2750,5017,0.265,1.6,20,primordial,solid
42,Mo,Molybdenum,6,5,d-block,95.95,10.22,2896,4912,0.251,2.16,1.2,primordial,solid
43,Tc,Technetium,7,5,d-block,[97],11.5,2430,4538,–,1.9,~ 3×10−9,from decay,solid
44,Ru,Ruthenium,8,5,d-block,101.07,12.37,2607,4423,0.238,2.2,0.001,primordial,solid
45,Rh,Rhodium,9,5,d-block,102.91,12.41,2237,3968,0.243,2.28,0.001,primordial,solid
46,Pd,Palladium,10,5,d-block,106.42,12.02,1828.05,3236,0.244,2.2,0.015,primordial,solid
47,Ag,Silver,11,5,d-block,107.87,10.501,1234.93,2435,0.235,1.93,0.075,primordial,solid
48,Cd,Cadmium,12,5,d-block,112.41,8.69,594.22,1040,0.232,1.69,0.159,primordial,solid
49,In,Indium,13,5,p-block,114.82,7.31,429.75,2345,0.233,1.78,0.25,primordial,solid
50,Sn,Tin,14,5,p-block,118.71,7.287,505.08,2875,0.228,1.96,2.3,primordial,solid
51,Sb,Antimony,15,5,p-block,121.76,6.685,903.78,1860,0.207,2.05,0.2,primordial,solid
52,Te,Tellurium,16,5,p-block,127.6,6.232,722.66,1261,0.202,2.1,0.001,primordial,solid
53,I,Iodine,17,5,p-block,126.9,4.93,386.85,457.4,0.214,2.66,0.45,primordial,solid
54,Xe,Xenon,18,5,p-block,131.29,0.005887,161.4,165.03,0.158,2.6,3×10−5,primordial,gas
55,Cs,Caesium,1,6,s-block,132.91,1.873,301.59,944,0.242,0.79,3,primordial,solid
56,Ba,Barium,2,6,s-block,137.33,3.594,1000,2170,0.204,0.89,425,primordial,solid
57,La,Lanthanum,n/a,6,f-block,138.91,6.145,1193,3737,0.195,1.1,39,primordial,solid
58,Ce,Cerium,n/a,6,f-block,140.12,6.77,1068,3716,0.192,1.12,66.5,primordial,solid
59,Pr,Praseodymium,n/a,6,f-block,140.91,6.773,1208,3793,0.193,1.13,9.2,primordial,solid
60,Nd,Neodymium,n/a,6,f-block,144.24,7.007,1297,3347,0.19,1.14,41.5,primordial,solid
61,Pm,Promethium,n/a,6,f-block,[145],7.26,1315,3273,–,1.13,2×10−19,from decay,solid
62,Sm,Samarium,n/a,6,f-block,150.36,7.52,1345,2067,0.197,1.17,7.05,primordial,solid
63,Eu,Europium,n/a,6,f-block,151.96,5.243,1099,1802,0.182,1.2,2,primordial,solid
64,Gd,Gadolinium,n/a,6,f-block,157.25,7.895,1585,3546,0.236,1.2,6.2,primordial,solid
65,Tb,Terbium,n/a,6,f-block,158.93,8.229,1629,3503,0.182,1.2,1.2,primordial,solid
66,Dy,Dysprosium,n/a,6,f-block,162.5,8.55,1680,2840,0.17,1.22,5.2,primordial,solid
67,Ho,Holmium,n/a,6,f-block,164.93,8.795,1734,2993,0.165,1.23,1.3,primordial,solid
68,Er,Erbium,n/a,6,f-block,167.26,9.066,1802,3141,0.168,1.24,3.5,primordial,solid
69,Tm,Thulium,n/a,6,f-block,168.93,9.321,1818,2223,0.16,1.25,0.52,primordial,solid
70,Yb,Ytterbium,n/a,6,f-block,173.05,6.965,1097,1469,0.155,1.1,3.2,primordial,solid
71,Lu,Lutetium,3,6,d-block,174.97,9.84,1925,3675,0.154,1.27,0.8,primordial,solid
72,Hf,Hafnium,4,6,d-block,178.49,13.31,2506,4876,0.144,1.3,3,primordial,solid
73,Ta,Tantalum,5,6,d-block,180.95,16.654,3290,5731,0.14,1.5,2,primordial,solid
74,W,Tungsten,6,6,d-block,183.84,19.25,3695,5828,0.132,2.36,1.3,primordial,solid
75,Re,Rhenium,7,6,d-block,186.21,21.02,3459,5869,0.137,1.9,7×10−4,primordial,solid
76,Os,Osmium,8,6,d-block,190.23,22.61,3306,5285,0.13,2.2,0.002,primordial,solid
77,Ir,Iridium,9,6,d-block,192.22,22.56,2719,4701,0.131,2.2,0.001,primordial,solid
78,Pt,Platinum,10,6,d-block,195.08,21.46,2041.4,4098,0.133,2.28,0.005,primordial,solid
79,Au,Gold,11,6,d-block,196.97,19.282,1337.33,3129,0.129,2.54,0.004,primordial,solid
80,Hg,Mercury,12,6,d-block,200.59,13.5336,234.43,629.88,0.14,2,0.085,primordial,liquid
81,Tl,Thallium,13,6,p-block,204.38,11.85,577,1746,0.129,1.62,0.85,primordial,solid
82,Pb,Lead,14,6,p-block,207.2,11.342,600.61,2022,0.129,1.87 (2+),14,primordial,solid
83,Bi,Bismuth,15,6,p-block,208.98,9.807,544.7,1837,0.122,2.02,0.009,primordial,solid
84,Po,Polonium,16,6,p-block,[209],9.32,527,1235,–,2,2×10−10,from decay,solid
85,At,Astatine,17,6,p-block,[210],7,575,610,–,2.2,3×10−20,from decay,unknown phase
86,Rn,Radon,18,6,p-block,[222],0.00973,202,211.3,0.094,2.2,4×10−13,from decay,gas
87,Fr,Francium,1,7,s-block,[223],1.87,281,890,–,>0.79[6],~ 1×10−18,from decay,unknown phase
88,Ra,Radium,2,7,s-block,[226],5.5,973,2010,0.094,0.9,9×10−7,from decay,solid
89,Ac,Actinium,n/a,7,f-block,[227],10.07,1323,3471,0.12,1.1,5.5×10−10,from decay,solid
90,Th,Thorium,n/a,7,f-block,232.04,11.72,2115,5061,0.113,1.3,9.6,primordial,solid
91,Pa,Protactinium,n/a,7,f-block,231.04,15.37,1841,4300,–,1.5,1.4×10−6,from decay,solid
92,U,Uranium,n/a,7,f-block,238.03,18.95,1405.3,4404,0.116,1.38,2.7,primordial,solid
93,Np,Neptunium,n/a,7,f-block,[237],20.45,917,4273,–,1.36,≤ 3×10−12,from decay,solid
94,Pu,Plutonium,n/a,7,f-block,[244],19.84,912.5,3501,–,1.28,≤ 3×10−11,from decay,solid
95,Am,Americium,n/a,7,f-block,[243],13.69,1449,2880,–,1.13,–,synthetic,solid
96,Cm,Curium,n/a,7,f-block,[247],13.51,1613,3383,–,1.28,–,synthetic,solid
97,Bk,Berkelium,n/a,7,f-block,[247],14.79,1259,2900,–,1.3,–,synthetic,solid
98,Cf,Californium,n/a,7,f-block,[251],15.1,1173,(1743)[b],–,1.3,–,synthetic,solid
99,Es,Einsteinium,n/a,7,f-block,[252],8.84,1133,-1269,–,1.3,–,synthetic,solid
100,Fm,Fermium,n/a,7,f-block,[257],(9.7)[b],(1125)[7],–,–,1.3,–,synthetic,unknown phase
101,Md,Mendelevium,n/a,7,f-block,[258],-10.3,-1100,–,–,1.3,–,synthetic,unknown phase
102,No,Nobelium,n/a,7,f-block,[259],-9.9,-1100,–,–,1.3,–,synthetic,unknown phase
103,Lr,Lawrencium,3,7,d-block,[266],-15.6,-1900,–,–,1.3,–,synthetic,unknown phase
104,Rf,Rutherfordium,4,7,d-block,[267],-23.2,-2400,-5800,–,–,–,synthetic,unknown phase
105,Db,Dubnium,5,7,d-block,[268],-29.3,–,–,–,–,–,synthetic,unknown phase
106,Sg,Seaborgium,6,7,d-block,[269],-35,–,–,–,–,–,synthetic,unknown phase
107,Bh,Bohrium,7,7,d-block,[270],-37.1,–,–,–,–,–,synthetic,unknown phase
108,Hs,Hassium,8,7,d-block,[269],-40.7,–,–,–,–,–,synthetic,unknown phase
109,Mt,Meitnerium,9,7,d-block,[278],-37.4,–,–,–,–,–,synthetic,unknown phase
110,Ds,Darmstadtium,10,7,d-block,[281],-34.8,–,–,–,–,–,synthetic,unknown phase
111,Rg,Roentgenium,11,7,d-block,[282],-28.7,–,–,–,–,–,synthetic,unknown phase
112,Cn,Copernicium,12,7,d-block,[285],-14,-283,(340)[b],–,–,–,synthetic,unknown phase
113,Nh,Nihonium,13,7,p-block,[286],-16,-700,-1400,–,–,–,synthetic,unknown phase
114,Fl,Flerovium,14,7,p-block,[289],-9.928,(200)[b],-380,–,–,–,synthetic,unknown phase
115,Mc,Moscovium,15,7,p-block,[290],-13.5,-700,-1400,–,–,–,synthetic,unknown phase
116,Lv,Livermorium,16,7,p-block,[293],-12.9,-700,-1100,–,–,–,synthetic,unknown phase
117,Ts,Tennessine,17,7,p-block,[294],-7.2,-700,-883,–,–,–,synthetic,unknown phase
118,Og,Oganesson,18,7,p-block,[294],-7,-325,-450,–,–,–,synthetic,unknown phase
10,Wa,Water,n/a,,,18.015,,,,,–,,,liquid
