Atomic number,Symbol,Name,Group,Period,Block,Standard atomic weight,Density,Melting point,Boiling point,Specific heat capacity,Electronegativity,Abundance in Earth's crust,Origin,Phase at room temperature
1,H,Hydrogen,1,1,s-block,1.008,0.00008988,14.01,20.28,14.304,2.2,1400,primordial,gas
2,He,Helium,18,1,s-block,4.0026,0.0001785,–[k],4.22,5.193,–,0.008,primordial,gas
3,Li,Lithium,1,2,s-block,6.94,0.534,453.69,1560,3.582,0.98,20,primordial,solid
4,Be,Beryllium,2,2,s-block,9.0122,1.85,1560,2742,1.825,1.57,2.8,primordial,solid
5,B,Boron,13,2,p-block,10.81,2.34,2349,4200,1.026,2.04,10,primordial,solid
6,C,Carbon,14,2,p-block,12.011,2.267,>4000,4300,0.709,2.55,200,primordial,solid
7,N,Nitrogen,15,2,p-block,14.007,0.0012506,63.15,77.36,1.04,3.04,19,primordial,gas
8,O,Oxygen,16,2,p-block,15.999,0.001429,54.36,90.2,0.918,3.44,461000,primordial,gas
9,F,Fluorine,17,2,p-block,18.998,0.001696,53.53,85.03,0.824,3.98,585,primordial,gas
10,Ne,Neon,18,2,p-block,20.18,0.0008999,24.56,27.07,1.03,–,0.005,primordial,gas
11,Na,Sodium,1,3,s-block,22.99,0.971,370.87,1156,1.228,0.93,23600,primordial,solid
12,Mg,Magnesium,2,3,s-block,24.305,1.738,923,1363,1.023,1.31,23300,primordial,solid
13,Al,Aluminium,13,3,p-block,26.982,2.698,933.47,2792,0.897,1.61,82300,primordial,solid
14,Si,Silicon,14,3,p-block,28.085,2.3296,1687,3538,0.705,1.9,282000,primordial,solid
15,P,Phosphorus,15,3,p-block,30.974,1.82,317.3,550,0.769,2.19,1050,primordial,solid
16,S,Sulfur,16,3,p-block,32.06,2.067,388.36,717.87,0.71,2.58,350,primordial,solid
17,Cl,Chlorine,17,3,p-block,35.45,0.003214,171.6,239.11,0.479,3.16,145,primordial,gas
18,Ar,Argon,18,3,p-block,39.95,0.0017837,83.8,87.3,0.52,–,3.5,primordial,gas
19,K,Potassium,1,4,s-block,39.098,0.862,336.53,1032,0.757,0.82,20900,primordial,solid
20,Ca,Calcium,2,4,s-block,40.078,1.54,1115,1757,0.647,1,41500,primordial,solid
21,Sc,Scandium,3,4,d-block,44.956,2.989,1814,3109,0.568,1.36,22,primordial,solid
22,Ti,Titanium,4,4,d-block,47.867,4.54,1941,3560,0.523,1.54,5650,primordial,solid
23,V,Vanadium,5,4,d-block,50.942,6.11,2183,3680,0.489,1.63,120,primordial,solid
24,Cr,Chromium,6,4,d-block,51.996,7.15,2180,2944,0.449,1.66,102,primordial,solid
25,Mn,Manganese,7,4,d-block,54.938,7.44,1519,2334,0.479,1.55,950,primordial,solid
26,Fe,Iron,8,4,d-block,55.845,7.874,1811,3134,0.449,1.83,56300,primordial,solid
27,Co,Cobalt,9,4,d-block,58.933,8.86,1768,3200,0.421,1.88,25,primordial,solid
28,Ni,Nickel,10,4,d-block,58.693,8.912,1728,3186,0.444,1.91,84,primordial,solid
29,Cu,Copper,11,4,d-block,63.546,8.96,1357.77,2835,0.385,1.9,60,primordial,solid
30,Zn,Zinc,12,4,d-block,65.38,7.134,692.88,1180,0.388,1.65,70,primordial,solid
31,Ga,Gallium,13,4,p-block,69.723,5.907,302.9146,2673,0.371,1.81,19,primordial,solid
32,Ge,Germanium,14,4,p-block,72.63,5.323,1211.4,3106,0.32,2.01,1.5,primordial,solid
33,As,Arsenic,15,4,p-block,74.922,5.776,1090[l],887,0.329,2.18,1.8,primordial,solid
34,Se,Selenium,16,4,p-block,78.971,4.809,453,958,0.321,2.55,0.05,primordial,solid
35,Br,Bromine,17,4,p-block,79.904,3.122,265.8,332,0.474,2.96,2.4,primordial,liquid
36,Kr,Krypton,18,4,p-block,83.798,0.003733,115.79,119.93,0.248,3,1×10−4,primordial,gas
37,Rb,Rubidium,1,5,s-block,85.468,1.532,312.46,961,0.363,0.82,90,primordial,solid
38,Sr,Strontium,2,5,s-block,87.62,2.64,1050,1655,0.301,0.95,370,primordial,solid
