"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Structural Groupname"
"Airdite","Airdite","Sr(V4+O)2(PO4)2·4H2O"," "
"Ajoite","Ajoite","K3Cu2+20Al3Si29O76(OH)16·8H2O","Ajoite"
"Akaganeite","Akaganeite","(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O","Coronadite"
"Akaogiite","Akaogiite","TiO2","Baddeleyite"
"Akatoreite","Akatoreite","Mn2+9Al2Si8O24(OH)8"," "
"Akdalaite","Akdalaite","Al10O14(OH)2","Nolanite"
"Åkermanite","Akermanite","Ca2MgSi2O7","Melilite"
"Akhtenskite","Akhtenskite","MnO2","Ramsdellite"
"Akimotoite","Akimotoite","MgSiO3","Corundum"
"Aklimaite","Aklimaite","Ca4[Si2O5(OH)2](OH)4·5H2O"," "
"Akopovaite","Akopovaite","Al4Li2(OH)12(CO3)(H2O)3","Hydrotalcite"
"Akrochordite","Akrochordite","Mn2+5(AsO4)2(OH)4·4H2O","Akrochordite"
"Aksaite","Aksaite","MgB6O7(OH)6·2H2O"," "
"Aktashite","Aktashite","Cu6Hg3As4S12","Nowackiite"
"Alabandite","Alabandite","MnS","Rocksalt"
"Alacránite","Alacranite","As8S9"," "
"Alamosite","Alamosite","PbSiO3"," "
"Alarsite","Alarsite","Al(AsO4)","Quartz"
"Albertiniite","Albertiniite","Fe2+(SO3)·3H2O"," "
"Albite","Albite","Na(AlSi3O8)","Feldspar"
"Albrechtschraufite","Albrechtschraufite","MgCa4F2[UO2(CO3)3]2·17-18H2O"," "
"Alburnite","Alburnite","Ag8GeTe2S4","Argyrodite"
"Alcantarillaite","Alcantarillaite","[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2O7]","Walentaite"
"Alcaparrosaite","Alcaparrosaite","K3Ti4+Fe3+(SO4)4O(H2O)2","Alcaparrosaite"
"Aldermanite","Aldermanite","[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O"," "
"Aldridgeite","Aldridgeite","(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O","Devilline"
"Aleksandrovite","Aleksandrovite","KCa7Sn2Li3Si12O36F2","Baratovite"
"Aleksite","Aleksite","PbBi2Te2S2","Tetradymite"
"Aleutite","Aleutite","[Cu5O2](AsO4)(VO4)·(Cu0.5[box]0.5)Cl"," "
"Alexkhomyakovite","Alexkhomyakovite","K6(Ca2Na)(CO3)5Cl·6H2O"," "
"Alexkuznetsovite-(Ce)","Alexkuznetsovite-(Ce)","Ce2Mn(CO3)(Si2O7)","Biraite"
"Alexkuznetsovite-(La)","Alexkuznetsovite-(La)","La2Mn(CO3)(Si2O7)","Biraite"
"Alflarsenite","Alflarsenite","NaCa2Be3Si4O13(OH)·2H2O"," "
"Alforsite","Alforsite","Ba5(PO4)3Cl","Apatite"
"Alfredopetrovite","Alfredopetrovite","Al2(Se4+O3)3·6H2O"," "
"Alfredstelznerite","Alfredstelznerite","Ca4(H2O)4[B4O4(OH)6]4(H2O)15"," "
"Algodonite","Algodonite","Cu1-xAsx (x ≈ 0.15)"," "
"Alicewilsonite-(YCe)","Alicewilsonite-(YCe)","Na2Sr2YCe(CO3)6·3H2O","Mckelveyite"
"Aliettite","Aliettite","Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O","Clay"
"Allabogdanite","Allabogdanite","(Fe,Ni)2P","Barringerite"
"Allactite","Allactite","Mn2+7(AsO4)2(OH)8","Allactite"
"Allanite-(Ce)","Allanite-(Ce)","CaCe(Al2Fe2+)[Si2O7][SiO4]O(OH)","Epidote"
